#Study : Validierungsstudie2
#Date : 20161027 15:11:52
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:14:25.974 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	SS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	7.36911E-05	0.07747781	99.92101	1.596634E-05	99.99992	99.92497	0	0	0	0	0	0.04410807	1.757836E-09	0.01623519	4.855334E-05	0.02316935	0.02746837	95.252	0.1281077	3.139857E-07	0.0006908952	1.551238E-05	1.278624E-06	0.003474365	99.92418	12.36331	0.0009623909	0.0001067711	0.002522145	0.01861413	29.66399	0.01843441	0.1645865	0.09275882	0	67	1	239	171	282	282	6.607914	0	-7.937205	0	-10.26806	0	-4.264044	0	-8.452585	0	-5.885564	0	-9.376002	0	-12.19806	0	6.607914	0	-4.264044	0						
Validierungsstudie2	20161027	SS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.0001698333	0.2579204	99.92101	2.995036E-05	99.99989	99.94049	0	0	0	0	0	0.03972553	2.168754E-09	0.01420089	9.218691E-06	0.02584361	0.02524916	86.96564	0.08361855	3.305754E-07	0.0006667515	1.245874E-05	1.677319E-06	0.0029871	99.91134	8.927916	0.0006572181	0.0001067715	0.002128456	0.05426937	23.42858	0.01536367	0.1527919	0.07803411	1	100	1	239	171	282	282	6.618585	0	-7.96225	0	-10.28295	0	-4.268729	0	-8.474693	0	-5.888301	0	-9.397176	0	-12.20391	0	6.618585	0	-4.268729	0						
Validierungsstudie2	20161027	SS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.0002256938	0.1244353	99.92101	4.6015E-05	99.99988	99.92331	0	0	0	0	0	0.06577524	3.764177E-09	0.01350637	8.601702E-06	0.03529095	0.02287818	87.18891	0.108838	2.200836E-07	0.001121638	1.379178E-05	1.673158E-06	0.00299755	99.91209	8.961723	0.0006619673	0.0001067717	0.00323138	0.02973072	26.26332	0.0218362	0.136267	0.0826245	2	133	1	240	171	281	281	6.636574	0	-7.947264	0	-10.2507	0	-4.303189	0	-8.293139	0	-5.941893	0	-9.330594	0	-12.07884	0	6.636574	0	-4.303189	0						
Validierungsstudie2	20161027	SS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.0002439848	0.1427818	99.92101	3.473235E-05	99.99989	99.92416	0	0	0	0	0	0.06097081	1.450757E-09	0.01288855	4.431038E-06	0.04305415	0.02517313	78.63913	0.1017874	2.147146E-07	0.001416398	1.362881E-05	2.222781E-06	0.00256424	99.89725	6.283863	0.00044436	0.0001067716	0.002274852	0.05521746	25.93731	0.01911608	0.1517965	0.08132728	3	167	1	240	171	281	281	6.643281	0	-7.950471	0	-10.25283	0	-4.307578	0	-8.309893	0	-5.94293	0	-9.343719	0	-12.09185	0	6.643281	0	-4.307578	0						
Validierungsstudie2	20161027	SS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.0002551764	0.1164552	99.92101	3.436604E-05	99.99988	99.92558	0	0	0	0	0	0.05864364	6.4064E-10	0.01183957	5.224257E-06	0.05056799	0.02345411	84.15842	0.09530763	2.65899E-07	0.001557504	1.05378E-05	1.850012E-06	0.002833139	99.90714	7.905152	0.0005744096	0.0001067717	0.002822239	0.04494696	18.18188	0.02082873	0.1605356	0.09565504	4	200	1	239	171	282	282	6.610769	0	-7.958157	0	-10.26296	0	-4.252213	0	-8.478139	0	-5.882617	0	-9.377895	0	-12.1897	0	6.610769	0	-4.252213	0						
Validierungsstudie2	20161027	SS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.0002412172	0.09938627	99.92101	3.266312E-05	99.99988	99.93147	0	0	0	0	0	0.05667474	1.831507E-09	0.01111313	4.951559E-06	0.04832699	0.02406488	82.85476	0.08051781	3.276134E-07	0.001386552	9.540903E-06	1.9328E-06	0.002766962	99.90496	7.482155	0.0005401965	0.0001067717	0.003595986	0.05418585	15.18552	0.02065061	0.1488608	0.0943235	5	233	1	239	171	282	282	6.634064	0	-7.98941	0	-10.27316	0	-4.258843	0	-8.509636	0	-5.911526	0	-9.427995	0	-12.23341	0	6.634064	0	-4.258843	0						
Validierungsstudie2	20161027	SS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.0002058287	0.09488121	99.92101	3.442554E-05	99.99983	99.92341	0	0	0	0	0	0.07072378	1.604443E-09	0.009530717	5.128548E-06	0.0518162	0.02191287	82.66372	0.09467161	3.05218E-07	0.001262416	9.444995E-06	1.947145E-06	0.002756057	99.90465	7.424225	0.0005355554	0.000106772	0.002394542	0.04190084	14.87736	0.01822222	0.1437877	0.0863361	6	267	1	238	170	283	283	6.430521	0	-7.892359	0	-10.02678	0	-4.1317	0	-8.319414	0	-5.610533	0	-8.983216	0	-11.96859	0	6.430521	0	-4.1317	0						
Validierungsstudie2	20161027	SS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.0001894209	0.0908009	99.92101	3.441871E-05	99.99983	99.92713	0	0	0	0	0	0.0708203	1.768945E-09	0.008903116	5.033796E-06	0.05022396	0.02309767	81.61736	0.08365867	3.229226E-07	0.001204564	1.013464E-05	2.01649E-06	0.002704239	99.90283	7.105697	0.0005099713	0.0001067719	0.002215035	0.0435385	16.99632	0.01792726	0.1437529	0.09709432	7	300	1	238	170	283	283	6.427508	0	-7.884852	0	-10.024	0	-4.136034	0	-8.316936	0	-5.601605	0	-8.982204	0	-11.96405	0	6.427508	0	-4.136034	0						
Validierungsstudie2	20161027	SS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.0001987391	0.08981666	99.92101	3.216424E-05	99.99983	99.92574	0	0	0	0	0	0.07038155	2.721467E-09	0.00900012	4.919139E-06	0.05085401	0.02239671	82.00198	0.08865112	3.441442E-07	0.001166939	1.07858E-05	1.990794E-06	0.00272317	99.90351	7.220373	0.0005191856	0.000106772	0.002276411	0.03601185	18.85713	0.01908605	0.1496675	0.09472783	8	333	1	239	171	282	282	6.593271	0	-7.922341	0	-10.25344	0	-4.260366	0	-8.407311	0	-5.874535	0	-9.338356	0	-12.14025	0	6.593271	0	-4.260366	0						
Validierungsstudie2	20161027	SS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.0002022644	0.08937193	99.92101	3.161015E-05	99.99983	99.92841	0	0	0	0	0	0.06923054	3.747628E-09	0.008485877	4.477493E-06	0.05005858	0.02112493	80.656	0.08381351	4.076986E-07	0.001057475	1.013335E-05	2.082081E-06	0.002657328	99.90112	6.824623	0.0004875546	0.000106772	0.002913113	0.03857687	16.9887	0.01975612	0.1452763	0.09757371	9	367	1	239	171	282	282	6.610375	0	-7.942416	0	-10.27779	0	-4.269495	0	-8.440328	0	-5.892461	0	-9.360736	0	-12.18896	0	6.610375	0	-4.269495	0						
