#Study : Validierungsstudie2
#Date : 20161027 15:11:52
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:14:25.300 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	SO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.000859066	0.07601431	99.92101	4.081955E-05	99.99971	99.67683	0	0	0	0	0	0.002893982	1.287353E-10	0.5193175	0.04400925	0.004230745	0.009092925	95.07221	0.1211936	1.059176E-06	0.002897197	6.393047E-06	1.283721E-06	0.003698004	99.92393	12.26131	0.0009531857	0.0001067744	0.001505763	0.005721547	3.25776	0.02279957	0.04662313	1.391471	0	67	1	234	162	282	282	10.58037	0	-12.11175	0	-13.98048	0	-6.56803	0	-15.39627	0	-10.86141	0	-16.09764	0	-21.71105	0	10.58037	0	-6.56803	0						
Validierungsstudie2	20161027	SO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.001047297	0.1098215	99.921	0.0002698991	99.99955	99.77805	0	0	0	0	0	0.006732548	1.225293E-10	0.3270275	0.0307175	0.008179436	0.0270164	94.02802	0.09993936	4.900348E-06	0.002595382	8.416943E-06	1.327962E-06	0.003539991	99.92239	11.78334	0.0009088904	0.000106776	0.001181416	0.01011618	11.49645	0.02309361	0.04093105	1.365307	1	100	1	233	162	283	283	10.47151	0	-11.85358	0	-13.87098	0	-6.593556	0	-14.98015	0	-10.77445	0	-15.54881	0	-20.83798	0	10.47151	0	-6.593556	0						
Validierungsstudie2	20161027	SO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.001434603	0.1088231	99.921	0.0002542565	99.99951	99.76939	0	0	0	0	0	0.005323044	1.596219E-10	0.3534808	0.03396567	0.005892022	0.01943317	96.07464	0.09018201	3.826969E-06	0.002472772	7.15635E-06	1.240548E-06	0.003687439	99.92522	12.7736	0.0009999302	0.000106777	0.001151031	0.007027344	6.650901	0.02073037	0.04106939	2.017947	2	133	1	233	162	283	283	10.47151	0	-11.85358	0	-13.87098	0	-6.593556	0	-14.98015	0	-10.77445	0	-15.54881	0	-20.83798	0	10.47151	0	-6.593556	0						
Validierungsstudie2	20161027	SO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.00175727	0.09403873	99.921	0.0001332672	99.99951	99.74252	0	0	0	0	0	0.007983448	3.032895E-10	0.3897747	0.03597989	0.006176406	0.02444019	96.09333	0.1080149	4.287677E-06	0.002259105	6.679301E-06	1.240368E-06	0.00370606	99.92527	12.77541	0.001000462	0.0001067777	0.001247745	0.008496354	4.553547	0.02587013	0.04246572	2.134866	3	167	1	233	162	283	283	10.47151	0	-11.85358	0	-13.87098	0	-6.593556	0	-14.98015	0	-10.77445	0	-15.54881	0	-20.83798	0	10.47151	0	-6.593556	0						
Validierungsstudie2	20161027	SO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.001822693	0.09181469	99.92101	0.0001265913	99.9996	99.74436	0	0	0	0	0	0.007343263	9.048695E-11	0.4011072	0.03542811	0.006568745	0.0169014	95.47936	0.09164234	2.797222E-06	0.002305648	6.683965E-06	1.266179E-06	0.003669668	99.92445	12.46922	0.0009721198	0.0001067772	0.001090508	0.008740934	4.596882	0.02785558	0.03964499	1.837548	4	200	1	231	161	287	287	9.615954	0	-11.23538	0	-13.44364	0	-6.035687	0	-13.47411	0	-10.29706	0	-14.15998	0	-19.41966	0	9.615954	0	-6.035687	0						
Validierungsstudie2	20161027	SO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.001479936	0.09796675	99.921	0.0001507827	99.99953	99.74606	0	0	0	0	0	0.006642666	7.251207E-11	0.3823183	0.04523187	0.007475193	0.01971303	95.90807	0.09783044	3.424682E-06	0.002905237	6.539849E-06	1.247862E-06	0.003690838	99.92501	12.68471	0.0009919095	0.000106777	0.00087833	0.008574272	3.936392	0.02357354	0.03711032	2.204412	5	233	1	231	161	285	285	9.984483	0	-11.50161	0	-13.48771	0	-6.251904	0	-14.26226	0	-10.46057	0	-14.81252	0	-20.08336	0	9.984483	0	-6.251904	0						
Validierungsstudie2	20161027	SO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.001254466	0.1041027	99.921	0.0001085011	99.99951	99.77592	0	0	0	0	0	0.005350071	3.981559E-10	0.3318063	0.05186571	0.005706829	0.01765489	95.97338	0.07696567	2.909075E-06	0.002476845	6.798604E-06	1.244909E-06	0.003673502	99.92509	12.72043	0.0009950711	0.0001067767	0.001032274	0.007394257	5.110817	0.02343087	0.03881131	2.027382	6	267	1	231	161	285	285	9.984483	0	-11.50161	0	-13.48771	0	-6.251904	0	-14.26226	0	-10.46057	0	-14.81252	0	-20.08336	0	9.984483	0	-6.251904	0						
Validierungsstudie2	20161027	SO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.001133991	0.1026478	99.921	0.000130289	99.99944	99.77195	0	0	0	0	0	0.005312521	4.644839E-10	0.3263264	0.05612615	0.006650506	0.01594176	94.84914	0.09302386	3.034941E-06	0.002268312	6.879058E-06	1.292502E-06	0.003597036	99.92355	12.16855	0.0009441648	0.000106777	0.001122594	0.007330551	5.442241	0.02243723	0.03527042	1.968454	7	300	1	231	161	285	285	9.984483	0	-11.50161	0	-13.48771	0	-6.251904	0	-14.26226	0	-10.46057	0	-14.81252	0	-20.08336	0	9.984483	0	-6.251904	0						
Validierungsstudie2	20161027	SO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.001103823	0.08211217	99.921	0.0001252301	99.99943	99.80466	0	0	0	0	0	0.006173656	4.517743E-10	0.2737408	0.0518303	0.005430185	0.01246	95.25191	0.08302068	2.741471E-06	0.002211731	6.674932E-06	1.27609E-06	0.003599551	99.92416	12.35277	0.000961511	0.000106777	0.00141915	0.005815562	4.494914	0.02563298	0.03374719	1.765838	8	333	1	231	161	287	287	9.605139	0	-11.23015	0	-13.43385	0	-6.022963	0	-13.46494	0	-10.29083	0	-14.14977	0	-19.40305	0	9.605139	0	-6.022963	0						
Validierungsstudie2	20161027	SO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.0009780498	0.09889524	99.921	0.0001292763	99.99945	99.80605	0	0	0	0	0	0.005075112	5.032317E-10	0.2637764	0.05433519	0.006415562	0.01215011	94.55445	0.09139421	2.69373E-06	0.002255607	7.107502E-06	1.305435E-06	0.003549889	99.92316	12.02557	0.0009311489	0.0001067766	0.00178854	0.006019465	6.391814	0.0258703	0.03290416	1.732971	9	367	1	231	161	286	286	9.749714	0	-11.37666	0	-13.4852	0	-6.107821	0	-13.71494	0	-10.39409	0	-14.35508	0	-19.59967	0	9.749714	0	-6.107821	0						
