#Study : Validierungsstudie2
#Date : 20161027 15:11:53
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:14:24.645 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	RB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.005355293	0.02381016	0.07941112	0.001086665	7.475482E-05	-0.05991364	0	0	0	0	0	0.08817443	6.372226E-11	2.368871E-05	1.660687E-08	0.03316057	0.02040959	0.02339444	0.05129439	0.0593269	0.002979567	0.004529547	0.0241283	0.4251574	0.00182782	0.1935538	0.004561337	0.1939078	0.0007588306	0.02515628	1.775983E-05	0.02006055	0.003994856	0.04120224	0	67	1	242	131	284	284	-3.484094	0	-1.986609	0	-6.323741	0	-3.796754	0	-0.2342765	0	-1.981572	0	-1.445572	0	1.7393	0	-3.484094	0	-0.2342765	0						
Validierungsstudie2	20161027	RB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.004634548	0.04408346	0.07944639	0.0007570105	0.0001713989	-0.04212952	0	0	0	0	0	0.06008754	7.644356E-10	2.507167E-05	3.860388E-08	0.01993117	0.01828076	0.03416609	0.03724051	0.1327729	0.007768346	0.004526977	0.02406684	0.4255979	0.001827081	0.1936888	0.004562381	0.1954199	0.0007260424	0.02426725	0.0001108022	0.01890816	0.003532865	0.03489615	1	100	1	243	132	279	279	-3.053773	0	-2.28566	0	-5.630463	0	-2.81038	0	-0.5437456	0	-2.281811	0	-1.976151	0	1.909983	0	-3.053773	0	-0.5437456	0						
Validierungsstudie2	20161027	RB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.003502302	0.04307293	0.07959954	0.0006669931	0.0001548277	-0.03714752	0	0	0	0	0	0.02857129	2.225968E-09	3.500109E-05	1.173823E-07	0.03192733	0.014284	0.06523103	0.04686498	0.1487315	0.004224612	0.00453402	0.02398684	0.4255062	0.001828304	0.1937797	0.004564248	0.195747	0.001820437	0.0248253	0.0003084566	0.01772315	0.004049066	0.0359714	2	133	1	243	132	279	279	-3.066158	0	-2.283481	0	-5.628564	0	-2.830092	0	-0.5506443	0	-2.291366	0	-1.983551	0	1.916893	0	-3.066158	0	-0.5506443	0						
Validierungsstudie2	20161027	RB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.00417347	0.0349632	0.07956295	0.0008394125	0.0001568231	-0.04753876	0	0	0	0	0	0.05273226	3.182839E-10	3.512602E-05	1.620638E-07	0.03469799	0.01663692	0.06690447	0.05033461	0.1734503	0.003333322	0.004532498	0.02402827	0.4254421	0.001828765	0.1938483	0.004566965	0.1962632	0.00120713	0.02680731	0.0001510079	0.02050038	0.003977904	0.04106686	3	167	1	243	132	279	279	-2.886416	0	-2.30687	0	-5.580867	0	-2.764858	0	-0.5106679	0	-2.27624	0	-1.996359	0	1.887445	0	-2.886416	0	-0.5106679	0						
Validierungsstudie2	20161027	RB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.003964827	0.0301085	0.07958672	0.0007539305	0.0001398853	-0.0530777	0	0	0	0	0	0.06257489	1.981917E-10	3.695985E-05	1.825287E-07	0.04383929	0.01502277	0.07594151	0.0515673	0.1017236	0.002368863	0.004531845	0.02403631	0.4252545	0.001829375	0.1939395	0.004569535	0.1947755	0.00105605	0.02275321	0.0001412171	0.02041716	0.004140566	0.04125788	4	200	1	242	131	284	284	-3.483886	0	-1.989787	0	-6.255888	0	-3.753473	0	-0.2258179	0	-2.014194	0	-1.46399	0	1.755914	0	-3.483886	0	-0.2258179	0						
Validierungsstudie2	20161027	RB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.003703665	0.02978909	0.07964537	0.0008345189	0.0001923398	-0.05532074	0	0	0	0	0	0.07409836	2.046734E-10	3.913146E-05	1.533684E-07	0.03824571	0.01506312	0.08658069	0.05412718	0.1105625	0.003298988	0.004530061	0.02404816	0.4255009	0.001829796	0.1940991	0.00457324	0.1949565	0.001651578	0.02715608	0.000198176	0.02431278	0.006115191	0.04155809	5	233	1	242	132	280	280	-3.37648	0	-2.207696	0	-5.786494	0	-3.017497	0	-0.6265488	0	-2.268313	0	-1.892859	0	1.928729	0	-3.37648	0	-0.6265488	0						
Validierungsstudie2	20161027	RB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.003488282	0.03958413	0.07968652	0.0008532567	0.0001767479	-0.05679321	0	0	0	0	0	0.06777469	1.747862E-10	4.138335E-05	1.238431E-07	0.03663464	0.01268802	0.08402085	0.06836458	0.1037214	0.003312998	0.004530916	0.02403544	0.4255138	0.001829145	0.1941374	0.004573114	0.1948145	0.0008284543	0.02578911	0.0002494541	0.02289583	0.007755534	0.04917894	6	267	1	242	133	281	281	-3.040823	0	-2.031703	0	-5.831875	0	-3.421144	0	-0.315146	0	-1.966108	0	-1.582952	0	1.828949	0	-3.040823	0	-0.315146	0						
Validierungsstudie2	20161027	RB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.003809155	0.03336568	0.07956447	0.001093474	0.0001630354	-0.06047821	0	0	0	0	0	0.07559291	1.39716E-10	4.130158E-05	9.472679E-08	0.0384591	0.01593348	0.06876624	0.06693885	0.09217764	0.003140886	0.004531132	0.02406264	0.4253516	0.001828969	0.193986	0.004570141	0.1945775	0.0009031576	0.02684777	0.0001795244	0.02265512	0.007394236	0.05204342	7	300	1	242	133	281	281	-3.040823	0	-2.031703	0	-5.831875	0	-3.421144	0	-0.315146	0	-1.966108	0	-1.582952	0	1.828949	0	-3.040823	0	-0.315146	0						
Validierungsstudie2	20161027	RB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.003979065	0.03936146	0.07960095	0.001323295	0.0001526787	-0.05340576	0	0	0	0	0	0.07272779	4.592582E-10	3.320828E-05	9.01027E-08	0.02871324	0.01805036	0.069191	0.05291276	0.08804664	0.004891485	0.004528091	0.02405761	0.4256216	0.001828599	0.1940291	0.004570677	0.1944931	0.0007493087	0.0269845	0.0002261187	0.02331926	0.006344833	0.04497075	8	333	1	243	133	279	279	-3.17872	0	-2.261368	0	-5.700854	0	-2.933384	0	-0.574618	0	-2.278118	0	-1.948281	0	1.918575	0	-3.17872	0	-0.574618	0						
Validierungsstudie2	20161027	RB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.004054927	0.04467847	0.07955359	0.001439238	0.0001545804	-0.05131531	0	0	0	0	0	0.06476127	1.026665E-09	3.382872E-05	8.119616E-08	0.02669847	0.01807373	0.05553759	0.05552854	0.1009685	0.005044954	0.004528752	0.0240536	0.4255714	0.00182782	0.1939144	0.004567405	0.1947601	0.0007020255	0.02246602	0.0003130728	0.02370379	0.005303531	0.04110517	9	367	1	243	132	279	279	-3.266992	0	-2.251091	0	-5.796432	0	-2.999901	0	-0.5823119	0	-2.314364	0	-1.921699	0	1.914248	0	-3.266992	0	-0.5823119	0						
Validierungsstudie2	20161027	RB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	399	399			4	1	800	542	10	0	34	0.004118604	0.04088335	0.07951248	0.001197034	0.0001769459	-0.04849243	0	0	0	0	0	0.06258872	6.70571E-10	3.275111E-05	8.931884E-08	0.0234871	0.01824913	0.04922462	0.05208808	0.0920316	0.005484904	0.004529573	0.02405862	0.4256171	0.001827835	0.1938094	0.004565289	0.1945755	0.0008347218	0.02113748	0.0003379478	0.02445273	0.004875832	0.03694035	10	400	1	243	132	279	279	-3.266992	0	-2.251091	0	-5.796432	0	-2.999901	0	-0.5823119	0	-2.314364	0	-1.921699	0	1.914248	0	-3.266992	0	-0.5823119	0						
Validierungsstudie2	20161027	RB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	433	433			4	1	800	542	11	0	34	0.003961546	0.04242393	0.07954457	0.001239761	0.0001519644	-0.04853821	0	0	0	0	0	0.05628639	1.769208E-09	3.032422E-05	9.738671E-08	0.02699539	0.01731044	0.05008882	0.056206	0.0860518	0.005469438	0.004530955	0.02404564	0.425527	0.001827783	0.1937971	0.004564779	0.1944519	0.001051432	0.02197568	0.0004765885	0.02488467	0.004749368	0.03870999	11	433	1	243	132	279	279	-3.266992	0	-2.251091	0	-5.796432	0	-2.999901	0	-0.5823119	0	-2.314364	0	-1.921699	0	1.914248	0	-3.266992	0	-0.5823119	0						
Validierungsstudie2	20161027	RB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	466	466			4	1	800	542	12	0	34	0.004297592	0.03930539	0.07952417	0.00121731	0.0001457677	-0.0476532	0	0	0	0	0	0.05105868	1.408439E-09	2.940044E-05	1.089991E-07	0.0281861	0.01877826	0.05207299	0.0557334	0.09045083	0.004909411	0.004532891	0.02403709	0.4255129	0.001827994	0.1937499	0.004564157	0.194544	0.001219133	0.02245095	0.0004473807	0.02519382	0.004788748	0.03910393	12	467	1	242	131	283	283	-3.507998	0	-1.99059	0	-6.234228	0	-3.746951	0	-0.2378788	0	-2.017653	0	-1.460014	0	1.764174	0	-3.507998	0	-0.2378788	0						
