#Study : Validierungsstudie2
#Date : 20161027 15:12:08
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:13:50.664 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	Rafd090_10	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	688	1024	0	0	34	96.19788	0.01176142	43.40498	0.003056332	4.110808E-10	-29.01677	0	0	0	0	0	0.3717256	6.912459E-08	0.02943386	0.0003420938	0.002282996	0.007158764	0.0287574	0.08725516	0.0824851	0.01224326	29.43273	25.06695	0.4276584	3.370763E-06	0.0006090108	1.455194	1.168696	0.0003763817	0.0007878339	6.346488E-07	15.51139	0.0004485508	0.08618905	0	67	1	168	312	326	326	-14.02167	0	2.102347	0	-9.486897	0	-6.267107	0	-4.386655	0	-3.733341	0	-0.03057774	0	-3.087189	0	-14.02167	0	2.102347	0						
Validierungsstudie2	20161027	Rafd090_10	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	688	1024	1	0	34	95.31602	0.01528198	41.9282	0.004705925	3.182772E-10	-28.77845	0	0	0	0	0	0.4262985	6.424443E-08	0.02355199	0.0004837973	0.004277194	0.007092202	0.02785884	0.1238679	0.07645335	0.01489944	27.70235	23.91047	0.4272807	3.570585E-06	0.0006432409	1.383486	1.149023	0.0003332117	0.001089764	1.368058E-06	13.75162	0.0005173149	0.08327524	1	100	1	168	312	326	326	-14.01432	0	2.080493	0	-9.467797	0	-6.237843	0	-4.389215	0	-3.727611	0	0.004129493	0	-3.083842	0	-14.01432	0	2.080493	0						
Validierungsstudie2	20161027	Rafd090_10	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	688	1024	2	0	34	94.87752	0.0165697	41.33833	0.003072615	4.381286E-10	-28.68376	0	0	0	0	0	0.4450739	4.548302E-08	0.02543285	0.0006640495	0.005935717	0.01126762	0.03612305	0.2225332	0.0661728	0.01081659	26.931	23.33169	0.4273988	3.674952E-06	0.0006610494	1.349424	1.138492	0.0003345398	0.00154427	3.476708E-06	13.3217	0.0006233573	0.07754885	2	133	1	168	312	326	326	-14.12307	0	2.079445	0	-9.491535	0	-6.295959	0	-4.415925	0	-3.791021	0	-0.02158711	0	-3.044183	0	-14.12307	0	2.079445	0						
Validierungsstudie2	20161027	Rafd090_10	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	688	1024	3	0	34	95.12521	0.01804812	41.82186	0.002905389	3.772354E-10	-28.76387	0	0	0	0	0	0.4382938	4.694596E-08	0.02270308	0.0006033847	0.005213093	0.01215858	0.03098983	0.2535151	0.06403227	0.01189941	27.42428	23.65977	0.4272369	3.615335E-06	0.0006510629	1.368821	1.143474	0.0003275759	0.001532241	5.267842E-06	13.18281	0.0005679169	0.0724437	3	167	1	168	312	326	326	-14.08348	0	2.075436	0	-9.493156	0	-6.294508	0	-4.408145	0	-3.762784	0	-0.008689069	0	-3.050511	0	-14.08348	0	2.075436	0						
Validierungsstudie2	20161027	Rafd090_10	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	688	1024	4	0	34	94.48042	0.01892695	40.63862	0.002767369	5.074806E-10	-28.56351	0	0	0	0	0	0.4531462	3.388014E-08	0.0249648	0.0006580102	0.004532459	0.01023818	0.031468	0.2146194	0.0698068	0.0132433	26.18032	22.81495	0.4273807	3.77111E-06	0.0006770911	1.318209	1.130574	0.0002983043	0.00116255	7.986303E-06	12.32562	0.0005599163	0.07026068	4	200	1	168	312	326	326	-14.07804	0	2.076915	0	-9.496215	0	-6.301356	0	-4.406442	0	-3.754581	0	-0.006389046	0	-3.050373	0	-14.07804	0	2.076915	0						
Validierungsstudie2	20161027	Rafd090_10	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	688	1024	5	0	34	95.28754	0.0145227	42.14008	0.00291779	4.458786E-10	-28.83256	0	0	0	0	0	0.4767338	1.974268E-08	0.02736043	0.000675136	0.005438093	0.01152995	0.03377746	0.2741032	0.071141	0.01253246	27.71756	23.92703	0.4274941	3.577723E-06	0.0006454642	1.383639	1.147776	0.0002703886	0.001322716	4.42073E-06	12.20654	0.000613703	0.07664648	5	233	1	168	312	327	327	-14.0369	0	2.085334	0	-9.499128	0	-6.325506	0	-4.400665	0	-3.761918	0	-0.0144904	0	-3.064741	0	-14.0369	0	2.085334	0						
Validierungsstudie2	20161027	Rafd090_10	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	688	1024	6	0	34	95.72137	0.01294053	42.81479	0.002874248	5.034977E-10	-28.94714	0	0	0	0	0	0.4739576	3.108264E-08	0.02685568	0.0006361558	0.004961299	0.01118131	0.03435744	0.2268684	0.09471718	0.01129239	28.51967	24.52147	0.4274909	3.477776E-06	0.0006287941	1.419464	1.15991	0.0002891102	0.001265317	3.064482E-06	13.11163	0.0006567081	0.08042147	6	267	1	169	312	325	325	-14.34567	0	2.026219	0	-9.539425	0	-6.316586	0	-4.478497	0	-3.926138	0	0.06643771	0	-3.095918	0	-14.34567	0	2.026219	0						
Validierungsstudie2	20161027	Rafd090_10	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	688	1024	7	0	34	95.59508	0.01311517	42.56486	0.003236478	5.65227E-10	-28.91409	0	0	0	0	0	0.5036501	2.784987E-08	0.0286961	0.0006859614	0.004487879	0.01078865	0.03335296	0.2101377	0.09972931	0.0133376	28.23732	24.38402	0.4275971	3.506557E-06	0.0006341182	1.410066	1.157808	0.0002818786	0.001170072	3.983428E-06	12.32058	0.0006583171	0.07630312	7	300	1	168	312	327	327	-14.02858	0	2.088862	0	-9.508778	0	-6.321419	0	-4.396008	0	-3.770229	0	-0.01862233	0	-3.066388	0	-14.02858	0	2.088862	0						
Validierungsstudie2	20161027	Rafd090_10	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	688	1024	8	0	34	95.483	0.01321614	42.33827	0.003226272	6.152942E-10	-28.87678	0	0	0	0	0	0.5126973	2.070681E-08	0.02843084	0.0007100305	0.004072175	0.008066877	0.03277358	0.1923572	0.08978144	0.01513666	28.00038	24.24173	0.4275944	3.532327E-06	0.0006385567	1.40109	1.154199	0.0002786462	0.001043928	5.047911E-06	12.01791	0.0006194928	0.07176912	8	333	1	168	312	326	326	-14.03258	0	2.079731	0	-9.512138	0	-6.31784	0	-4.39309	0	-3.760581	0	-0.008585429	0	-3.059313	0	-14.03258	0	2.079731	0						
Validierungsstudie2	20161027	Rafd090_10	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	688	1024	9	0	34	95.94022	0.01179177	43.18501	0.003461474	5.998659E-10	-29.03288	0	0	0	0	0	0.5388083	6.954115E-08	0.03398888	0.0008117491	0.004760696	0.007330082	0.04116102	0.2194719	0.08234125	0.01550937	28.8821	24.90514	0.4279401	3.428857E-06	0.0006219542	1.441095	1.163112	0.000292435	0.00094872	3.565148E-06	12.25832	0.0005422312	0.08728219	9	367	1	168	312	326	326	-14.00912	0	2.077935	0	-9.494795	0	-6.304849	0	-4.38088	0	-3.74824	0	-0.02080665	0	-3.044219	0	-14.00912	0	2.077935	0						
