#Study : Validierungsstudie2
#Date : 20161027 15:14:53
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:39.984 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	RA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.00657621	0.01918973	0.08016779	0.0007680273	0.001014832	-0.01187134	0	0	0	0	0	0.009729718	1.787618E-11	1.899119E-05	4.156648E-06	0.01052863	0.01279961	0.188786	0.003142147	0.1456221	0.01030787	0.00453722	0.02388583	0.4270347	0.001833737	0.1944803	0.004585355	0.1956811	0.001233956	0.008242639	0.0002971444	0.01022691	0.002873478	0.05699214	0	67	1	245	148	280	280	-3.420416	0	-1.97739	0	-2.526149	0	-2.191393	0	-1.588604	0	-1.837505	0	-3.179035	0	2.83138	0	-3.420416	0	-1.588604	0						
Validierungsstudie2	20161027	RA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.006687927	0.02927261	0.08268999	0.0009626864	0.0006811434	-0.01525116	0	0	0	0	0	0.008495593	5.731451E-11	1.704123E-05	4.166109E-06	0.0175552	0.01695991	0.6127295	0.002696393	0.2074361	0.01987034	0.004535417	0.02353931	0.4301354	0.001847202	0.1983098	0.004678313	0.1969733	0.001170281	0.00787258	0.0008872445	0.0094637	0.002739739	0.2062181	1	100	1	245	148	280	280	-3.366282	0	-1.975252	0	-2.560759	0	-2.20303	0	-1.561983	0	-1.805616	0	-3.155259	0	2.816601	0	-3.366282	0	-1.561983	0						
Validierungsstudie2	20161027	RA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.005445565	0.03331355	0.08154605	0.001436778	0.0006001543	-0.02107239	0	0	0	0	0	0.01001255	9.534258E-11	1.599886E-05	4.59963E-06	0.03452616	0.01582087	0.4134993	0.004132925	0.1663904	0.01085943	0.004533709	0.02368809	0.4281303	0.001840405	0.1966065	0.004635405	0.1961144	0.0008128685	0.01171617	0.0005210283	0.009609618	0.002965252	0.09568239	2	133	1	245	148	280	280	-3.402598	0	-1.983984	0	-2.534318	0	-2.199424	0	-1.578847	0	-1.831977	0	-3.173933	0	2.831368	0	-3.402598	0	-1.578847	0						
Validierungsstudie2	20161027	RA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.009310703	0.03559742	0.08072702	0.001078973	0.0005513991	-0.01968384	0	0	0	0	0	0.01168294	1.004879E-10	1.875358E-05	5.992656E-06	0.02748147	0.01342238	0.2697759	0.004393888	0.1100926	0.0105726	0.004534396	0.02381361	0.427219	0.001834986	0.1953283	0.004606098	0.1949619	0.001048713	0.006985092	0.0007186207	0.01186439	0.002286177	0.1247261	3	167	1	245	148	280	280	-3.379557	0	-1.984436	0	-2.531699	0	-2.197782	0	-1.571696	0	-1.835058	0	-3.17615	0	2.833735	0	-3.379557	0	-1.571696	0						
Validierungsstudie2	20161027	RA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.01010112	0.02990499	0.08136496	0.0008569901	0.0006146806	-0.02358246	0	0	0	0	0	0.01160209	1.384847E-10	1.858359E-05	5.640671E-06	0.03929282	0.01470907	0.3857604	0.004520472	0.1122941	0.02015189	0.004536286	0.02372099	0.4277922	0.001839125	0.196283	0.004630523	0.1950094	0.001211075	0.007316737	0.0008117878	0.01260031	0.002418082	0.1276225	4	200	1	245	148	280	280	-3.422925	0	-1.974592	0	-2.527887	0	-2.18724	0	-1.582475	0	-1.84091	0	-3.170398	0	2.824632	0	-3.422925	0	-1.582475	0						
Validierungsstudie2	20161027	RA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.009439022	0.0233143	0.08086841	0.0008184644	0.0006490016	-0.02416992	0	0	0	0	0	0.01460701	2.813038E-10	2.156014E-05	6.813247E-06	0.04089906	0.01333677	0.3065771	0.00487118	0.1183287	0.01846602	0.00453697	0.02379101	0.4271295	0.001836966	0.1955471	0.004612762	0.1951313	0.001793317	0.00744971	0.0004752215	0.01250245	0.0026788	0.1197358	5	233	1	245	148	280	280	-3.348469	0	-1.967761	0	-2.566503	0	-2.203996	0	-1.554466	0	-1.801254	0	-3.153289	0	2.813148	0	-3.348469	0	-1.554466	0						
Validierungsstudie2	20161027	RA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.009445019	0.02242085	0.08084221	0.0007832819	0.0007457008	-0.02417755	0	0	0	0	0	0.0130021	4.584303E-10	2.169461E-05	5.617769E-06	0.04330565	0.01333393	0.3029344	0.004650056	0.1035446	0.02324458	0.004537428	0.02379075	0.4270245	0.001836928	0.195497	0.004611613	0.1948243	0.001904083	0.007368937	0.0004572589	0.01225407	0.002696969	0.130715	6	267	1	245	148	280	280	-3.348469	0	-1.967761	0	-2.566503	0	-2.203996	0	-1.554466	0	-1.801254	0	-3.153289	0	2.813148	0	-3.348469	0	-1.554466	0						
Validierungsstudie2	20161027	RA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.01028543	0.02256776	0.08117105	0.0007982151	0.0006562956	-0.02306366	0	0	0	0	0	0.01300202	8.122066E-11	2.126802E-05	5.738981E-06	0.0375657	0.01339941	0.3596657	0.004771194	0.114152	0.02513133	0.004537809	0.02374962	0.4276208	0.001838685	0.1959874	0.004624111	0.1950479	0.001401086	0.007346058	0.0004684012	0.01160348	0.002630792	0.1320112	7	300	1	245	148	280	280	-3.348469	0	-1.967761	0	-2.566503	0	-2.203996	0	-1.554466	0	-1.801254	0	-3.153289	0	2.813148	0	-3.348469	0	-1.554466	0						
Validierungsstudie2	20161027	RA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.007263007	0.02339368	0.08142813	0.0006946452	0.0006369067	-0.02233124	0	0	0	0	0	0.01145755	1.045345E-10	2.463913E-05	5.431124E-06	0.03955435	0.01461699	0.4031427	0.004278642	0.1105714	0.02629609	0.004536623	0.02370564	0.4279007	0.001840448	0.1964049	0.004632586	0.1949631	0.001716677	0.007515777	0.0005755101	0.01179094	0.002763115	0.1286512	8	333	1	245	148	280	280	-3.39385	0	-1.979589	0	-2.537341	0	-2.203897	0	-1.576106	0	-1.827888	0	-3.169113	0	2.826516	0	-3.39385	0	-1.576106	0						
Validierungsstudie2	20161027	RA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.007117799	0.02251009	0.08130335	0.0007370406	0.0006368842	-0.02365875	0	0	0	0	0	0.01221226	5.456302E-10	2.361247E-05	4.871632E-06	0.04084162	0.01741563	0.3825367	0.004339139	0.1067188	0.02634533	0.004536844	0.02372179	0.4277037	0.001839829	0.1962208	0.004628069	0.194883	0.00202186	0.007121893	0.0004644269	0.01170019	0.002728387	0.137432	9	367	1	245	148	280	280	-3.342656	0	-1.966277	0	-2.562868	0	-2.199643	0	-1.554276	0	-1.798224	0	-3.152905	0	2.809209	0	-3.342656	0	-1.554276	0						
