#Study : Validierungsstudie2
#Date : 20161027 15:14:54
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:39.153 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	PS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	22.70357	0.008039898	0.4017047	0.0003088425	1.47507E-07	-7.084007	0	0	0	0	0	0.8796762	4.863979E-11	0.001044011	0.0008076149	0.004406602	0.02002018	0.1118686	0.003541227	0.04516395	0.02712687	0.03781879	0.1391125	0.4268067	0.0004145962	0.05101031	0.01829813	0.2960272	0.001271409	0.009583639	0.002030536	1.769081	0.002606673	0.09552858	0	67	1	262	182	247	247	-5.98602	0	1.267978	0	-4.186757	0	-3.168169	0	-1.721907	0	-1.066039	0	-0.679002	0	-0.5472893	0	-5.98602	0	1.267978	0						
Validierungsstudie2	20161027	PS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	17.23796	0.007450705	0.2732211	0.0002666804	1.435414E-07	-5.403343	0	0	0	0	0	0.7343943	3.710271E-11	0.0009915605	0.0004094301	0.005154317	0.03086728	0.06687976	0.001892457	0.04420048	0.1633188	0.02265013	0.09160388	0.4264123	0.0005924421	0.07034121	0.01309776	0.2672428	0.00158765	0.009567504	0.009021102	1.454002	0.002532535	0.09475301	1	100	1	262	182	247	247	-5.986006	0	1.265837	0	-4.182941	0	-3.158615	0	-1.722301	0	-1.067014	0	-0.6788656	0	-0.5453686	0	-5.986006	0	1.265837	0						
Validierungsstudie2	20161027	PS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	16.00294	0.008914083	0.2492395	0.0004726326	2.168339E-07	-5.015686	0	0	0	0	0	0.6851915	8.347234E-11	0.001095718	0.0007005522	0.005682072	0.02125221	0.1088345	0.002208789	0.0441412	0.06173892	0.02018042	0.08312728	0.4267412	0.0006427817	0.0757842	0.01216871	0.2611398	0.001818247	0.007246286	0.009943394	1.782932	0.00183352	0.1042364	2	133	1	262	182	247	247	-5.986006	0	1.265837	0	-4.182941	0	-3.158615	0	-1.722301	0	-1.067014	0	-0.6788656	0	-0.5453686	0	-5.986006	0	1.265837	0						
Validierungsstudie2	20161027	PS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	17.05345	0.01017669	0.268144	0.000426144	1.627288E-07	-5.35672	0	0	0	0	0	0.7652805	8.873931E-11	0.0009205789	0.0004609608	0.0063179	0.02647129	0.08451261	0.00276839	0.05026157	0.04484894	0.02222561	0.09047808	0.4265139	0.0005997789	0.07125577	0.01297724	0.2664934	0.001383229	0.01072162	0.01145557	1.736587	0.002626415	0.1030445	3	167	1	262	182	247	247	-5.986006	0	1.265837	0	-4.182941	0	-3.158615	0	-1.722301	0	-1.067014	0	-0.6788656	0	-0.5453686	0	-5.986006	0	1.265837	0						
Validierungsstudie2	20161027	PS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	16.2396	0.01144752	0.2532742	0.0004296498	1.398493E-07	-5.095016	0	0	0	0	0	0.711351	2.427498E-11	0.0008769264	0.0005554266	0.005951945	0.02139655	0.09756154	0.003024802	0.04509563	0.03784616	0.02061742	0.08478807	0.4266008	0.0006327191	0.07474668	0.01234687	0.2623247	0.0009953862	0.01086362	0.01409996	1.514455	0.002534558	0.09424395	4	200	1	262	182	247	247	-5.996099	0	1.278843	0	-4.187981	0	-3.196537	0	-1.733654	0	-1.082419	0	-0.7053092	0	-0.5408615	0	-5.996099	0	1.278843	0						
Validierungsstudie2	20161027	PS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	15.71722	0.009047983	0.2440209	0.000489131	1.540039E-07	-4.914139	0	0	0	0	0	0.6295019	2.375728E-11	0.0009419497	0.0005888758	0.005774023	0.02324514	0.09758274	0.002790685	0.06158827	0.04535154	0.01969023	0.08109239	0.4266152	0.0006547789	0.07692659	0.0119357	0.2602288	0.001317597	0.01016083	0.01527357	1.476948	0.00218814	0.09742907	5	233	1	262	182	247	247	-6.003025	0	1.265503	0	-4.187712	0	-3.170918	0	-1.730227	0	-1.058667	0	-0.6843796	0	-0.5451012	0	-6.003025	0	1.265503	0						
Validierungsstudie2	20161027	PS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	15.72281	0.01026934	0.2443508	0.0005214827	1.536295E-07	-4.940804	0	0	0	0	0	0.7160076	4.121617E-11	0.0009299251	0.0006012731	0.005991449	0.01897592	0.1109494	0.003347629	0.04902782	0.03750966	0.01962856	0.08156194	0.4267197	0.0006546728	0.07715157	0.01197863	0.2599098	0.001174619	0.009068904	0.01688629	1.552861	0.002052784	0.09843366	6	267	1	262	182	247	247	-6.003025	0	1.265503	0	-4.187712	0	-3.170918	0	-1.730227	0	-1.058667	0	-0.6843796	0	-0.5451012	0	-6.003025	0	1.265503	0						
Validierungsstudie2	20161027	PS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	15.4708	0.01191622	0.2400726	0.0006192133	1.784825E-07	-4.850334	0	0	0	0	0	0.6683664	1.991937E-10	0.0009931219	0.0006250782	0.005455243	0.01774654	0.1150738	0.003147423	0.05666351	0.04259534	0.01920156	0.07977077	0.4267823	0.0006655749	0.07823522	0.01178486	0.2588972	0.001406858	0.009025466	0.01919213	1.657298	0.00203963	0.09574905	7	300	1	262	182	247	247	-6.003025	0	1.265503	0	-4.187712	0	-3.170918	0	-1.730227	0	-1.058667	0	-0.6843796	0	-0.5451012	0	-6.003025	0	1.265503	0						
Validierungsstudie2	20161027	PS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	14.50987	0.01077451	0.2240923	0.0005410194	1.789494E-07	-4.572472	0	0	0	0	0	0.6999615	8.61521E-11	0.0009486803	0.0006136398	0.005758462	0.02090638	0.1093866	0.002982811	0.05476662	0.03969933	0.01750675	0.0743963	0.4267232	0.000708735	0.08292723	0.01113193	0.254235	0.001341982	0.008728466	0.02138877	1.577036	0.002239873	0.09736454	8	333	1	262	182	247	247	-5.994153	0	1.279593	0	-4.198137	0	-3.196129	0	-1.732616	0	-1.079896	0	-0.6994464	0	-0.5442075	0	-5.994153	0	1.279593	0						
Validierungsstudie2	20161027	PS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	16.31858	0.00954993	0.2547278	0.0004905208	1.878399E-07	-5.114227	0	0	0	0	0	0.6996523	2.190077E-11	0.001060157	0.0005791052	0.005665429	0.01905457	0.09890312	0.002508905	0.05898553	0.03971084	0.02078526	0.08522901	0.4266593	0.0006295112	0.0743649	0.0124012	0.2630993	0.001441308	0.008171313	0.01634074	1.611522	0.002172987	0.09760639	9	367	1	262	182	247	247	-5.994153	0	1.279593	0	-4.198137	0	-3.196129	0	-1.732616	0	-1.079896	0	-0.6994464	0	-0.5442075	0	-5.994153	0	1.279593	0						
