#Study : Validierungsstudie2
#Date : 20161027 15:14:55
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:38.400 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	PO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.0180658	0.04223661	0.08337449	0.0003782056	2.338813E-05	-0.04189301	0	0	0	0	0	0.02897998	1.09264E-12	8.639438E-06	0.0001292657	0.08488885	0.005257516	0.7152792	0.001787406	0.03765226	0.003636864	0.09546208	0.0234824	0.4290858	0.001848288	0.1993406	0.004708956	0.1935094	0.0002839044	0.0009561882	91.45264	0.006323577	0.0007285122	0.06793934	0	67	1	246	160	276	276	-5.538353	0	-3.028772	0	-2.484485	0	-2.32465	0	-1.764584	0	-3.203874	0	-2.66378	0	3.271183	0	-5.538353	0	-1.764584	0						
Validierungsstudie2	20161027	PO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.02461601	0.1687448	0.08290187	0.001083785	5.841628E-05	-0.0813446	0	0	0	0	0	0.06454518	5.861461E-12	1.211351E-05	0.0001013636	0.1500275	0.02745746	0.5091125	0.004111724	0.03975627	0.003612688	0.05525221	0.02360318	0.4258063	0.00183299	0.1988879	0.00468833	0.1935757	0.001603899	0.008735794	75.2569	0.01034245	0.001952749	0.06465936	1	100	1	246	160	276	276	-5.51666	0	-3.025015	0	-2.46916	0	-2.307068	0	-1.763456	0	-3.169532	0	-2.666899	0	3.270167	0	-5.51666	0	-1.763456	0						
Validierungsstudie2	20161027	PO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.01678197	0.1790622	0.08282062	0.00107645	7.101532E-05	-0.06555939	0	0	0	0	0	0.04560655	1.868882E-11	1.420487E-05	0.0001249474	0.1381939	0.01234952	0.4850613	0.004612471	0.06592987	0.002909415	0.07992428	0.02358294	0.4259883	0.001832513	0.198756	0.00467966	0.1940852	0.001135381	0.003693176	86.36214	0.008934558	0.001645246	0.0641454	2	133	1	245	160	276	276	-5.504135	0	-3.034798	0	-2.46332	0	-2.295194	0	-1.759505	0	-3.1688	0	-2.677121	0	3.276928	0	-5.504135	0	-1.759505	0						
Validierungsstudie2	20161027	PO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.03723648	0.1443681	0.08331835	0.000458	4.734676E-05	-0.04745483	0	0	0	0	0	0.03839242	1.182328E-11	1.636765E-05	0.0002343807	0.06947834	0.01085539	0.6037092	0.003229294	0.06868374	0.003874892	0.08921194	0.02356224	0.4288738	0.00183609	0.1991851	0.004705593	0.1942165	0.001754799	0.002294831	89.54066	0.01168618	0.001134105	0.06691474	3	167	1	246	160	276	276	-5.527806	0	-3.034372	0	-2.474764	0	-2.315506	0	-1.76277	0	-3.203462	0	-2.672466	0	3.276845	0	-5.527806	0	-1.76277	0						
Validierungsstudie2	20161027	PO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.02719585	0.2077079	0.08465645	0.0006494097	6.039368E-05	-0.05699921	0	0	0	0	0	0.04072436	9.65625E-12	1.894361E-05	0.0001903846	0.1078169	0.009931672	0.7636101	0.004583375	0.0499906	0.005517371	0.08282086	0.0233715	0.4290224	0.001838834	0.2013908	0.004747294	0.1937953	0.001440352	0.00273612	87.44371	0.009815349	0.001150617	0.07608087	4	200	1	245	160	276	276	-5.504854	0	-3.046128	0	-2.46541	0	-2.310373	0	-1.75423	0	-3.187908	0	-2.683466	0	3.278857	0	-5.504854	0	-1.75423	0						
Validierungsstudie2	20161027	PO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.03307321	0.1499146	0.08307869	0.0005972703	5.234864E-05	-0.05893707	0	0	0	0	0	0.0366807	1.708688E-11	1.97014E-05	0.0001714316	0.1099742	0.01288886	0.5577971	0.004477419	0.05665843	0.005291619	0.08866392	0.02356837	0.427441	0.001834727	0.1988692	0.004694867	0.1939538	0.001627721	0.003466426	89.37213	0.01057687	0.001468998	0.06257297	5	233	1	246	160	276	276	-5.501563	0	-3.026678	0	-2.471475	0	-2.300238	0	-1.756259	0	-3.153778	0	-2.684633	0	3.274417	0	-5.501563	0	-1.756259	0						
Validierungsstudie2	20161027	PO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.03390913	0.1363185	0.08348782	0.0004730236	4.56049E-05	-0.04944611	0	0	0	0	0	0.05160132	2.81686E-11	2.720756E-05	0.0002016965	0.06128177	0.01454878	0.6402304	0.003890421	0.054279	0.004740979	0.08835378	0.02355496	0.4294557	0.001838193	0.1995505	0.004713408	0.1939081	0.00130582	0.00218264	89.26055	0.01240091	0.001151574	0.05517801	6	267	1	246	160	276	276	-5.501563	0	-3.026678	0	-2.471475	0	-2.300238	0	-1.756259	0	-3.153778	0	-2.684633	0	3.274417	0	-5.501563	0	-1.756259	0						
Validierungsstudie2	20161027	PO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.04718821	0.1067807	0.08366936	0.000420214	3.817915E-05	-0.04696655	0	0	0	0	0	0.05005262	1.096419E-11	3.107681E-05	0.0002356362	0.04698701	0.009480942	0.7001995	0.003570419	0.0535632	0.00410425	0.0897773	0.02355388	0.4304386	0.001840376	0.199626	0.004725983	0.1939417	0.001512346	0.001877893	89.65482	0.01356948	0.001060169	0.05515224	7	300	1	246	160	276	276	-5.501563	0	-3.026678	0	-2.471475	0	-2.300238	0	-1.756259	0	-3.153778	0	-2.684633	0	3.274417	0	-5.501563	0	-1.756259	0						
Validierungsstudie2	20161027	PO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.04605712	0.1083987	0.08296208	0.0004209838	3.471209E-05	-0.04800415	0	0	0	0	0	0.04837354	6.97086E-12	3.265667E-05	0.0002084141	0.05104997	0.01160105	0.5796351	0.003439352	0.05985131	0.004350115	0.09299758	0.02364066	0.4294102	0.001836384	0.1985675	0.00469914	0.194067	0.001309833	0.002263515	90.71591	0.01451664	0.001141671	0.05138771	8	333	1	246	160	276	276	-5.520032	0	-3.021628	0	-2.468626	0	-2.300844	0	-1.76138	0	-3.145647	0	-2.679302	0	3.272663	0	-5.520032	0	-1.76138	0						
Validierungsstudie2	20161027	PO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.0446013	0.1228379	0.08334054	0.0004117223	3.200604E-05	-0.04875183	0	0	0	0	0	0.04637478	7.250511E-12	3.39261E-05	0.0001804617	0.05356764	0.01482389	0.6289651	0.003595091	0.0605686	0.004584489	0.09973856	0.02358534	0.4297282	0.001837337	0.1991568	0.004711322	0.1940764	0.001250967	0.002609971	92.84098	0.01437055	0.001210183	0.05256698	9	367	1	246	160	276	276	-5.50834	0	-3.024619	0	-2.465627	0	-2.298642	0	-1.756254	0	-3.137504	0	-2.68267	0	3.272601	0	-5.50834	0	-1.756254	0						
