#Study : Validierungsstudie2
#Date : 20161027 15:14:56
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:37.644 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	PB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.05834066	0.00702522	0.09019425	0.0007991627	4.087556E-06	-3.80088	0	0	0	0	0	12.45503	1.400406E-12	1.659733E-05	1.692687E-06	0.08842891	0.009652609	1.800857	0.05637879	0.07176373	0.01177055	0.002721908	0.05203746	0.4376208	0.001882331	0.3023055	0.007201084	0.1943574	9.083758E-05	0.009190559	0.0003373225	0.2432348	0.005760351	0.1413533	0	67	1	262	155	248	248	-3.79558	0	-1.26476	0	-4.679152	0	-2.453868	0	-1.218898	0	-1.982113	0	-1.994249	0	1.024435	0	-3.79558	0	-1.218898	0						
Validierungsstudie2	20161027	PB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.04050364	0.008150487	0.09176352	0.0007362391	9.943627E-06	-5.014709	0	0	0	0	0	16.58171	2.090478E-12	1.329681E-05	2.79102E-06	0.04503534	0.009120801	2.060401	0.03773234	0.2865753	0.01064966	0.00228631	0.06787246	0.4408598	0.001893376	0.3464028	0.008240808	0.198769	8.582092E-05	0.008199397	0.0002076926	0.1708629	0.006200773	0.1331676	1	100	1	262	155	248	248	-3.800654	0	-1.260769	0	-4.673801	0	-2.453355	0	-1.221263	0	-1.988175	0	-1.997806	0	1.023548	0	-3.800654	0	-1.221263	0						
Validierungsstudie2	20161027	PB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.04026574	0.008734719	0.09093237	0.0006831099	6.186067E-06	-4.650322	0	0	0	0	0	15.39605	5.374512E-12	1.434734E-05	2.917759E-06	0.0296487	0.006529717	1.933137	0.02715005	0.1564591	0.007072109	0.00240094	0.06300054	0.4402974	0.001888992	0.3324499	0.007905809	0.1960444	0.0001295471	0.005085539	0.0003614774	0.185177	0.004730262	0.09404568	2	133	1	262	155	248	248	-3.809986	0	-1.259256	0	-4.665805	0	-2.464031	0	-1.213761	0	-1.995332	0	-1.995517	0	1.029532	0	-3.809986	0	-1.213761	0						
Validierungsstudie2	20161027	PB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.0373861	0.009168011	0.09181923	0.0008169851	5.054799E-06	-4.727341	0	0	0	0	0	15.64139	5.479742E-12	1.379502E-05	2.679979E-06	0.03514405	0.009142048	2.072022	0.03300196	0.125535	0.01121718	0.00237643	0.06372034	0.4412436	0.001894097	0.3370554	0.008014684	0.1953921	0.0001409562	0.007200562	0.0003669003	0.1814986	0.005694809	0.1463583	3	167	1	262	155	248	248	-3.809718	0	-1.259598	0	-4.662272	0	-2.461099	0	-1.213888	0	-1.995677	0	-1.995668	0	1.029926	0	-3.809718	0	-1.213888	0						
Validierungsstudie2	20161027	PB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.03970267	0.009285185	0.08960466	0.0009589195	3.655252E-06	-4.137062	0	0	0	0	0	13.67412	3.103584E-12	1.474188E-05	1.594363E-06	0.03764772	0.008301659	1.727595	0.02832113	0.0930732	0.01079632	0.002579489	0.05654586	0.4384347	0.001881981	0.3128862	0.007435962	0.1947291	0.0001102069	0.008475874	0.0002731342	0.1812242	0.005534011	0.1512107	4	200	1	263	156	247	247	-3.764212	0	-1.406792	0	-4.679926	0	-2.409948	0	-1.178311	0	-2.111425	0	-1.971586	0	1.111917	0	-3.764212	0	-1.178311	0						
Validierungsstudie2	20161027	PB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.0404421	0.008133809	0.08947308	0.001329156	2.479852E-06	-4.244698	0	0	0	0	0	14.01699	6.270966E-12	1.63354E-05	1.966584E-06	0.04410759	0.01070592	1.70626	0.03375891	0.09076189	0.01469389	0.002543847	0.0578905	0.4380754	0.001881229	0.3157764	0.00750535	0.1946841	0.0001001891	0.01061195	0.0002324383	0.1765479	0.005619938	0.1733252	5	233	1	262	155	248	248	-3.793148	0	-1.26572	0	-4.677868	0	-2.451543	0	-1.214844	0	-1.987917	0	-1.993888	0	1.026683	0	-3.793148	0	-1.214844	0						
Validierungsstudie2	20161027	PB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.04412155	0.007342822	0.09061996	0.0009664643	1.990266E-06	-4.49469	0	0	0	0	0	14.87011	1.111279E-11	1.755058E-05	1.607309E-06	0.02958857	0.00803805	1.881058	0.02828576	0.08501488	0.01024774	0.002455371	0.0609555	0.4398843	0.001886813	0.3264011	0.007764584	0.1945789	9.53838E-05	0.008010642	0.0002042548	0.1731448	0.00536565	0.1392519	6	267	1	262	155	248	248	-3.793148	0	-1.26572	0	-4.677868	0	-2.451543	0	-1.214844	0	-1.987917	0	-1.993888	0	1.026683	0	-3.793148	0	-1.214844	0						
Validierungsstudie2	20161027	PB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.04800823	0.008016724	0.09046873	0.001276038	1.667968E-06	-4.225121	0	0	0	0	0	13.94466	7.76704E-12	2.168229E-05	2.132391E-06	0.03876224	0.009229678	1.853765	0.04025835	0.07316348	0.0135293	0.002553915	0.05736893	0.4394408	0.001885354	0.3170407	0.00754422	0.1943487	0.0001420639	0.01135636	0.0001654529	0.1819843	0.005785146	0.1634849	7	300	1	262	155	248	248	-3.793148	0	-1.26572	0	-4.677868	0	-2.451543	0	-1.214844	0	-1.987917	0	-1.993888	0	1.026683	0	-3.793148	0	-1.214844	0						
Validierungsstudie2	20161027	PB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.0516593	0.008500001	0.09038299	0.001304885	1.601382E-06	-3.781281	0	0	0	0	0	12.45583	1.909629E-11	2.450668E-05	2.266721E-06	0.03878557	0.01228989	1.836827	0.0428453	0.06822499	0.01379261	0.002718626	0.05199131	0.439295	0.001884294	0.3029443	0.00721067	0.1942602	0.0001692047	0.01160858	0.0001592359	0.1928567	0.006166289	0.135782	8	333	1	262	155	248	248	-3.793531	0	-1.265762	0	-4.679634	0	-2.453165	0	-1.214866	0	-1.988095	0	-1.993663	0	1.026554	0	-3.793531	0	-1.214866	0						
Validierungsstudie2	20161027	PB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.0505158	0.007868752	0.08985835	0.00111828	1.869586E-06	-3.746124	0	0	0	0	0	12.34453	2.77026E-11	2.71421E-05	2.40723E-06	0.04039992	0.009302893	1.756396	0.03989771	0.07776631	0.01228203	0.002730631	0.05174295	0.4386285	0.00188172	0.300861	0.007159126	0.1944526	0.0001684297	0.010902	0.0001715748	0.2027568	0.006205872	0.1313782	9	367	1	262	155	248	248	-3.793531	0	-1.265762	0	-4.679634	0	-2.453165	0	-1.214866	0	-1.988095	0	-1.993663	0	1.026554	0	-3.793531	0	-1.214866	0						
