#Study : Validierungsstudie2
#Date : 20161027 15:14:57
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:36.861 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	PA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.01950834	0.1373261	0.09493107	7.050146E-05	4.464622E-07	-0.06427765	0	0	0	0	0	0.1825505	5.793217E-12	0.0001436869	0.005443821	6.222895E-05	0.00331473	2.439127	0.0001548516	0.01683817	0.01330247	0.08274441	0.02238095	0.4452193	0.001901024	0.2173877	0.005142117	0.1930883	0.0006107837	0.0004102055	87.50717	0.01566038	0.0003194653	0.2575749	0	67	1	263	156	258	258	-7.782105	0	-1.974765	0	-1.040869	0	-1.407737	0	-2.357266	0	-2.787044	0	-1.735372	0	2.590365	0	-7.782105	0	-1.407737	0						
Validierungsstudie2	20161027	PA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.02257583	0.1292983	0.1032711	7.032183E-05	4.823082E-07	-0.06686401	0	0	0	0	0	0.1723396	8.710727E-12	0.0001532918	0.01538147	0.0001336968	0.003422766	3.627213	0.0003821922	0.01371684	0.00862458	0.06760043	0.02150667	0.4550719	0.001942654	0.2290951	0.005433277	0.1930355	0.00151673	0.0006285208	81.40331	0.01698735	0.0008904148	0.7579195	1	100	1	263	156	258	258	-7.777012	0	-1.980935	0	-1.039924	0	-1.414932	0	-2.360458	0	-2.779832	0	-1.74035	0	2.598849	0	-7.777012	0	-1.414932	0						
Validierungsstudie2	20161027	PA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.06677493	0.121609	0.09336563	6.859535E-05	2.669194E-07	-0.07175446	0	0	0	0	0	0.1473748	1.693116E-11	0.000140717	0.01159457	0.0002042462	0.005886013	2.221839	0.0003972797	0.01724965	0.01209186	0.09966034	0.0225785	0.4436191	0.001888649	0.2142746	0.00509691	0.1932676	0.0008547422	0.001471397	92.88643	0.02325307	0.001047144	0.3207091	2	133	1	263	156	258	258	-7.802163	0	-1.98523	0	-1.046262	0	-1.410821	0	-2.363886	0	-2.80392	0	-1.744149	0	2.600441	0	-7.802163	0	-1.410821	0						
Validierungsstudie2	20161027	PA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.04916659	0.1046724	0.08993479	6.294243E-05	1.991082E-07	-0.06570435	0	0	0	0	0	0.1429724	1.052419E-11	0.0001471675	0.01285718	8.425438E-05	0.005492928	1.714154	0.000410573	0.01262361	0.01182712	0.07320634	0.02293663	0.4395706	0.001874494	0.2094612	0.004969141	0.1931092	0.0006930849	0.000800997	83.64082	0.0247485	0.0006126189	0.2946831	3	167	1	263	156	258	258	-7.794021	0	-1.984358	0	-1.044894	0	-1.411144	0	-2.356244	0	-2.799625	0	-1.744907	0	2.597142	0	-7.794021	0	-1.411144	0						
Validierungsstudie2	20161027	PA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.05049681	0.1220369	0.09057745	5.940437E-05	1.524067E-07	-0.07113647	0	0	0	0	0	0.1593981	1.249287E-11	0.0001519817	0.01364558	5.221019E-05	0.004376525	1.796567	0.0003056213	0.01197499	0.0194631	0.08337946	0.02289156	0.4402476	0.001876074	0.2105067	0.004993748	0.1931007	0.000485783	0.0006042536	87.59355	0.02550721	0.0004981531	0.2870066	4	200	1	263	156	258	258	-7.824687	0	-1.987396	0	-1.059587	0	-1.429212	0	-2.374432	0	-2.800507	0	-1.745754	0	2.60574	0	-7.824687	0	-1.429212	0						
Validierungsstudie2	20161027	PA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.04631359	0.1208347	0.08988904	6.834656E-05	1.374119E-07	-0.06900024	0	0	0	0	0	0.1602496	1.747501E-11	0.0001464317	0.01096602	8.669378E-05	0.005254157	1.690863	0.0002876924	0.01501997	0.02580787	0.09358012	0.02296678	0.4393765	0.001873059	0.2095552	0.004967876	0.1931479	0.0006335693	0.0007319783	91.06969	0.02579262	0.0005321352	0.262991	5	233	1	263	156	258	258	-7.785845	0	-1.989699	0	-1.048241	0	-1.424263	0	-2.358193	0	-2.792583	0	-1.738581	0	2.604358	0	-7.785845	0	-1.424263	0						
Validierungsstudie2	20161027	PA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.03177789	0.1307899	0.08969837	7.9736E-05	1.341796E-07	-0.0619812	0	0	0	0	0	0.1531877	1.327442E-11	0.0001442866	0.009432472	0.0001107034	0.005834721	1.651152	0.0002810036	0.01454627	0.02362063	0.09892838	0.0229554	0.438995	0.001872878	0.2094237	0.004954784	0.1930857	0.0005434586	0.0006657945	92.78738	0.02047315	0.0004665929	0.2636382	6	267	1	263	156	258	258	-7.785659	0	-1.996006	0	-1.049299	0	-1.419746	0	-2.361544	0	-2.785359	0	-1.737088	0	2.605541	0	-7.785659	0	-1.419746	0						
Validierungsstudie2	20161027	PA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.02140965	0.1432565	0.09054703	6.726642E-05	1.610749E-07	-0.06186676	0	0	0	0	0	0.1615342	1.14984E-11	0.0001539957	0.009678205	0.0001214942	0.007055424	1.770638	0.0003309278	0.01378504	0.01920816	0.09415363	0.02285152	0.4399386	0.00187746	0.2108649	0.004982498	0.1930326	0.0005780839	0.000905702	91.36177	0.01663112	0.0006479738	0.2957942	7	300	1	263	156	258	258	-7.797033	0	-2.000042	0	-1.055287	0	-1.423352	0	-2.362214	0	-2.803446	0	-1.741825	0	2.608662	0	-7.797033	0	-1.423352	0						
Validierungsstudie2	20161027	PA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.02223118	0.1318663	0.09047234	6.394534E-05	1.640498E-07	-0.05776978	0	0	0	0	0	0.1482506	9.859632E-12	0.0001658842	0.01003465	0.0001064795	0.005477727	1.770466	0.0003369213	0.01264915	0.01544448	0.09394479	0.02283995	0.4399493	0.001878052	0.2106493	0.004979021	0.1930124	0.00074108	0.0007207029	91.25815	0.01844767	0.0006007017	0.2611526	8	333	1	263	156	258	258	-7.805591	0	-1.992443	0	-1.053939	0	-1.427251	0	-2.361137	0	-2.802973	0	-1.745705	0	2.608099	0	-7.805591	0	-1.427251	0						
Validierungsstudie2	20161027	PA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.02522375	0.1227091	0.09063218	6.757408E-05	1.704362E-07	-0.0595932	0	0	0	0	0	0.1515752	1.004202E-11	0.000158659	0.009444298	0.0001198737	0.00627291	1.80436	0.000329434	0.01303371	0.01417552	0.09056687	0.02282926	0.4402155	0.001879405	0.210857	0.004986924	0.193031	0.0007802759	0.0008154961	90.13869	0.0197439	0.0006769903	0.27116	9	367	1	263	156	258	258	-7.800362	0	-1.993569	0	-1.050472	0	-1.42069	0	-2.359337	0	-2.801957	0	-1.743191	0	2.60622	0	-7.800362	0	-1.42069	0						
Validierungsstudie2	20161027	PA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	399	399			4	1	800	542	10	0	34	0.02642666	0.1233846	0.08933929	6.169354E-05	1.750841E-07	-0.05991364	0	0	0	0	0	0.1495032	9.800048E-12	0.0001510116	0.009585092	0.0001074692	0.008029953	1.602352	0.0003319459	0.01255264	0.01349575	0.08996372	0.02298131	0.438611	0.001872326	0.2089319	0.004940285	0.1930255	0.0007951199	0.0009677085	89.93227	0.01961015	0.0006468951	0.2366415	10	400	1	263	156	258	258	-7.800362	0	-1.993569	0	-1.050472	0	-1.42069	0	-2.359337	0	-2.801957	0	-1.743191	0	2.60622	0	-7.800362	0	-1.42069	0						
