#Study : Validierungsstudie2
#Date : 20161027 15:14:59
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:36.118 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	OG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.01192187	0.04888909	0.08294702	0.000562089	8.045652E-07	-0.3638153	0	0	0	0	0	1.187614	4.669744E-11	6.77927E-06	1.125469E-06	0.0003065247	0.011441	0.6366029	0.0005661145	0.05179099	0.02096699	0.004481233	0.0254517	0.4308538	0.00184598	0.2057929	0.004856796	0.1937778	0.0003456374	0.007301758	1.135411	0.07686068	0.0008522889	0.07723939	0	67	1	255	173	261	261	-3.190755	0	-3.353888	0	-3.685147	0	-2.469741	0	-0.6417018	0	-4.267546	0	-2.791453	0	3.507539	0	-3.190755	0	-0.6417018	0						
Validierungsstudie2	20161027	OG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.007269084	0.07280834	0.08356065	0.0004425571	9.631663E-07	-0.4445877	0	0	0	0	0	1.463815	1.444783E-11	7.671553E-06	8.441442E-07	0.0005192995	0.009391232	0.7159541	0.0004176224	0.05037037	0.02665244	0.00427222	0.02583234	0.4314626	0.001847761	0.2085491	0.004917545	0.1937317	0.0003786661	0.005773742	0.1015633	0.05376616	0.001097466	0.09694581	1	100	1	255	173	261	261	-3.183722	0	-3.337374	0	-3.726953	0	-2.482527	0	-0.637413	0	-4.244023	0	-2.817603	0	3.509256	0	-3.183722	0	-0.637413	0						
Validierungsstudie2	20161027	OG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.004977512	0.06161031	0.08255131	0.0003605819	1.451482E-06	-0.4424896	0	0	0	0	0	1.462402	7.139028E-12	6.564156E-06	7.10117E-07	0.0005594157	0.006162233	0.5568729	0.0003774014	0.04094478	0.01236549	0.004267932	0.02597133	0.4302184	0.001843377	0.2069686	0.004878669	0.1935299	0.000264454	0.004505048	0.05938366	0.0436056	0.001048622	0.06527447	2	133	1	255	173	261	261	-3.182691	0	-3.346535	0	-3.722673	0	-2.474286	0	-0.6396161	0	-4.242076	0	-2.817246	0	3.512029	0	-3.182691	0	-0.6396161	0						
Validierungsstudie2	20161027	OG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.004954515	0.1033094	0.08183765	0.000430255	7.753131E-07	-0.5107651	0	0	0	0	0	1.687546	1.242984E-11	6.49646E-06	8.012879E-07	0.0003551084	0.008906725	0.3935161	0.000499537	0.04229417	0.01556322	0.004222087	0.02647917	0.4289601	0.001835406	0.2072764	0.004880517	0.1935575	0.0005463172	0.004432721	0.08416273	0.04291839	0.0009425714	0.06542662	3	167	1	255	173	261	261	-3.182595	0	-3.346779	0	-3.722779	0	-2.474357	0	-0.6395931	0	-4.24221	0	-2.8173	0	3.512178	0	-3.182595	0	-0.6395931	0						
Validierungsstudie2	20161027	OG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.004805615	0.09318496	0.08256661	0.000371205	8.009517E-07	-0.428093	0	0	0	0	0	1.413198	7.835665E-12	6.877405E-06	7.125864E-07	0.0003649238	0.008378564	0.5278982	0.0003680357	0.05491554	0.02224437	0.004268026	0.02588967	0.4299957	0.001840524	0.2067227	0.004869448	0.1938162	0.0007674079	0.005062318	0.05003485	0.0381236	0.0009400991	0.0742285	4	200	1	256	173	261	261	-3.188131	0	-3.321057	0	-3.632301	0	-2.461267	0	-0.6521016	0	-4.244877	0	-2.826036	0	3.497881	0	-3.188131	0	-0.6521016	0						
Validierungsstudie2	20161027	OG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.004208697	0.08157363	0.08203369	0.0004478801	5.667608E-07	-0.4643784	0	0	0	0	0	1.534112	5.720942E-12	6.504321E-06	6.10401E-07	0.0002627568	0.009134318	0.4487767	0.0004098505	0.04564286	0.01706382	0.004247675	0.02617425	0.4293774	0.001838648	0.2066242	0.004867251	0.1936236	0.0009362741	0.004423418	0.03988114	0.03673013	0.0008956891	0.06822535	5	233	1	255	173	261	261	-3.180552	0	-3.353922	0	-3.677611	0	-2.462221	0	-0.6370454	0	-4.269027	0	-2.802119	0	3.508742	0	-3.180552	0	-0.6370454	0						
Validierungsstudie2	20161027	OG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.004337096	0.1066639	0.08231083	0.0003422851	6.900186E-07	-0.545433	0	0	0	0	0	1.807779	3.248475E-11	6.020255E-06	5.846637E-07	0.0002582484	0.006161716	0.4709434	0.0003729409	0.04538759	0.01267103	0.00419791	0.02662117	0.4295617	0.001837865	0.2087911	0.004916204	0.1936188	0.001202507	0.004434492	0.0709621	0.04600848	0.000908264	0.06156673	6	267	1	255	173	261	261	-3.180624	0	-3.353913	0	-3.677651	0	-2.462267	0	-0.6370691	0	-4.26906	0	-2.8021	0	3.508688	0	-3.180624	0	-0.6370691	0						
Validierungsstudie2	20161027	OG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.003736092	0.118942	0.08210087	0.000370426	6.392959E-07	-0.551712	0	0	0	0	0	1.827558	6.233571E-11	5.953306E-06	5.148854E-07	0.000377315	0.007337209	0.4228784	0.0004346708	0.03896808	0.01675065	0.004195469	0.02668908	0.4291844	0.001835593	0.2085996	0.00490973	0.1934849	0.0009614441	0.005494778	0.09954481	0.04814427	0.0009113476	0.06967497	7	300	1	255	173	261	261	-3.180624	0	-3.353913	0	-3.677651	0	-2.462267	0	-0.6370691	0	-4.26906	0	-2.8021	0	3.508688	0	-3.180624	0	-0.6370691	0						
Validierungsstudie2	20161027	OG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.004240253	0.0955072	0.08161306	0.000402807	6.091588E-07	-0.5696793	0	0	0	0	0	1.884126	6.911654E-12	5.614192E-06	4.026002E-07	0.0002966054	0.00974018	0.3628111	0.0004311907	0.0413182	0.01439057	0.00418692	0.02685929	0.4287178	0.001834937	0.2081404	0.004901	0.1935349	0.0006446897	0.005022733	0.06777705	0.04636288	0.000850514	0.06306304	8	333	1	255	173	261	261	-3.171989	0	-3.352521	0	-3.675953	0	-2.460003	0	-0.6377651	0	-4.260095	0	-2.79655	0	3.506253	0	-3.171989	0	-0.6377651	0						
Validierungsstudie2	20161027	OG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.004241935	0.09556504	0.08151994	0.0004248739	5.934167E-07	-0.6234055	0	0	0	0	0	2.06348	7.177257E-12	5.579423E-06	3.279847E-07	0.0002655632	0.009565917	0.3467593	0.0004391353	0.04026274	0.01393271	0.004159011	0.02719689	0.4286046	0.001834396	0.2091108	0.004923753	0.1935132	0.0007339614	0.004566891	0.09148987	0.05040545	0.000845155	0.06258801	9	367	1	255	173	261	261	-3.159174	0	-3.354023	0	-3.676009	0	-2.456783	0	-0.6337577	0	-4.251464	0	-2.79746	0	3.504873	0	-3.159174	0	-0.6337577	0						
