#Study : Validierungsstudie2
#Date : 20161027 15:15:01
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:35.316 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	MU	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.04793167	0.03701801	0.08009655	0.0006091119	2.561041E-07	-0.186882	0	0	0	0	0	0.5692775	2.140969E-10	2.29996E-05	3.941806E-05	0.0004657269	0.00464197	0.1475841	0.0003300321	0.0621299	0.01249881	0.004445018	0.02490268	0.4270144	0.001826043	0.1970874	0.004668383	0.1941212	0.0009204007	0.003008484	0.0004856052	0.03306936	0.001137495	0.1043497	0	67	1	249	194	271	271	-5.20504	0	-3.288512	0	-2.1964	0	-1.670056	0	-0.9372754	0	-5.091005	0	-2.329491	0	3.299727	0	-5.20504	0	-0.9372754	0						
Validierungsstudie2	20161027	MU	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.05582083	0.03412606	0.08008693	0.0009431541	5.728116E-08	-0.1790466	0	0	0	0	0	0.5287279	2.883507E-10	1.850786E-05	4.415069E-05	0.0006736786	0.009677373	0.1380184	0.0005754684	0.04983561	0.02191558	0.004457059	0.02485792	0.4269329	0.001824954	0.1966424	0.004662381	0.1938968	0.0007182089	0.004766224	0.0009045091	0.02571138	0.001116928	0.1193963	1	100	1	250	194	271	271	-5.23078	0	-3.289882	0	-2.204106	0	-1.68053	0	-0.9417838	0	-5.127151	0	-2.324794	0	3.305895	0	-5.23078	0	-0.9417838	0						
Validierungsstudie2	20161027	MU	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.04831511	0.03803145	0.07996861	0.001391601	3.943637E-08	-0.1341629	0	0	0	0	0	0.3858958	2.022233E-10	2.38381E-05	9.390707E-05	0.001102293	0.007971694	0.1248045	0.001025541	0.03905946	0.01741488	0.004479388	0.02461777	0.4268188	0.001825179	0.1958132	0.004637979	0.1936482	0.0004226847	0.006583048	0.0004814665	0.0258258	0.001186805	0.1450828	2	133	1	249	194	271	271	-5.180222	0	-3.286915	0	-2.199697	0	-1.679563	0	-0.9481965	0	-5.064019	0	-2.337442	0	3.299812	0	-5.180222	0	-0.9481965	0						
Validierungsstudie2	20161027	MU	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.0573063	0.0365215	0.08013266	0.0008836036	3.355947E-08	-0.1301193	0	0	0	0	0	0.3676608	3.055575E-10	2.031051E-05	5.293496E-05	0.0007666998	0.005912391	0.1445301	0.000690801	0.05188474	0.01397384	0.004486843	0.02458988	0.4269807	0.00182485	0.1957596	0.004642072	0.1939443	0.0005922144	0.004730353	0.0008639537	0.02712169	0.0008951495	0.1101484	3	167	1	249	194	271	271	-5.175444	0	-3.286918	0	-2.205012	0	-1.677113	0	-0.9482241	0	-5.067273	0	-2.334643	0	3.302885	0	-5.175444	0	-0.9482241	0						
Validierungsstudie2	20161027	MU	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.05514244	0.03650361	0.08016264	0.0007871662	3.018402E-08	-0.1411896	0	0	0	0	0	0.4078762	1.554566E-09	2.014807E-05	4.698086E-05	0.0008284187	0.004854161	0.1519299	0.0005878389	0.06389952	0.01039368	0.004478328	0.02464616	0.4270383	0.001825355	0.1960858	0.00464869	0.1941838	0.0004545541	0.003957796	0.000940212	0.02585977	0.0008341448	0.1036259	4	200	1	250	195	271	271	-5.225805	0	-3.28447	0	-2.205014	0	-1.684579	0	-0.9412758	0	-5.119712	0	-2.326614	0	3.303245	0	-5.225805	0	-0.9412758	0						
Validierungsstudie2	20161027	MU	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.05009804	0.03955799	0.08013438	0.0007644416	2.786618E-08	-0.1217957	0	0	0	0	0	0.348337	1.187357E-09	2.059501E-05	4.111358E-05	0.0008775153	0.004817426	0.1520382	0.0005683368	0.06332096	0.0106777	0.004486493	0.0245373	0.4270328	0.00182578	0.1958265	0.004639443	0.1941535	0.0004560887	0.003672906	0.0006056712	0.02634748	0.001013467	0.1011742	5	233	1	249	194	271	271	-5.215408	0	-3.289842	0	-2.195785	0	-1.685865	0	-0.9510093	0	-5.080403	0	-2.336299	0	3.306452	0	-5.215408	0	-0.9510093	0						
Validierungsstudie2	20161027	MU	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.05076627	0.03651945	0.08005187	0.0007432776	3.189619E-08	-0.1081238	0	0	0	0	0	0.3014816	2.497886E-10	1.990609E-05	3.844595E-05	0.0007999801	0.005750329	0.1369325	0.0005855662	0.05038732	0.01445956	0.00449637	0.02447583	0.4269175	0.001825379	0.195382	0.004629428	0.1938899	0.0005943361	0.003911521	0.0006220698	0.02395185	0.001113607	0.1019051	6	267	1	249	194	271	271	-5.215408	0	-3.289842	0	-2.195785	0	-1.685865	0	-0.9510093	0	-5.080403	0	-2.336299	0	3.306452	0	-5.215408	0	-0.9510093	0						
Validierungsstudie2	20161027	MU	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.05600789	0.03765903	0.0800925	0.0007692103	3.070605E-08	-0.126091	0	0	0	0	0	0.3561216	3.585285E-10	2.188313E-05	4.543928E-05	0.0007644219	0.005453391	0.138801	0.0006295388	0.05089061	0.01640712	0.004488123	0.0245727	0.4269349	0.001824747	0.195668	0.00463904	0.1939192	0.000444088	0.004018575	0.0008905744	0.0233057	0.001229267	0.1021439	7	300	1	249	194	271	271	-5.215408	0	-3.289842	0	-2.195785	0	-1.685865	0	-0.9510093	0	-5.080403	0	-2.336299	0	3.306452	0	-5.215408	0	-0.9510093	0						
Validierungsstudie2	20161027	MU	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.0608111	0.03540957	0.08006885	0.0007801397	2.762608E-08	-0.124649	0	0	0	0	0	0.3462324	5.497229E-10	2.039393E-05	4.710504E-05	0.0007811954	0.005735401	0.12986	0.0006450815	0.0462973	0.01777026	0.004492598	0.02457394	0.4268638	0.001824011	0.1954533	0.004636749	0.1938422	0.0004801982	0.004147407	0.0008489597	0.02270315	0.001351339	0.1057783	8	333	1	249	194	271	271	-5.226043	0	-3.284173	0	-2.194221	0	-1.687242	0	-0.9519255	0	-5.080357	0	-2.336774	0	3.307496	0	-5.226043	0	-0.9519255	0						
Validierungsstudie2	20161027	MU	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.05949133	0.0358426	0.0801123	0.0007901106	2.809309E-08	-0.1343536	0	0	0	0	0	0.3793455	6.818862E-10	2.148338E-05	4.250273E-05	0.0008139662	0.006207488	0.1387842	0.0006550674	0.05273241	0.01586373	0.00448577	0.02461801	0.4269325	0.00182444	0.1957453	0.004642983	0.1939697	0.0004571155	0.004049869	0.0008483382	0.02353213	0.001308272	0.1019792	9	367	1	249	194	271	271	-5.226043	0	-3.284173	0	-2.194221	0	-1.687242	0	-0.9519255	0	-5.080357	0	-2.336774	0	3.307496	0	-5.226043	0	-0.9519255	0						
