#Study : Validierungsstudie2
#Date : 20161027 15:15:03
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:33.467 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	MS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.4059029	0.01556171	0.08194896	0.0002011805	7.657735E-07	-0.1520767	0	0	0	0	0	0.07639829	4.602508E-10	0.0003561517	7.990371E-06	0.01117001	0.01242983	0.109972	0.0007835547	0.0384919	0.009223756	0.004702	0.02478992	0.4264833	0.001783787	0.1895575	0.004688523	0.1949366	0.0006160903	0.006406147	0.01072444	0.05815216	0.001499874	0.04489346	0	67	1	243	174	288	288	-4.867131	0	-1.174835	0	-3.77561	0	-2.521225	0	-1.091837	0	-2.877714	0	-1.748555	0	2.197071	0	-4.867131	0	-1.091837	0						
Validierungsstudie2	20161027	MS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.3239413	0.0145299	0.08162475	0.0001871611	7.147221E-07	-0.1223907	0	0	0	0	0	0.06893639	2.247992E-10	0.0002781783	3.671968E-06	0.00649315	0.009308502	0.1363882	0.000550738	0.03751474	0.02461294	0.004666607	0.02460793	0.4268127	0.001794304	0.190664	0.004670089	0.1946177	0.001629462	0.005002661	0.008376567	0.05081301	0.00143255	0.07074933	1	100	1	243	174	288	288	-4.867614	0	-1.177456	0	-3.769948	0	-2.519953	0	-1.091548	0	-2.874488	0	-1.752185	0	2.201634	0	-4.867614	0	-1.091548	0						
Validierungsstudie2	20161027	MS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.2399172	0.02759955	0.08121496	0.0002531404	8.368644E-07	-0.09851837	0	0	0	0	0	0.07321792	1.996159E-10	0.0002765864	1.934636E-06	0.004324128	0.01064678	0.1498904	0.0003328493	0.05496128	0.03117191	0.004631009	0.02444178	0.4269744	0.001803871	0.1918917	0.004651945	0.1946717	0.0008294076	0.005629932	0.04460999	0.05051329	0.003280612	0.05878158	2	133	1	243	174	288	288	-4.886222	0	-1.183243	0	-3.768663	0	-2.517673	0	-1.096766	0	-2.870217	0	-1.739484	0	2.202177	0	-4.886222	0	-1.096766	0						
Validierungsstudie2	20161027	MS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.267898	0.02907177	0.08120877	0.0003262829	8.003746E-07	-0.1123352	0	0	0	0	0	0.08833194	2.627307E-10	0.0002701365	1.426661E-06	0.003743799	0.01425117	0.120842	0.0003705058	0.06336328	0.03601947	0.004645849	0.02453943	0.4267691	0.001799532	0.1914213	0.004655757	0.1949474	0.001026379	0.009852136	0.08032945	0.05613083	0.005766947	0.05745758	3	167	1	243	174	288	288	-4.86601	0	-1.181195	0	-3.765763	0	-2.50673	0	-1.086825	0	-2.867842	0	-1.738883	0	2.197562	0	-4.86601	0	-1.086825	0						
Validierungsstudie2	20161027	MS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.237175	0.02978014	0.08102484	0.000348003	8.875168E-07	-0.1066971	0	0	0	0	0	0.1051932	3.426262E-10	0.0003023123	1.427238E-06	0.003404965	0.009462399	0.1197942	0.0003085702	0.05895051	0.03490644	0.004634296	0.02451303	0.426779	0.00180308	0.1918685	0.004649404	0.1947441	0.0009067677	0.007442269	0.1178882	0.06269033	0.004851176	0.05336667	4	200	1	243	173	288	288	-4.886329	0	-1.175752	0	-3.772779	0	-2.504278	0	-1.092155	0	-2.859235	0	-1.733581	0	2.189646	0	-4.886329	0	-1.092155	0						
Validierungsstudie2	20161027	MS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.2437263	0.03248559	0.08109552	0.0002399718	9.588185E-07	-0.1063843	0	0	0	0	0	0.09750262	2.492746E-10	0.0002899744	1.347758E-06	0.003567476	0.009926626	0.1254633	0.0002483636	0.06027619	0.02480735	0.004644498	0.0245059	0.4268174	0.001802332	0.1918237	0.004651781	0.1947954	0.001047853	0.007427075	0.1598719	0.05495514	0.005413154	0.05239597	5	233	1	243	174	288	288	-4.853539	0	-1.182106	0	-3.766912	0	-2.495388	0	-1.08739	0	-2.86196	0	-1.73746	0	2.194472	0	-4.853539	0	-1.08739	0						
Validierungsstudie2	20161027	MS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.2648858	0.0395225	0.08118822	0.0002203509	7.05967E-07	-0.1150589	0	0	0	0	0	0.1077094	2.036555E-10	0.0002693601	1.190241E-06	0.003618204	0.007270221	0.1203121	0.0002826226	0.05583434	0.02367914	0.004662	0.02456246	0.4267712	0.001799254	0.1916623	0.004658982	0.1947808	0.0009021229	0.006768939	0.2380769	0.05708786	0.004483234	0.04521324	6	267	1	243	174	288	288	-4.856473	0	-1.185379	0	-3.771603	0	-2.501283	0	-1.087842	0	-2.861747	0	-1.740162	0	2.196309	0	-4.856473	0	-1.087842	0						
Validierungsstudie2	20161027	MS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.2170748	0.04650443	0.08099115	0.0002305257	6.327185E-07	-0.09793091	0	0	0	0	0	0.09694047	2.269927E-10	0.000296443	1.124933E-06	0.003821439	0.00825565	0.1340705	0.000287561	0.05439545	0.02584545	0.004652278	0.02444106	0.4268703	0.001804934	0.1923357	0.004648091	0.1945769	0.0007339019	0.005944095	0.3092857	0.05421015	0.003754084	0.04886883	7	300	1	243	174	288	288	-4.856473	0	-1.185379	0	-3.771603	0	-2.501283	0	-1.087842	0	-2.861747	0	-1.740162	0	2.196309	0	-4.856473	0	-1.087842	0						
Validierungsstudie2	20161027	MS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.1845597	0.05486066	0.0807109	0.0002507136	6.426824E-07	-0.08591461	0	0	0	0	0	0.08818342	1.664573E-10	0.0003153477	1.129081E-06	0.003660339	0.009571273	0.1180148	0.0002965989	0.04866719	0.02334557	0.004674638	0.0243748	0.4267562	0.001807756	0.1926015	0.004635497	0.1943404	0.000736131	0.007374153	0.5479665	0.05433311	0.003952041	0.04831375	8	333	1	243	174	288	288	-4.872835	0	-1.177853	0	-3.782	0	-2.518464	0	-1.090466	0	-2.879384	0	-1.743879	0	2.194784	0	-4.872835	0	-1.090466	0						
Validierungsstudie2	20161027	MS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.1888823	0.04911496	0.0807094	0.0002553962	5.522629E-07	-0.08567047	0	0	0	0	0	0.08530103	1.402348E-10	0.000336787	1.287368E-06	0.003717653	0.007282537	0.1134372	0.0003328779	0.04506892	0.02675642	0.004655349	0.02438615	0.4267178	0.001807435	0.1924402	0.004634512	0.194282	0.0008096655	0.006183112	0.3996245	0.0522759	0.003178063	0.04982328	9	367	1	243	174	288	288	-4.863217	0	-1.174729	0	-3.774874	0	-2.509606	0	-1.09012	0	-2.866709	0	-1.740436	0	2.193857	0	-4.863217	0	-1.09012	0						
