#Study : Validierungsstudie2
#Date : 20161027 15:15:05
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:32.693 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	MR	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.04143938	0.03659248	0.08060244	0.0005618387	1.222341E-09	-0.785881	0	0	0	0	0	2.564563	5.466487E-11	0.0002273009	4.329919E-07	0.002674168	0.009772034	0.2422967	0.0001876479	0.1474504	0.008842165	0.004189712	0.02833799	0.4277313	0.001829991	0.2101885	0.004976301	0.1958617	0.0005359815	0.004152841	0.7354441	0.03880036	0.0009963568	0.1006691	0	67	1	247	181	284	284	-5.08129	0	-1.806922	0	-1.465973	0	-0.6634026	0	-1.375891	0	-3.330877	0	-1.340076	0	2.32966	0	-5.08129	0	-0.6634026	0						
Validierungsstudie2	20161027	MR	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.01921416	0.1037059	0.08097617	0.0004907837	1.023894E-09	-0.5469666	0	0	0	0	0	1.777415	2.274126E-10	0.0001466659	1.214198E-06	0.001706145	0.02384146	0.2448459	0.0002684049	0.2301476	0.02982873	0.004572229	0.0267917	0.4277644	0.001828719	0.2062798	0.004864068	0.1975046	0.0004752527	0.0164059	2.539603	0.02645429	0.001120361	0.1871798	1	100	1	247	181	284	284	-5.130682	0	-1.828479	0	-1.476897	0	-0.6660256	0	-1.392281	0	-3.368072	0	-1.36187	0	2.350135	0	-5.130682	0	-0.6660256	0						
Validierungsstudie2	20161027	MR	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.01115309	0.09047391	0.08089065	0.0004816884	1.026775E-09	-0.4619598	0	0	0	0	0	1.502338	6.979249E-10	0.000130327	1.859919E-06	0.001511154	0.02393466	0.243269	0.0002668244	0.2930365	0.01958836	0.004829302	0.02629922	0.4277545	0.001830426	0.2045372	0.004819494	0.1987962	0.0004842469	0.0149796	3.837966	0.02143064	0.001145647	0.2411057	2	133	1	247	181	284	284	-5.131915	0	-1.82802	0	-1.472321	0	-0.6607378	0	-1.393089	0	-3.370966	0	-1.362967	0	2.350316	0	-5.131915	0	-0.6607378	0						
Validierungsstudie2	20161027	MR	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.01853003	0.0740094	0.08097567	0.000552748	1.137284E-09	-0.6681213	0	0	0	0	0	2.187447	2.633824E-10	0.0001052739	1.65841E-06	0.001370118	0.0185174	0.2744556	0.0002069449	0.2172043	0.01185463	0.004386226	0.02752846	0.4280046	0.001831566	0.2088044	0.004926473	0.1972312	0.0003515377	0.01215747	1.761793	0.0288585	0.001184314	0.2539383	3	167	1	247	181	284	284	-5.161592	0	-1.833787	0	-1.482768	0	-0.6654343	0	-1.410317	0	-3.378866	0	-1.365654	0	2.363139	0	-5.161592	0	-0.6654343	0						
Validierungsstudie2	20161027	MR	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.03015289	0.06030139	0.08086529	0.0007265238	8.042894E-10	-0.8099823	0	0	0	0	0	2.651813	7.707394E-11	0.0001008433	1.519093E-06	0.001020827	0.01534206	0.2690523	0.0001721802	0.1333948	0.008912995	0.004297026	0.02843517	0.4279708	0.001830815	0.2113842	0.004995725	0.1955286	0.0003243269	0.009147882	1.671744	0.03680361	0.001053276	0.187695	4	200	1	247	181	284	284	-5.095752	0	-1.813156	0	-1.464212	0	-0.6591787	0	-1.383775	0	-3.328369	0	-1.343376	0	2.339939	0	-5.095752	0	-0.6591787	0						
Validierungsstudie2	20161027	MR	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.03482359	0.04794179	0.08083282	0.0007398301	9.317631E-10	-0.8940201	0	0	0	0	0	2.929915	7.445938E-11	0.0001176713	1.264181E-06	0.001326043	0.0124777	0.2757807	0.0001878323	0.1476247	0.007923621	0.00419161	0.02898097	0.4280124	0.001831218	0.2130248	0.005038699	0.195841	0.0004204494	0.00728544	1.241899	0.04065338	0.0009596204	0.1729581	5	233	1	247	181	284	284	-5.151692	0	-1.827441	0	-1.487529	0	-0.6602658	0	-1.408196	0	-3.374624	0	-1.360045	0	2.3591	0	-5.151692	0	-0.6602658	0						
Validierungsstudie2	20161027	MR	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.04280273	0.04848755	0.08077972	0.0005750005	7.894946E-10	-0.7464294	0	0	0	0	0	2.429531	2.264845E-10	9.790844E-05	1.309632E-06	0.001030528	0.01363507	0.2660293	0.0001614723	0.140183	0.008926749	0.004276362	0.0280554	0.4279374	0.001829906	0.2096711	0.00496385	0.1957158	0.0004478588	0.007096991	1.194562	0.04284167	0.0009704978	0.1515952	6	267	1	247	181	284	284	-5.157878	0	-1.824424	0	-1.482464	0	-0.68709	0	-1.406474	0	-3.375359	0	-1.362501	0	2.359586	0	-5.157878	0	-0.68709	0						
Validierungsstudie2	20161027	MR	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.04807015	0.04713015	0.08069979	0.0006074221	7.504241E-10	-0.7332535	0	0	0	0	0	2.38106	3.115651E-10	0.0001038549	1.49317E-06	0.001080472	0.01296124	0.2525796	0.0001714265	0.1205109	0.01243551	0.00426097	0.02798975	0.42783	0.001828909	0.2091605	0.004954888	0.1953272	0.0005759444	0.007402032	1.008878	0.04411804	0.0009858824	0.1584838	7	300	1	247	181	284	284	-5.157878	0	-1.824424	0	-1.482464	0	-0.68709	0	-1.406474	0	-3.375359	0	-1.362501	0	2.359586	0	-5.157878	0	-0.68709	0						
Validierungsstudie2	20161027	MR	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.04032242	0.04562859	0.08069117	0.0005157273	7.649636E-10	-0.7004166	0	0	0	0	0	2.282773	2.43805E-10	9.665746E-05	1.520464E-06	0.0008943926	0.009924497	0.2535255	0.0001485854	0.1345235	0.01199359	0.004295297	0.02779244	0.4278456	0.001829958	0.2086359	0.004938015	0.1955892	0.0005300788	0.00647691	1.147893	0.04172179	0.0008672557	0.1435309	8	333	1	247	181	284	284	-5.151381	0	-1.83103	0	-1.48214	0	-0.6702042	0	-1.408613	0	-3.381268	0	-1.365127	0	2.362646	0	-5.151381	0	-0.6702042	0						
Validierungsstudie2	20161027	MR	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.03696374	0.04757643	0.08066876	0.0004817761	6.9617E-10	-0.6479187	0	0	0	0	0	2.109045	3.520522E-10	0.0001010237	1.506952E-06	0.0008343692	0.01211573	0.2476849	0.0001436781	0.1653567	0.01255906	0.004327544	0.02746861	0.4278065	0.001830049	0.2075611	0.00491031	0.1962175	0.0004998187	0.006402507	1.166817	0.03572542	0.0008852803	0.1340269	9	367	1	247	181	284	284	-5.148573	0	-1.820262	0	-1.479155	0	-0.67785	0	-1.405845	0	-3.369343	0	-1.361172	0	2.355344	0	-5.148573	0	-0.67785	0						
