#Study : Validierungsstudie2
#Date : 20161027 15:15:06
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:31.888 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	ML	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.02426445	0.01551262	0.0813945	0.000212744	1.191222E-06	-0.02785492	0	0	0	0	0	0.05624509	6.136899E-13	9.772932E-05	7.70256E-07	0.001666458	0.006612002	0.3964855	0.003773363	0.01774442	0.005038819	0.004545162	0.02383575	0.4289218	0.001838461	0.1963324	0.004641253	0.193124	0.0002974056	0.002110469	0.0548347	0.04206155	0.001170186	0.1203219	0	67	1	257	199	267	267	-5.643714	0	-1.794223	0	-3.950185	0	-2.70269	0	-1.849435	0	-2.274184	0	-2.437547	0	2.836457	0	-5.643714	0	-1.794223	0						
Validierungsstudie2	20161027	ML	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.02203428	0.03232789	0.08083852	0.001067813	7.735673E-07	-0.03817749	0	0	0	0	0	0.09166822	1.020557E-12	8.986333E-05	6.118907E-07	0.001107926	0.007537512	0.2923842	0.002747175	0.03485792	0.007048975	0.004593123	0.02396142	0.4282497	0.001834244	0.1958143	0.004625266	0.1934667	0.0003775374	0.002039121	0.448784	0.05227276	0.001048451	0.1168329	1	100	1	257	199	267	267	-5.685019	0	-1.804155	0	-3.906465	0	-2.705853	0	-1.864368	0	-2.297259	0	-2.457797	0	2.853466	0	-5.685019	0	-1.804155	0						
Validierungsstudie2	20161027	ML	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.02104052	0.03202012	0.08178487	0.001115268	1.090561E-06	-0.03804016	0	0	0	0	0	0.09078831	3.424324E-12	9.809274E-05	8.440138E-07	0.0009834482	0.009006053	0.4557649	0.00278223	0.0498439	0.003972896	0.004593105	0.0238278	0.4295805	0.001839838	0.19726	0.004660212	0.1937709	0.0004333699	0.002694393	0.4491375	0.04522865	0.001249701	0.1128835	2	133	1	257	199	267	267	-5.641286	0	-1.799846	0	-3.943108	0	-2.704258	0	-1.853057	0	-2.275878	0	-2.439852	0	2.839651	0	-5.641286	0	-1.799846	0						
Validierungsstudie2	20161027	ML	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.01787177	0.03256925	0.08183055	0.0005205579	1.098758E-06	-0.04074097	0	0	0	0	0	0.1044536	6.620177E-12	0.0001075133	8.33737E-07	0.001092364	0.008542694	0.4630423	0.003335818	0.03717886	0.004036936	0.00457945	0.02383753	0.4295517	0.001840431	0.1974481	0.004662982	0.1934993	0.0006552824	0.002126512	0.3864637	0.05016008	0.001104531	0.1181392	3	167	1	257	199	267	267	-5.682146	0	-1.802942	0	-3.905679	0	-2.704331	0	-1.864909	0	-2.295666	0	-2.456746	0	2.851634	0	-5.682146	0	-1.802942	0						
Validierungsstudie2	20161027	ML	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.01625038	0.03629745	0.0824644	0.0004721501	1.203401E-06	-0.03983307	0	0	0	0	0	0.104683	2.046662E-11	0.0001073666	9.372043E-07	0.0009956217	0.007564254	0.5674303	0.003053576	0.02821156	0.003923506	0.00458745	0.02375041	0.4303558	0.001843897	0.1984335	0.004685859	0.1933095	0.0007847227	0.002074921	0.4506873	0.05296957	0.000987126	0.1303162	4	200	1	257	199	267	267	-5.703532	0	-1.807608	0	-3.894025	0	-2.693472	0	-1.869618	0	-2.318825	0	-2.44955	0	2.854894	0	-5.703532	0	-1.807608	0						
Validierungsstudie2	20161027	ML	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.01330491	0.03503027	0.0826733	0.0005059945	1.201452E-06	-0.03895569	0	0	0	0	0	0.1035576	1.643762E-11	0.0001058578	1.171804E-06	0.0009805993	0.008698585	0.6041446	0.003139305	0.02655375	0.003709189	0.004587773	0.02371469	0.4306285	0.001845561	0.1987768	0.004692723	0.1932649	0.0008891149	0.00221843	0.4570194	0.04774552	0.001102579	0.1248081	5	233	1	257	199	267	267	-5.721919	0	-1.803469	0	-3.904272	0	-2.702798	0	-1.870316	0	-2.317497	0	-2.443091	0	2.853701	0	-5.721919	0	-1.803469	0						
Validierungsstudie2	20161027	ML	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.01342185	0.0314782	0.08257802	0.0004225585	1.271629E-06	-0.04079437	0	0	0	0	0	0.1100395	4.597362E-12	0.0001135855	1.105224E-06	0.001030452	0.008133042	0.5915419	0.003323378	0.02381095	0.003628134	0.00459022	0.02373737	0.4305024	0.001845339	0.1986662	0.004690419	0.1932091	0.0008785293	0.001885252	0.4750161	0.04942693	0.0010508	0.1289905	6	267	1	257	199	267	267	-5.721919	0	-1.803469	0	-3.904272	0	-2.702798	0	-1.870316	0	-2.317497	0	-2.443091	0	2.853701	0	-5.721919	0	-1.803469	0						
Validierungsstudie2	20161027	ML	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.01427688	0.0281179	0.0829788	0.0004308832	1.170111E-06	-0.04323578	0	0	0	0	0	0.1177377	2.48063E-12	0.0001159381	1.292177E-06	0.0009471832	0.008112801	0.6627368	0.003072454	0.02397788	0.003833911	0.004600193	0.02369683	0.4310609	0.001847828	0.1993047	0.004706881	0.1932156	0.0009153596	0.001912137	0.5420757	0.04876451	0.00102037	0.1412259	7	300	1	257	199	267	267	-5.721919	0	-1.803469	0	-3.904272	0	-2.702798	0	-1.870316	0	-2.317497	0	-2.443091	0	2.853701	0	-5.721919	0	-1.803469	0						
Validierungsstudie2	20161027	ML	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.01787259	0.02332713	0.08209319	0.0004536413	1.150747E-06	-0.04113007	0	0	0	0	0	0.1067118	1.953199E-12	0.0001088273	1.286604E-06	0.0008778292	0.008371074	0.5171863	0.002990301	0.02085714	0.004722541	0.004590333	0.02380376	0.429915	0.0018428	0.1978509	0.004673809	0.1931647	0.0007189757	0.001776676	0.4457258	0.05215172	0.0009313789	0.1099008	8	333	1	257	198	267	267	-5.56896	0	-1.773108	0	-3.949551	0	-2.675409	0	-1.824539	0	-2.244557	0	-2.425814	0	2.80587	0	-5.56896	0	-1.773108	0						
Validierungsstudie2	20161027	ML	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.02077495	0.02256744	0.0821182	0.0004263867	1.022101E-06	-0.04184723	0	0	0	0	0	0.1062592	2.226721E-12	0.0001004705	1.169228E-06	0.0009421617	0.008317435	0.5222112	0.003008622	0.01617593	0.005280871	0.004571157	0.02380466	0.4299453	0.001842665	0.197851	0.004675552	0.1930793	0.0007319071	0.001843006	0.3100214	0.05121252	0.0009855232	0.1138764	9	367	1	257	198	267	267	-5.567753	0	-1.782735	0	-3.95722	0	-2.678455	0	-1.824388	0	-2.252344	0	-2.427881	0	2.813226	0	-5.567753	0	-1.782735	0						
