#Study : Validierungsstudie2
#Date : 20161027 15:15:09
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:30.453 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	MJ	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.08801026	0.01144415	99.92101	1.465084E-05	99.99998	99.70201	0	0	0	0	0	0.2209871	4.419255E-10	0.3671459	0.0078031	0.000470221	0.0156188	99.69571	0.0432521	5.143788E-08	0.0007770924	5.749938E-06	1.125549E-06	0.003944424	99.92981	14.65686	0.001194388	0.0001069468	0.0270764	0.002871059	0.00935794	1.685906	0.03587813	0.1902247	0	67	1	243	188	285	285	8.6423	0	-9.983172	0	-11.49951	0	-5.857805	0	-12.28252	0	-8.687795	0	-11.8114	0	-15.91711	0	8.6423	0	-5.857805	0						
Validierungsstudie2	20161027	MJ	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.363957	0.009908808	99.92101	1.436174E-05	99.99998	99.59142	0	0	0	0	0	0.2050521	1.71154E-09	0.3841962	0.009993318	0.0009888606	0.01463531	99.67284	0.1202505	7.4774E-08	0.001345248	5.922138E-06	1.148795E-06	0.003954661	99.92851	14.43139	0.001212398	0.0001075015	0.1651708	0.002715056	0.009134179	2.139858	0.03173641	0.35646	1	100	1	243	188	285	285	8.625862	0	-9.966686	0	-11.49345	0	-5.85106	0	-12.25346	0	-8.675052	0	-11.77983	0	-15.89382	0	8.625862	0	-5.85106	0						
Validierungsstudie2	20161027	MJ	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.3667268	0.0075053	99.92101	1.387148E-05	99.99998	99.60911	0	0	0	0	0	0.1626202	1.507479E-09	0.3956307	0.009022083	0.001070857	0.01566967	99.66613	0.08243486	4.733959E-08	0.000870283	5.924953E-06	1.14609E-06	0.003960881	99.92849	14.40842	0.00121059	0.0001075071	0.1624032	0.002584852	0.004751986	1.985899	0.03207729	0.2301971	2	133	1	243	188	285	285	8.630957	0	-9.970111	0	-11.49606	0	-5.853716	0	-12.25288	0	-8.68013	0	-11.78392	0	-15.90176	0	8.630957	0	-5.853716	0						
Validierungsstudie2	20161027	MJ	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.2703078	0.007937128	99.92101	1.954666E-05	99.99998	99.65005	0	0	0	0	0	0.2109985	1.244157E-10	0.3284722	0.005925616	0.00164611	0.01671702	99.51474	0.1094124	1.024689E-07	0.0009538549	5.870159E-06	1.14724E-06	0.003912304	99.92874	14.41392	0.001196884	0.000107313	0.06070828	0.003292491	0.001576979	1.616758	0.05165327	0.217956	3	167	1	243	188	285	285	8.622963	0	-9.963413	0	-11.48604	0	-5.848131	0	-12.24691	0	-8.673574	0	-11.77345	0	-15.88276	0	8.622963	0	-5.848131	0						
Validierungsstudie2	20161027	MJ	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.2215842	0.008048528	99.92101	2.111282E-05	99.99998	99.66845	0	0	0	0	0	0.2105887	6.60041E-11	0.3216463	0.005480198	0.001430569	0.01727006	99.49599	0.1090278	1.165767E-07	0.0009026866	5.843628E-06	1.143732E-06	0.003907435	99.92894	14.43951	0.001192336	0.000107215	0.04156851	0.002862587	0.001302846	1.643219	0.04268774	0.1929124	4	200	1	243	188	285	285	8.614066	0	-9.953893	0	-11.49223	0	-5.848679	0	-12.23753	0	-8.653097	0	-11.78182	0	-15.88649	0	8.614066	0	-5.848679	0						
Validierungsstudie2	20161027	MJ	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.2381858	0.007483567	99.92101	2.650832E-05	99.99998	99.66183	0	0	0	0	0	0.2227451	1.346234E-10	0.2895343	0.00531006	0.001534672	0.01855372	99.59563	0.1547315	1.177174E-07	0.001101502	5.862776E-06	1.142273E-06	0.003897632	99.929	14.48682	0.001199504	0.0001072483	0.03461115	0.003147326	0.0009691244	1.630347	0.04212401	0.223063	5	233	1	243	188	285	285	8.637216	0	-9.980847	0	-11.49991	0	-5.859772	0	-12.24927	0	-8.680339	0	-11.80613	0	-15.91591	0	8.637216	0	-5.859772	0						
Validierungsstudie2	20161027	MJ	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.2664842	0.008038158	99.92101	2.451502E-05	99.99998	99.645	0	0	0	0	0	0.2432177	4.57651E-10	0.2940341	0.005233515	0.001424658	0.01679673	99.63511	0.1565492	1.17461E-07	0.001016097	5.873229E-06	1.144775E-06	0.003902832	99.92892	14.49575	0.001204517	0.0001073053	0.03864521	0.003029675	0.001229875	1.590352	0.03475732	0.2669989	6	267	1	243	188	285	285	8.637814	0	-9.981576	0	-11.50163	0	-5.860077	0	-12.2489	0	-8.68131	0	-11.80614	0	-15.91642	0	8.637814	0	-5.860077	0						
Validierungsstudie2	20161027	MJ	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.2888856	0.008016189	99.92101	2.504652E-05	99.99998	99.64939	0	0	0	0	0	0.2359861	1.731788E-09	0.2674344	0.004296924	0.001309952	0.02029862	99.54931	0.1692733	8.990489E-08	0.001025433	5.892978E-06	1.149365E-06	0.003884719	99.9287	14.42866	0.001201057	0.0001073503	0.06569799	0.003440701	0.001244212	1.645655	0.03334186	0.2885911	7	300	1	243	188	285	285	8.628998	0	-9.968328	0	-11.4936	0	-5.855158	0	-12.25412	0	-8.6672	0	-11.8012	0	-15.91384	0	8.628998	0	-5.855158	0						
Validierungsstudie2	20161027	MJ	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.2532983	0.0100851	99.92101	2.403189E-05	99.99998	99.67907	0	0	0	0	0	0.2118677	1.727955E-08	0.2451095	0.006722827	0.001994562	0.01634946	99.54892	0.1664852	7.503706E-08	0.001000495	5.879348E-06	1.144478E-06	0.003874744	99.92886	14.44716	0.00119768	0.0001072788	0.08914243	0.004190155	0.001527049	1.797518	0.04001744	0.2356537	8	333	1	243	188	285	285	8.62625	0	-9.977821	0	-11.48461	0	-5.851685	0	-12.25107	0	-8.677327	0	-11.79753	0	-15.88924	0	8.62625	0	-5.851685	0						
Validierungsstudie2	20161027	MJ	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.2579215	0.01132346	99.92101	2.669478E-05	99.99998	99.65561	0	0	0	0	0	0.2375623	1.976965E-08	0.2774051	0.006477374	0.001900549	0.01529517	99.58356	0.1620931	8.37078E-08	0.001001807	5.87137E-06	1.1455E-06	0.003892617	99.92888	14.47332	0.001200921	0.000107288	0.09220708	0.00391054	0.001626478	1.734417	0.037846	0.2687148	9	367	1	243	188	285	285	8.626309	0	-9.970343	0	-11.49438	0	-5.85714	0	-12.25282	0	-8.663769	0	-11.78998	0	-15.90047	0	8.626309	0	-5.85714	0						
