#Study : Validierungsstudie2
#Date : 20161027 15:15:10
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:29.682 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	MG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.004302398	0.02355819	99.92101	7.068815E-05	99.99995	97.77665	0	0	0	0	0	0.0006994533	9.812459E-06	0.7755735	3.630183	0.0001129167	0.007399943	99.20306	0.05557103	1.172635E-07	0.000868947	5.718058E-06	1.120271E-06	0.004742941	99.92953	14.36965	0.001154164	0.0001067792	0.02364343	0.003699246	6.682154E-05	0.9054247	0.08641717	0.8867474	0	67	1	255	165	264	264	8.533648	0	-9.679238	0	-12.35377	0	-7.38527	0	-10.97612	0	-6.528266	0	-13.47694	0	-15.16108	0	8.533648	0	-6.528266	0						
Validierungsstudie2	20161027	MG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.003622983	0.02185054	99.92101	7.054692E-05	99.99996	97.31143	0	0	0	0	0	0.000507226	2.574327E-05	0.8281834	4.510438	0.000125725	0.007650551	99.63748	0.05208526	1.465129E-07	0.0008656459	5.713065E-06	1.104137E-06	0.004980579	99.9301	14.61125	0.001177686	0.0001067778	0.02602785	0.003311502	8.212497E-05	1.054095	0.08163156	0.8527039	1	100	1	255	165	264	264	8.522233	0	-9.671667	0	-12.3595	0	-7.386637	0	-10.9688	0	-6.519435	0	-13.47308	0	-15.1671	0	8.522233	0	-6.519435	0						
Validierungsstudie2	20161027	MG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.003348737	0.0252755	99.92101	0.0001454438	99.99995	97.65056	0	0	0	0	0	0.0005797634	2.864468E-05	0.7840993	3.872104	0.0001375554	0.008766611	99.49432	0.05796963	1.4829E-07	0.001025405	5.716945E-06	1.109291E-06	0.004821976	99.92992	14.53341	0.001169946	0.0001067774	0.01970894	0.003642577	7.805273E-05	1.009666	0.09022266	0.8943769	2	133	1	255	165	264	264	8.546388	0	-9.691907	0	-12.36445	0	-7.396261	0	-11.001	0	-6.544946	0	-13.49769	0	-15.19065	0	8.546388	0	-6.544946	0						
Validierungsstudie2	20161027	MG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.003354467	0.02483707	99.92101	0.0001269814	99.99996	98.08157	0	0	0	0	0	0.0005581442	2.239865E-05	0.8347465	2.96195	0.000112013	0.007384399	99.53186	0.05528319	1.34847E-07	0.001158635	5.71204E-06	1.107938E-06	0.004683027	99.92996	14.55412	0.001171981	0.0001067772	0.02280416	0.00313419	6.844754E-05	1.078535	0.08679185	1.028361	3	167	1	255	165	264	264	8.537867	0	-9.684524	0	-12.37121	0	-7.395014	0	-10.98793	0	-6.538854	0	-13.48276	0	-15.18194	0	8.537867	0	-6.538854	0						
Validierungsstudie2	20161027	MG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.003536296	0.02561192	99.92101	0.0001439442	99.99995	97.72598	0	0	0	0	0	0.0005650385	3.615291E-05	0.8576354	3.651572	0.0001032121	0.006552535	99.61992	0.05360293	1.629888E-07	0.001013125	5.709513E-06	1.104701E-06	0.004834703	99.93007	14.60382	0.001176847	0.0001067777	0.02291933	0.002586694	9.026651E-05	1.067826	0.08541913	1.121848	4	200	1	256	166	263	263	8.664089	0	-9.794332	0	-12.35231	0	-7.40794	0	-10.98102	0	-6.700418	0	-13.52125	0	-15.16262	0	8.664089	0	-6.700418	0						
Validierungsstudie2	20161027	MG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.003462214	0.02508807	99.92101	0.0001358196	99.99995	97.40347	0	0	0	0	0	0.0005825178	3.210374E-05	0.8358948	4.317575	0.0001026929	0.006873528	99.69846	0.05463296	1.64046E-07	0.0009289394	5.711736E-06	1.101818E-06	0.004958495	99.93017	14.64769	0.001181146	0.0001067776	0.02098414	0.002813559	8.665064E-05	1.089493	0.09022348	1.039902	5	233	1	256	166	263	263	8.668159	0	-9.79978	0	-12.35848	0	-7.411381	0	-10.99739	0	-6.702625	0	-13.53442	0	-15.1808	0	8.668159	0	-6.702625	0						
Validierungsstudie2	20161027	MG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.003454019	0.02333621	99.92101	0.0001065739	99.99995	97.12751	0	0	0	0	0	0.0005270579	3.3689E-05	0.8524939	4.849098	0.0001144548	0.007907121	99.70192	0.06006205	1.553402E-07	0.0009313539	5.712117E-06	1.101713E-06	0.005072699	99.93018	14.64852	0.001181273	0.0001067776	0.02313187	0.003149185	9.03366E-05	1.151044	0.08993004	0.9036747	6	267	1	256	166	263	263	8.664027	0	-9.792617	0	-12.35214	0	-7.409655	0	-10.99174	0	-6.698231	0	-13.52625	0	-15.17089	0	8.664027	0	-6.698231	0						
Validierungsstudie2	20161027	MG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.003189641	0.0241274	99.92101	0.0001125212	99.99995	97.23306	0	0	0	0	0	0.0005435323	1.520453E-05	0.8093337	4.681111	0.0001685515	0.01000505	99.62051	0.05823908	1.436462E-07	0.001069098	5.715234E-06	1.104625E-06	0.005004389	99.93007	14.60347	0.001176803	0.000106777	0.02115087	0.00364339	8.545561E-05	1.136553	0.09740411	0.8598861	7	300	1	256	166	263	263	8.662292	0	-9.796277	0	-12.34607	0	-7.40272	0	-11.00097	0	-6.690821	0	-13.5348	0	-15.17808	0	8.662292	0	-6.690821	0						
Validierungsstudie2	20161027	MG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.003405803	0.0261872	99.92101	0.0001072346	99.99995	97.22472	0	0	0	0	0	0.000564425	9.089697E-06	0.8615308	4.644671	0.0001657574	0.00732327	99.62214	0.06220283	1.369649E-07	0.001021859	5.710799E-06	1.104575E-06	0.005029904	99.93007	14.60553	0.001176982	0.0001067774	0.01891313	0.00340365	8.194847E-05	1.123276	0.09436566	0.9544576	8	333	1	256	166	263	263	8.667913	0	-9.802864	0	-12.34962	0	-7.406369	0	-11.00495	0	-6.696355	0	-13.54557	0	-15.18753	0	8.667913	0	-6.696355	0						
Validierungsstudie2	20161027	MG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.00334161	0.02444653	99.92101	0.0001080458	99.99994	97.15126	0	0	0	0	0	0.0005392233	2.093622E-05	0.8230515	4.830785	0.0001564786	0.007109489	99.62971	0.06135114	2.06019E-07	0.0009104624	5.714416E-06	1.104343E-06	0.005042352	99.93008	14.60873	0.001177332	0.0001067774	0.01704645	0.003474027	7.09278E-05	1.216617	0.1011957	0.9525437	9	367	1	256	166	263	263	8.666986	0	-9.799092	0	-12.3525	0	-7.407062	0	-10.98957	0	-6.700864	0	-13.53442	0	-15.17794	0	8.666986	0	-6.700864	0						
