#Study : Validierungsstudie2
#Date : 20161027 15:15:13
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:28.948 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	MB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	1.281927	0.008874941	0.0897082	0.0002684451	1.332559E-07	-0.5160217	0	0	0	0	0	0.4207907	1.440134E-10	4.581576E-05	4.598189E-07	0.01052156	0.006585717	0.5015548	0.003362365	0.02700486	0.008406407	0.005048636	0.02674382	0.4295373	0.001696791	0.1848965	0.005083895	0.1979174	0.002843888	0.001735172	0.06747671	0.2398394	0.0008027758	0.06468836	0	67	1	256	168	265	265	-9.583374	0	0.3222682	0	-7.104709	0	-4.248475	0	-2.6623	0	-3.826431	0	-1.623822	0	1.27531	0	-9.583374	0	0.3222682	0						
Validierungsstudie2	20161027	MB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	1.548658	0.008650905	0.09076461	0.0005043627	7.871873E-08	-0.5810623	0	0	0	0	0	0.3582749	2.18613E-10	5.653112E-05	3.421069E-07	0.01240516	0.01546467	0.3988695	0.005131732	0.04744568	0.008734785	0.005185481	0.02725919	0.4286779	0.001664326	0.1807883	0.005131512	0.1993394	0.003256279	0.003345022	0.02477161	0.2417671	0.001774004	0.06036389	1	100	1	256	168	265	265	-9.613524	0	0.3583808	0	-7.116743	0	-4.283278	0	-2.671421	0	-3.797715	0	-1.644174	0	1.229808	0	-9.613524	0	0.3583808	0						
Validierungsstudie2	20161027	MB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	1.611774	0.008775301	0.09170981	0.0005659451	5.091952E-08	-0.5739822	0	0	0	0	0	0.2776604	1.132133E-10	4.256649E-05	3.508094E-07	0.01041136	0.009573619	0.4809223	0.004426988	0.03412443	0.005453943	0.005232457	0.02717087	0.4293534	0.001659932	0.1803364	0.005158261	0.1992932	0.001473607	0.003167083	0.01859963	0.2150156	0.001360908	0.05781513	2	133	1	256	168	265	265	-9.613524	0	0.3583808	0	-7.116743	0	-4.283278	0	-2.671421	0	-3.797715	0	-1.644174	0	1.229808	0	-9.613524	0	0.3583808	0						
Validierungsstudie2	20161027	MB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	2.042042	0.009303071	0.09452524	0.0003399425	3.804179E-08	-0.7486877	0	0	0	0	0	0.437806	8.377091E-11	3.50226E-05	3.168555E-07	0.006320285	0.008637478	0.4743763	0.002393106	0.03722911	0.006470601	0.005413856	0.02837089	0.4294271	0.001613616	0.1765461	0.005317138	0.2009704	0.001799577	0.002425329	0.01856166	0.207319	0.001177718	0.05678337	3	167	1	256	168	265	265	-9.613524	0	0.3583808	0	-7.116743	0	-4.283278	0	-2.671421	0	-3.797715	0	-1.644174	0	1.229808	0	-9.613524	0	0.3583808	0						
Validierungsstudie2	20161027	MB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	2.22034	0.009114636	0.09576515	0.0003266506	3.307455E-08	-0.8080826	0	0	0	0	0	0.4591202	1.154764E-10	3.06019E-05	2.975401E-07	0.005660849	0.007693629	0.4786998	0.001879993	0.03341562	0.007097221	0.005501567	0.02879032	0.4294724	0.001595031	0.1748146	0.005378816	0.2015605	0.001416566	0.00228442	0.01994539	0.196448	0.0009771379	0.05617494	4	200	1	256	168	265	265	-9.699703	0	0.4519459	0	-7.031951	0	-4.327903	0	-2.795969	0	-3.694245	0	-1.631346	0	1.211021	0	-9.699703	0	0.4519459	0						
Validierungsstudie2	20161027	MB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	2.149677	0.009154767	0.09554119	0.0002739627	3.343782E-08	-0.7630005	0	0	0	0	0	0.3812018	1.921288E-10	3.302536E-05	3.122586E-07	0.005242777	0.007295626	0.5165501	0.001967268	0.03672204	0.007261968	0.005482717	0.02845426	0.4297866	0.001603526	0.1754453	0.005353021	0.2013647	0.002062299	0.002196534	0.02113563	0.2106379	0.0009516379	0.06292418	5	233	1	256	168	265	265	-9.676595	0	0.4523866	0	-7.039118	0	-4.34325	0	-2.78775	0	-3.696849	0	-1.645725	0	1.21655	0	-9.676595	0	0.4523866	0						
Validierungsstudie2	20161027	MB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	2.428894	0.008670198	0.09714012	0.0002755885	3.822202E-08	-0.8311996	0	0	0	0	0	0.330168	4.227513E-10	3.009954E-05	2.597365E-07	0.004297128	0.0078794	0.4699193	0.001771934	0.03939619	0.008014958	0.005642455	0.02900314	0.4294643	0.001573177	0.1719074	0.00542323	0.2024769	0.002273211	0.002271781	0.02231026	0.2325414	0.0009556048	0.05586309	6	267	1	256	168	265	265	-9.676595	0	0.4523866	0	-7.039118	0	-4.34325	0	-2.78775	0	-3.696849	0	-1.645725	0	1.21655	0	-9.676595	0	0.4523866	0						
Validierungsstudie2	20161027	MB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	2.552575	0.0100604	0.09805953	0.0002587565	3.541694E-08	-0.8901062	0	0	0	0	0	0.4037464	2.684225E-10	2.538555E-05	2.387476E-07	0.004497686	0.006954605	0.4782455	0.001696029	0.03142123	0.008165563	0.005691366	0.02940841	0.4295197	0.001560658	0.1710909	0.005478051	0.2027746	0.002325178	0.002258414	0.02356896	0.2134838	0.001010288	0.05132413	7	300	1	256	168	265	265	-9.676595	0	0.4523866	0	-7.039118	0	-4.34325	0	-2.78775	0	-3.696849	0	-1.645725	0	1.21655	0	-9.676595	0	0.4523866	0						
Validierungsstudie2	20161027	MB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	2.908046	0.01013227	0.100528	0.0002599	3.541465E-08	-1.017128	0	0	0	0	0	0.471965	2.222175E-10	2.529357E-05	2.377773E-07	0.004445853	0.007021094	0.4711842	0.001584179	0.03282195	0.007680566	0.005870793	0.03034744	0.4294838	0.001524565	0.1677765	0.005605765	0.2041581	0.002469635	0.002162091	0.02718569	0.2247226	0.0009983476	0.05113086	8	333	1	256	168	265	265	-9.644629	0	0.3606881	0	-7.087817	0	-4.292487	0	-2.693295	0	-3.792243	0	-1.640705	0	1.240756	0	-9.644629	0	0.3606881	0						
Validierungsstudie2	20161027	MB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	2.988873	0.009657055	0.1007131	0.0003420139	3.523139E-08	-1.048546	0	0	0	0	0	0.4927362	2.193083E-10	3.230306E-05	2.112195E-07	0.0056433	0.008555152	0.4161325	0.002021478	0.03534861	0.007522174	0.005911162	0.03062939	0.4290387	0.001515029	0.1666534	0.005621975	0.204522	0.002654251	0.002381416	0.0263647	0.2331696	0.001085256	0.05019974	9	367	1	256	168	265	265	-9.644482	0	0.3586462	0	-7.099956	0	-4.29698	0	-2.691636	0	-3.794214	0	-1.641616	0	1.239481	0	-9.644482	0	0.3586462	0						
Validierungsstudie2	20161027	MB	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	399	399			4	1	800	542	10	0	34	2.867749	0.008295573	0.09963651	0.0003664437	3.937241E-08	-0.9886703	0	0	0	0	0	0.4119232	1.010327E-10	3.791767E-05	2.027044E-07	0.005654515	0.01054207	0.3866512	0.002128937	0.04174389	0.009369979	0.005863145	0.03021916	0.4288031	0.001526337	0.167228	0.005559868	0.2041974	0.002514685	0.002479071	0.02249893	0.2340298	0.001193495	0.05222435	10	400	1	256	168	265	265	-9.644482	0	0.3586462	0	-7.099956	0	-4.29698	0	-2.691636	0	-3.794214	0	-1.641616	0	1.239481	0	-9.644482	0	0.3586462	0						
