#Study : Validierungsstudie2
#Date : 20161027 15:15:20
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:24.516 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	M09	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	720	576	0	0	34	85.0889	0.004767747	25.93032	0.002428282	4.137944E-08	-30.77715	0	0	0	0	0	17.23256	1.287043E-07	0.0003350104	0.002403919	0.02119963	0.0218495	0.007579063	0.2167905	0.04186015	0.009654275	6.745035	30.9201	0.4256828	6.973487E-06	0.001964284	1.240386	0.9469773	0.0007897264	0.01557228	1.126743E-05	16.72786	0.001283779	0.1116824	0	67	1	204	143	307	307	-8.083893	0	1.983501	0	-7.536428	0	-4.909284	0	-2.587424	0	-4.410809	0	-1.342095	0	-1.735046	0	-8.083893	0	1.983501	0						
Validierungsstudie2	20161027	M09	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	720	576	1	0	34	85.55866	0.004489673	26.74889	0.003274262	4.753125E-08	-30.70806	0	0	0	0	0	16.37093	9.594034E-08	0.0003317092	0.0008235184	0.05029534	0.03522763	0.008708313	0.3377213	0.06730089	0.008712798	7.301108	30.43256	0.4254876	6.762534E-06	0.001861033	1.243276	0.9578362	0.001653286	0.02294682	1.117806E-05	17.95378	0.001699693	0.09904154	1	100	1	204	143	307	307	-8.061633	0	1.952435	0	-7.513103	0	-4.881183	0	-2.576983	0	-4.405708	0	-1.332553	0	-1.716614	0	-8.061633	0	1.952435	0						
Validierungsstudie2	20161027	M09	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	720	576	2	0	34	87.80042	0.004188649	30.09684	0.003699411	3.80871E-08	-31.62692	0	0	0	0	0	17.0996	7.213077E-08	0.0003245447	0.0007975152	0.06228684	0.04973635	0.008153798	0.4019057	0.05732821	0.008521297	8.658118	35.195	0.4251879	5.839607E-06	0.001662708	1.450584	0.9974973	0.001040997	0.02551944	1.105572E-05	17.43421	0.001723215	0.09173795	2	133	1	204	143	307	307	-8.060842	0	1.953439	0	-7.512708	0	-4.880864	0	-2.57566	0	-4.404841	0	-1.332921	0	-1.717637	0	-8.060842	0	1.953439	0						
Validierungsstudie2	20161027	M09	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	720	576	3	0	34	90.81239	0.004077071	34.56482	0.003528006	3.337079E-08	-32.51747	0	0	0	0	0	17.25276	7.924297E-08	0.0003051213	0.000427654	0.03428695	0.03190846	0.006928893	0.2524705	0.07411816	0.005335419	11.08462	40.76794	0.4260259	4.794633E-06	0.001394124	1.740681	1.056704	0.001281832	0.02356736	5.818594E-06	16.61663	0.001526872	0.07628939	3	167	1	204	143	307	307	-8.059228	0	1.955678	0	-7.514472	0	-4.88468	0	-2.576618	0	-4.410799	0	-1.334614	0	-1.718503	0	-8.059228	0	1.955678	0						
Validierungsstudie2	20161027	M09	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	720	576	4	0	34	92.38031	0.004128879	37.09642	0.002789224	3.882245E-08	-33.27728	0	0	0	0	0	18.25003	4.003388E-08	0.0002967757	0.0003137357	0.03156947	0.02979605	0.006402263	0.2265332	0.06400058	0.005034712	12.17762	45.27885	0.4263068	4.326932E-06	0.001307463	1.965947	1.086731	0.001127825	0.02584163	3.483027E-06	15.91242	0.001661115	0.07079651	4	200	1	204	143	307	307	-8.046741	0	1.961815	0	-7.512008	0	-4.885501	0	-2.570366	0	-4.422249	0	-1.334856	0	-1.722889	0	-8.046741	0	1.961815	0						
Validierungsstudie2	20161027	M09	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	720	576	5	0	34	92.5874	0.004431423	37.51707	0.00333302	3.913798E-08	-32.9618	0	0	0	0	0	16.93608	1.613075E-08	0.0002920938	0.000340225	0.03796908	0.03265136	0.006742577	0.2712271	0.06727125	0.006256296	13.01508	43.49617	0.426109	4.268666E-06	0.001241446	1.914607	1.091288	0.001126689	0.02642968	4.7241E-06	15.5316	0.00166789	0.09335584	5	233	1	204	143	307	307	-8.120413	0	1.982087	0	-7.514679	0	-4.888487	0	-2.610194	0	-4.408777	0	-1.319712	0	-1.753682	0	-8.120413	0	1.982087	0						
Validierungsstudie2	20161027	M09	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	720	576	6	0	34	91.16471	0.004663733	35.25545	0.003478151	3.839746E-08	-32.72392	0	0	0	0	0	17.50174	3.503839E-08	0.0002873038	0.0003675089	0.04127784	0.03861082	0.006807124	0.3256685	0.05785644	0.006173603	11.34206	41.80497	0.4256209	4.685227E-06	0.00137523	1.790318	1.061816	0.001098196	0.02491655	4.841158E-06	15.99587	0.001682479	0.09281416	6	267	1	204	143	307	307	-8.072531	0	1.965472	0	-7.508996	0	-4.895176	0	-2.576861	0	-4.428394	0	-1.33589	0	-1.720985	0	-8.072531	0	1.965472	0						
Validierungsstudie2	20161027	M09	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	720	576	7	0	34	89.90095	0.00475672	33.2436	0.003150419	4.229154E-08	-31.88277	0	0	0	0	0	15.94157	5.169338E-08	0.000266155	0.0003433437	0.04830092	0.03997383	0.006207406	0.3384145	0.05759002	0.006988596	10.80484	37.05849	0.4253983	5.0892E-06	0.001415692	1.586952	1.037181	0.001247328	0.02559286	6.250743E-06	16.47072	0.001648974	0.09102169	7	300	1	204	143	307	307	-8.072531	0	1.965472	0	-7.508996	0	-4.895176	0	-2.576861	0	-4.428394	0	-1.33589	0	-1.720985	0	-8.072531	0	1.965472	0						
Validierungsstudie2	20161027	M09	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	720	576	8	0	34	90.77319	0.004901753	34.64031	0.003519015	3.871079E-08	-32.26276	0	0	0	0	0	16.33991	2.456987E-08	0.0002758535	0.0003599446	0.04970119	0.03342713	0.006458205	0.3383732	0.0615113	0.007295814	11.45905	39.23006	0.4253767	4.806783E-06	0.001359685	1.690548	1.054537	0.001007418	0.02271488	4.631375E-06	16.26016	0.001677335	0.09088283	8	333	1	204	143	307	307	-8.061357	0	1.958887	0	-7.506499	0	-4.893142	0	-2.584195	0	-4.416813	0	-1.329213	0	-1.717512	0	-8.061357	0	1.958887	0						
Validierungsstudie2	20161027	M09	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	720	576	9	0	34	91.35345	0.005216798	35.54818	0.003236928	3.66088E-08	-32.56223	0	0	0	0	0	16.7815	2.603137E-08	0.0002725831	0.0003144618	0.04432303	0.03812859	0.006230398	0.3161486	0.05605986	0.006521024	11.8291	40.98248	0.4255795	4.627578E-06	0.001330682	1.772321	1.065339	0.0009795217	0.02338358	4.59104E-06	16.01087	0.001767693	0.08568876	9	367	1	204	143	307	307	-8.060905	0	1.986009	0	-7.511605	0	-4.900487	0	-2.576763	0	-4.428826	0	-1.337967	0	-1.734657	0	-8.060905	0	1.986009	0						
