#Study : Validierungsstudie2
#Date : 20161027 15:15:41
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:14.900 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	KS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	7.717206E-07	4.05622	37.98545	0.0001275599	9.973435E-09	-8.203949	0	0	0	0	0	0.003741675	5.148551E-10	8.342588E-05	16.40496	5.838381E-05	0.004013704	89.08145	0.0001991637	0.02585923	0.1085722	0.1017039	0.001115139	3.952511	0.008090312	11.52286	0.3265504	0.1932026	0.002661627	0.001813597	99.99998	0.0003554947	0.0002409234	3.098259	0	67	1	239	183	289	289	-4.779586	0	-2.750443	0	3.902234	0	-1.051314	0	-4.204523	0	-3.24974	0	-6.175097	0	-3.288402	0	-4.779586	0	-1.051314	0						
Validierungsstudie2	20161027	KS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	1.760217E-06	4.016567	53.50573	0.0004378507	2.232747E-08	-23.8379	0	0	0	0	0	0.004518942	2.66262E-10	8.325485E-05	47.67045	2.410111E-05	0.005622897	97.94987	0.0001928547	0.04091692	0.1066337	0.1019251	0.0008305997	14.16843	0.009518092	16.22893	0.4925524	0.1935113	0.001961755	0.001408654	99.99996	0.0003111796	0.00020325	7.293215	1	100	1	239	184	289	289	-4.907975	0	-2.822539	0	3.965648	0	-1.011167	0	-4.334746	0	-3.363125	0	-6.31818	0	-3.565567	0	-4.907975	0	-1.011167	0						
Validierungsstudie2	20161027	KS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	1.786852E-06	3.822166	54.68963	0.000586674	3.505457E-08	-28.98396	0	0	0	0	0	0.004461176	1.65754E-10	8.44262E-05	57.96198	1.940684E-05	0.00592708	98.81176	0.0001907026	0.03908093	0.1110642	0.1030203	0.000811004	20.07643	0.009730117	16.62794	0.5096949	0.1934736	0.001657158	0.001228008	99.99995	0.0002928569	0.0001773896	6.452667	2	133	1	239	184	289	289	-4.869852	0	-2.804581	0	3.935189	0	-0.997217	0	-4.293785	0	-3.363344	0	-6.276515	0	-3.49266	0	-4.869852	0	-0.997217	0						
Validierungsstudie2	20161027	KS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	2.357624E-06	4.110365	53.26254	0.0003947212	5.280129E-08	-22.08112	0	0	0	0	0	0.004701032	2.134726E-10	7.512904E-05	44.15697	2.358511E-05	0.005284821	97.71925	0.0002671977	0.04396796	0.04777744	0.1014	0.0008350626	12.52622	0.009449227	16.15183	0.4886755	0.1935739	0.001917888	0.001476813	99.99995	0.00029618	0.0001810576	5.35236	3	167	1	239	184	289	289	-4.933774	0	-2.830922	0	3.972308	0	-1.008794	0	-4.355885	0	-3.378817	0	-6.339649	0	-3.585778	0	-4.933774	0	-1.008794	0						
Validierungsstudie2	20161027	KS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	2.654477E-06	5.170685	54.57381	0.0003547392	6.286943E-08	-18.61646	0	0	0	0	0	0.004846788	4.104055E-10	7.654159E-05	37.22766	2.937521E-05	0.005180015	97.39783	0.0002837742	0.03518053	0.04358461	0.09566065	0.0008219853	9.783751	0.0090738	16.68084	0.4969212	0.1933936	0.001898162	0.001525313	99.99996	0.0002897754	0.0001880505	4.914936	4	200	1	239	183	289	289	-4.799344	0	-2.756915	0	3.88593	0	-1.035738	0	-4.198058	0	-3.267427	0	-6.155813	0	-3.255552	0	-4.799344	0	-1.035738	0						
Validierungsstudie2	20161027	KS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	2.300494E-06	5.359162	55.68394	0.0003967323	5.115998E-08	-21.47	0	0	0	0	0	0.00553043	1.14098E-09	7.913307E-05	42.93408	2.293485E-05	0.005576664	97.83766	0.0002420203	0.03803391	0.1035462	0.09467288	0.0008062467	12.03199	0.009090402	17.09115	0.5100449	0.1934522	0.001922112	0.001385254	99.99998	0.0002973633	0.0001780194	5.294848	5	233	1	239	183	289	289	-4.800053	0	-2.756921	0	3.885844	0	-1.035614	0	-4.198585	0	-3.268255	0	-6.155791	0	-3.256083	0	-4.800053	0	-1.035614	0						
Validierungsstudie2	20161027	KS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	2.42855E-06	6.075041	54.96452	0.0002841571	4.107818E-08	-18.94102	0	0	0	0	0	0.005029707	9.458823E-10	7.649694E-05	37.87606	2.553443E-05	0.006544766	96.71427	0.0002604352	0.03636203	0.06794413	0.09102447	0.0008221209	9.899135	0.008700403	16.88282	0.4945726	0.1934178	0.002012083	0.001903965	99.99998	0.0003047572	0.0002398727	4.290659	6	267	1	239	183	289	289	-4.800053	0	-2.756921	0	3.885844	0	-1.035614	0	-4.198585	0	-3.268255	0	-6.155791	0	-3.256083	0	-4.800053	0	-1.035614	0						
Validierungsstudie2	20161027	KS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	4.19048E-06	4.28447	50.68411	0.0002839583	3.512913E-08	-17.59302	0	0	0	0	0	0.004431457	3.412162E-10	7.514867E-05	35.18074	2.785128E-05	0.006309097	96.09865	0.0002479073	0.03384215	0.07185589	0.1004375	0.0008775521	8.903281	0.009122759	15.30076	0.4556029	0.1933662	0.002232942	0.002058723	99.99996	0.0003365089	0.0002908868	3.618831	7	300	1	239	183	289	289	-4.800053	0	-2.756921	0	3.885844	0	-1.035614	0	-4.198585	0	-3.268255	0	-6.155791	0	-3.256083	0	-4.800053	0	-1.035614	0						
Validierungsstudie2	20161027	KS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	5.08953E-06	4.06528	49.43539	0.0003052613	3.884193E-08	-16.86156	0	0	0	0	0	0.004123956	4.351404E-10	7.886848E-05	33.7188	3.614088E-05	0.006230765	95.61852	0.0002774529	0.03588293	0.05564223	0.1016557	0.0008965925	8.381431	0.009108572	14.88336	0.4426417	0.1934081	0.00322292	0.002363362	99.99995	0.0004064872	0.0003098978	3.359118	8	333	1	239	183	289	289	-4.795812	0	-2.755255	0	3.898689	0	-1.043554	0	-4.206606	0	-3.268997	0	-6.165123	0	-3.275862	0	-4.795812	0	-1.043554	0						
Validierungsstudie2	20161027	KS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	4.277452E-06	4.426582	49.58778	0.0002689964	3.578996E-08	-15.70579	0	0	0	0	0	0.003993895	6.368171E-10	8.459851E-05	31.4065	3.725925E-05	0.007646598	95.34257	0.0003026926	0.03861426	0.05507297	0.09966052	0.0008967105	7.674117	0.008956465	14.95499	0.4417428	0.193464	0.003220222	0.002635711	99.99996	0.0003846475	0.0003456747	3.391174	9	367	1	239	184	289	289	-4.816872	0	-2.778039	0	3.942738	0	-1.070757	0	-4.251239	0	-3.279577	0	-6.22461	0	-3.397988	0	-4.816872	0	-1.070757	0						
