#Study : Validierungsstudie2
#Date : 20161027 15:15:43
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:14.106 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	KP	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	3.884923E-05	0.3471093	99.92101	0.0002334732	100	99.27883	0	0	0	0	0	0.2233259	1.780749E-09	1.178183	0.01768183	0.02574153	0.02462216	72.08562	0.1365027	0	0.001311119	6.033462E-06	2.782101E-06	0.002638178	99.8835	4.82414	0.0003308887	0.0001067703	0.1727915	0.01004596	2.51871	0.5280795	0.02420816	2.305052	0	67	1	265	150	247	247	8.061959	0	-8.72703	0	-9.327067	0	-7.148934	0	-11.53392	0	-6.72319	0	-12.23829	0	-15.4786	0	8.061959	0	-6.72319	0						
Validierungsstudie2	20161027	KP	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.0001116525	0.3353737	99.92101	0.0006591854	99.99998	99.17783	0	0	0	0	0	0.5188088	8.790649E-10	1.216178	0.01004558	0.03676255	0.04649327	60.54515	0.0931391	4.087871E-08	0.000974945	5.755041E-06	4.167635E-06	0.002147446	99.85639	2.950799	0.000194753	0.0001067706	0.1618967	0.0137139	1.504999	0.5690271	0.0189393	2.085131	1	100	1	265	150	247	247	8.066011	0	-8.721661	0	-9.310538	0	-7.140143	0	-11.53307	0	-6.730801	0	-12.22518	0	-15.47436	0	8.066011	0	-6.730801	0						
Validierungsstudie2	20161027	KP	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	9.699663E-05	0.3252969	99.92101	0.000701897	99.99998	99.16084	0	0	0	0	0	0.3465585	3.407752E-10	1.390429	0.005723271	0.02770443	0.04814368	57.16879	0.04613892	4.139376E-08	0.0005634452	5.660534E-06	4.612571E-06	0.002063952	99.84736	2.531423	0.0001654546	0.0001067706	0.1239734	0.01518586	0.9056603	0.3866968	0.01543734	1.852628	2	133	1	265	150	247	247	8.046326	0	-8.699052	0	-9.291583	0	-7.133773	0	-11.49964	0	-6.710479	0	-12.20567	0	-15.43546	0	8.046326	0	-6.710479	0						
Validierungsstudie2	20161027	KP	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.0001102741	0.3076214	99.92101	0.0006019076	99.99998	99.11446	0	0	0	0	0	0.3909836	3.240481E-10	1.445879	0.006359365	0.02565758	0.06250524	50.87311	0.05077926	6.934116E-08	0.0006036172	5.660481E-06	5.707837E-06	0.001853746	99.82898	1.919722	0.0001234339	0.0001067707	0.1174558	0.01974309	0.9443696	0.4288625	0.01596665	1.687325	3	167	1	265	150	247	247	8.043689	0	-8.699471	0	-9.292236	0	-7.131382	0	-11.49114	0	-6.706609	0	-12.19671	0	-15.42966	0	8.043689	0	-6.706609	0						
Validierungsstudie2	20161027	KP	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.0001057698	0.381139	99.92101	0.000725425	99.99998	98.9165	0	0	0	0	0	0.4617304	4.501305E-10	1.811321	0.004622572	0.02439882	0.05801371	50.21275	0.03917084	6.872451E-08	0.0005224713	5.684283E-06	5.852274E-06	0.001917641	99.82651	1.875202	0.0001202068	0.0001067707	0.1138875	0.01958659	1.459407	0.4783876	0.01600018	1.72962	4	200	1	265	150	247	247	8.068165	0	-8.735402	0	-9.346599	0	-7.162204	0	-11.54397	0	-6.727118	0	-12.23654	0	-15.4852	0	8.068165	0	-6.727118	0						
Validierungsstudie2	20161027	KP	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	9.064019E-05	0.4362318	99.92101	0.0008975798	99.99998	98.89634	0	0	0	0	0	0.3879074	3.683844E-10	1.8801	0.005850896	0.03623416	0.06911942	46.74258	0.0401754	8.068056E-08	0.0006168128	5.695221E-06	6.526192E-06	0.00181439	99.8149	1.60931	0.0001021767	0.0001067707	0.133351	0.02025958	1.540111	0.4055309	0.01773006	1.684934	5	233	1	265	150	247	247	8.047559	0	-8.70451	0	-9.287621	0	-7.12793	0	-11.49809	0	-6.713898	0	-12.2188	0	-15.44824	0	8.047559	0	-6.713898	0						
Validierungsstudie2	20161027	KP	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	8.589665E-05	0.4562548	99.92101	0.001030443	99.99998	98.87456	0	0	0	0	0	0.3982745	1.414798E-09	1.907505	0.00633031	0.03609494	0.07827523	47.8733	0.04660859	7.53118E-08	0.0006015036	5.646937E-06	6.285067E-06	0.001858658	99.81853	1.694078	0.0001078109	0.0001067706	0.1690732	0.0185304	1.33131	0.4744878	0.0159882	1.850302	6	267	1	265	150	247	247	8.047559	0	-8.70451	0	-9.287621	0	-7.12793	0	-11.49809	0	-6.713898	0	-12.2188	0	-15.44824	0	8.047559	0	-6.713898	0						
Validierungsstudie2	20161027	KP	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	9.26876E-05	0.4409705	99.92101	0.001110565	99.99998	98.84576	0	0	0	0	0	0.414817	6.08502E-09	1.949217	0.006499116	0.03623746	0.08168622	48.95058	0.05250866	7.449867E-08	0.0006224888	5.660654E-06	6.072044E-06	0.001905601	99.82214	1.776263	0.0001133734	0.0001067707	0.2397301	0.01877153	1.410098	0.529973	0.0155929	1.974322	7	300	1	265	150	247	247	8.04686	0	-8.703828	0	-9.28699	0	-7.127698	0	-11.49788	0	-6.712559	0	-12.21888	0	-15.44806	0	8.04686	0	-6.712559	0						
Validierungsstudie2	20161027	KP	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	9.375058E-05	0.4645672	99.92101	0.001135373	99.99998	98.87458	0	0	0	0	0	0.4045752	8.055317E-09	1.898926	0.00743936	0.03563298	0.07488664	50.11152	0.05629251	7.299741E-08	0.0007352315	5.676114E-06	5.834852E-06	0.001934798	99.82571	1.871346	0.0001197329	0.0001067707	0.3063324	0.01685094	1.49468	0.5824227	0.01619488	2.104693	8	333	1	265	150	247	247	8.076067	0	-8.739843	0	-9.340327	0	-7.171562	0	-11.54089	0	-6.738752	0	-12.24147	0	-15.46052	0	8.076067	0	-6.738752	0						
Validierungsstudie2	20161027	KP	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.0001052335	0.4450805	99.92101	0.001024945	99.99998	98.91806	0	0	0	0	0	0.4424749	2.472934E-09	1.805711	0.008058012	0.03442311	0.05458638	50.40421	0.04956678	7.12248E-08	0.0007917527	5.636649E-06	5.7977E-06	0.001922524	99.82674	1.895987	0.0001214471	0.0001067707	0.2912577	0.01427963	1.276208	0.5577537	0.01676988	2.096554	9	367	1	265	150	247	247	8.076067	0	-8.739843	0	-9.340327	0	-7.171562	0	-11.54089	0	-6.738752	0	-12.24147	0	-15.46052	0	8.076067	0	-6.738752	0						
