#Study : Validierungsstudie2
#Date : 20161027 15:15:45
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:13.332 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	KO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.001333517	0.2448772	0.080619	0.0005030301	4.280512E-06	-0.05659485	0	0	0	0	0	0.1774772	1.434571E-10	4.843947E-06	1.646248E-05	0.003170468	0.00740266	0.04173862	0.0001000112	0.01993883	0.002598554	0.005862569	0.02413361	0.4261281	0.001815705	0.1964338	0.004606932	0.1930861	0.001518199	0.002849195	8.289937	0.0138871	0.001458787	0.04373811	0	67	1	253	153	268	268	-4.070307	0	-3.820754	0	-2.772426	0	-2.261405	0	-0.6391327	0	-3.437322	0	-2.283426	0	2.98147	0	-4.070307	0	-0.6391327	0						
Validierungsstudie2	20161027	KO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.0008982529	0.3842272	0.08141064	0.0004139921	4.742254E-06	-0.05439758	0	0	0	0	0	0.161996	5.262389E-10	4.597305E-06	6.796166E-06	0.009293477	0.01063399	0.03930089	0.000177046	0.099052	0.002252106	0.005657589	0.02402227	0.4259371	0.001807416	0.1976964	0.00462345	0.1947112	0.001988666	0.02618179	7.432274	0.01540976	0.003131145	0.07235794	1	100	1	253	153	268	268	-4.063845	0	-3.747163	0	-2.701579	0	-2.224043	0	-0.6220624	0	-3.439115	0	-2.270074	0	2.942412	0	-4.063845	0	-0.6220624	0						
Validierungsstudie2	20161027	KO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.0005186566	0.4511934	0.0821863	0.0006853095	1.104377E-05	-0.04189301	0	0	0	0	0	0.1169287	2.902151E-10	4.923373E-06	7.976895E-06	0.01520625	0.00872919	0.1052034	0.0001593	0.05751755	0.003770913	0.006284987	0.0238556	0.4262783	0.001805668	0.1986824	0.004640593	0.193854	0.002615911	0.006300685	10.64367	0.01250216	0.00169632	0.07457966	2	133	1	253	153	268	268	-4.066734	0	-3.743312	0	-2.702254	0	-2.222018	0	-0.6220077	0	-3.436228	0	-2.26928	0	2.939579	0	-4.066734	0	-0.6220077	0						
Validierungsstudie2	20161027	KO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.0008811246	0.4138187	0.08184177	0.0005857717	1.173148E-05	-0.04946899	0	0	0	0	0	0.1426189	1.474815E-10	4.638527E-06	5.889213E-06	0.01302381	0.009163763	0.08371657	0.0001758085	0.07261053	0.00259582	0.005768954	0.02393724	0.4261837	0.00180713	0.198269	0.004634433	0.1941658	0.001729529	0.01335606	8.042514	0.01449485	0.002877193	0.06661265	3	167	1	253	153	268	268	-4.063766	0	-3.747136	0	-2.701543	0	-2.223963	0	-0.6220832	0	-3.439167	0	-2.269985	0	2.942286	0	-4.063766	0	-0.6220832	0						
Validierungsstudie2	20161027	KO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.0007642513	0.3726365	0.08157215	0.0007589399	1.267388E-05	-0.04431915	0	0	0	0	0	0.1262125	3.901325E-10	4.319535E-06	4.507363E-06	0.01179901	0.008840453	0.0786638	0.0001583609	0.05224343	0.002587103	0.006666228	0.02394023	0.4261916	0.001809415	0.1977213	0.004625284	0.1937464	0.001352752	0.01375135	12.29172	0.01431005	0.003221552	0.05521902	4	200	1	253	153	268	268	-4.067349	0	-3.753287	0	-2.708146	0	-2.226844	0	-0.622084	0	-3.445851	0	-2.27148	0	2.942367	0	-4.067349	0	-0.622084	0						
Validierungsstudie2	20161027	KO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.0009233397	0.3575981	0.08154006	0.0007489136	1.251696E-05	-0.04148102	0	0	0	0	0	0.1195274	3.507031E-10	4.065125E-06	3.333132E-06	0.009538754	0.009070375	0.08818594	0.0001691124	0.04568022	0.002574055	0.006220554	0.02393206	0.4263402	0.001810599	0.1976161	0.004624371	0.1936122	0.00199657	0.01559547	10.182	0.01461311	0.003344119	0.05575226	5	233	1	253	153	268	268	-4.250056	0	-3.775369	0	-2.737299	0	-2.257467	0	-0.7271226	0	-3.442765	0	-2.271382	0	2.978699	0	-4.250056	0	-0.7271226	0						
Validierungsstudie2	20161027	KO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.0008398913	0.3682522	0.08154316	0.000699244	1.661523E-05	-0.04507446	0	0	0	0	0	0.1314497	2.519115E-10	3.845291E-06	3.002127E-06	0.008589075	0.0111425	0.07806963	0.0001736554	0.03755948	0.002585663	0.006544548	0.02395215	0.4262774	0.001809646	0.1977029	0.004625302	0.1934453	0.002656309	0.01433393	11.73698	0.01467367	0.003194877	0.05219322	6	267	1	253	153	268	268	-4.071459	0	-3.789593	0	-2.72233	0	-2.228135	0	-0.6226513	0	-3.451755	0	-2.290198	0	2.968819	0	-4.071459	0	-0.6226513	0						
Validierungsstudie2	20161027	KO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.0008390747	0.3765394	0.08156729	0.0005597866	1.615607E-05	-0.04057312	0	0	0	0	0	0.1153947	2.66324E-10	3.777827E-06	3.143982E-06	0.01128194	0.01060602	0.07392175	0.0001845985	0.04159829	0.002136713	0.006426957	0.02392394	0.4261611	0.00180902	0.1976528	0.004623348	0.1935281	0.003227841	0.01854318	11.18687	0.01510334	0.003400098	0.05589286	7	300	1	253	153	268	268	-4.249835	0	-3.775378	0	-2.737313	0	-2.257352	0	-0.72712	0	-3.442762	0	-2.271184	0	2.978603	0	-4.249835	0	-0.72712	0						
Validierungsstudie2	20161027	KO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.0008583953	0.3683196	0.08150297	0.0004831882	1.755219E-05	-0.04457855	0	0	0	0	0	0.1283841	2.382486E-10	3.395205E-06	3.077955E-06	0.01187447	0.01114933	0.0710877	0.0001770252	0.03918006	0.002060166	0.006426008	0.02395137	0.4261182	0.001809412	0.1976232	0.004623415	0.1934785	0.003701698	0.01654714	11.18479	0.01557927	0.003279612	0.04929787	8	333	1	253	153	268	268	-4.033954	0	-3.743351	0	-2.701693	0	-2.218968	0	-0.611408	0	-3.426864	0	-2.274045	0	2.935777	0	-4.033954	0	-0.611408	0						
Validierungsstudie2	20161027	KO	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.0009591437	0.3376996	0.08135977	0.0005222959	1.495066E-05	-0.04931641	0	0	0	0	0	0.1447539	3.051964E-10	3.456666E-06	3.111998E-06	0.01178524	0.01017313	0.07706911	0.0001741551	0.03453478	0.002002412	0.006397576	0.02399174	0.4261728	0.001811409	0.1974701	0.004622754	0.1933836	0.00348533	0.01505945	11.0219	0.01472833	0.003062038	0.04573936	9	367	1	253	153	268	268	-4.057371	0	-3.774424	0	-2.724257	0	-2.230292	0	-0.6192508	0	-3.454954	0	-2.262825	0	2.947456	0	-4.057371	0	-0.6192508	0						
