#Study : Validierungsstudie2
#Date : 20161027 15:15:46
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:12.568 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	KM	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.166766	0.02237581	0.1956867	0.001041352	1.740538E-08	-0.1140518	0	0	0	0	0	0.2035264	1.147212E-10	5.799768E-05	0.001039973	0.0001461906	0.002441809	12.55091	0.003654267	0.186642	0.02348266	0.00457267	0.01622521	0.534536	0.002271323	0.3374962	0.008292102	0.1971392	0.00046918	0.001635651	0.02735847	0.1088834	0.0006305945	0.2106752	0	67	1	247	139	276	276	-6.752565	0	-1.391752	0	-1.634211	0	-2.204394	0	-2.926538	0	-1.96505	0	-2.604919	0	2.612336	0	-6.752565	0	-1.391752	0						
Validierungsstudie2	20161027	KM	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.1309541	0.02054323	0.5078045	0.0008834106	2.567241E-08	-0.1008606	0	0	0	0	0	0.1850595	5.891682E-11	5.522811E-05	0.002229567	0.0002524354	0.003356727	25.98071	0.01121041	0.3143029	0.01615535	0.004566102	0.01033021	0.6813902	0.002906467	0.616829	0.01547464	0.1996921	0.0003772585	0.002142185	0.05141407	0.09315308	0.0006353476	0.2321867	1	100	1	247	139	276	276	-6.755352	0	-1.396067	0	-1.631342	0	-2.2071	0	-2.925322	0	-1.973171	0	-2.604945	0	2.612522	0	-6.755352	0	-1.396067	0						
Validierungsstudie2	20161027	KM	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.1412335	0.02231041	0.252224	0.000848148	3.950639E-08	-0.08542633	0	0	0	0	0	0.1302409	2.096514E-10	8.625259E-05	0.001884713	0.0001947645	0.003361987	16.13761	0.004936367	0.2009923	0.03092174	0.004584511	0.01429927	0.5703635	0.002428435	0.3961123	0.009766334	0.197345	0.000341247	0.001184699	0.08413899	0.09683155	0.0006703192	0.162211	2	133	1	247	139	276	276	-6.747643	0	-1.40988	0	-1.633211	0	-2.200981	0	-2.925132	0	-1.98435	0	-2.60868	0	2.617849	0	-6.747643	0	-1.40988	0						
Validierungsstudie2	20161027	KM	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.1019816	0.0294198	0.2851869	0.0006613818	4.392821E-08	-0.09607697	0	0	0	0	0	0.1989182	2.550303E-10	9.740292E-05	0.002363979	0.0004782047	0.003427434	17.90106	0.01031851	0.1941799	0.03815494	0.004549248	0.01350259	0.5888371	0.002513422	0.4307279	0.01060316	0.1970578	0.000376086	0.001889467	0.05598281	0.0916704	0.0009740564	0.3278297	3	167	1	247	139	276	276	-6.74129	0	-1.395202	0	-1.645171	0	-2.216584	0	-2.923465	0	-1.97427	0	-2.609038	0	2.609261	0	-6.74129	0	-1.395202	0						
Validierungsstudie2	20161027	KM	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.07260581	0.03396498	0.2984679	0.0008881742	3.709682E-08	-0.08918762	0	0	0	0	0	0.2076864	4.639347E-11	8.549783E-05	0.002264379	0.000350606	0.003326777	18.56956	0.007680895	0.1345941	0.02596499	0.004532878	0.01318235	0.5959848	0.002548674	0.44482	0.01092414	0.195709	0.0002648975	0.001743688	0.05295095	0.07995372	0.0007956114	0.2395198	4	200	1	247	139	276	276	-6.730887	0	-1.370397	0	-1.633612	0	-2.214264	0	-2.915076	0	-1.938604	0	-2.607308	0	2.591737	0	-6.730887	0	-1.370397	0						
Validierungsstudie2	20161027	KM	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.06241436	0.03334498	0.2914159	0.0008947748	3.242735E-08	-0.08386993	0	0	0	0	0	0.2007754	5.264775E-11	7.345604E-05	0.002293851	0.0004067564	0.002789988	18.244	0.007435764	0.1609445	0.03536164	0.004529426	0.01331016	0.5924873	0.002535375	0.4385423	0.01075043	0.1962191	0.000235215	0.001684201	0.05001525	0.07502829	0.0007903103	0.2644574	5	233	1	247	139	276	276	-6.751223	0	-1.401882	0	-1.641199	0	-2.20407	0	-2.925087	0	-1.977139	0	-2.609045	0	2.613384	0	-6.751223	0	-1.401882	0						
Validierungsstudie2	20161027	KM	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.0791933	0.03595599	0.2643161	0.000824518	2.970427E-08	-0.09777069	0	0	0	0	0	0.2326755	3.601554E-11	7.569764E-05	0.001833121	0.0002991193	0.002742944	16.85695	0.006258844	0.1422189	0.03038557	0.004528994	0.01398627	0.5778061	0.002469312	0.4121488	0.0100973	0.1958914	0.000283557	0.001265752	0.044825	0.07436962	0.0006714427	0.2134976	6	267	1	247	139	276	276	-6.751223	0	-1.401882	0	-1.641199	0	-2.20407	0	-2.925087	0	-1.977139	0	-2.609045	0	2.613384	0	-6.751223	0	-1.401882	0						
Validierungsstudie2	20161027	KM	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.0752881	0.03761983	0.2461561	0.001022663	2.497146E-08	-0.09290314	0	0	0	0	0	0.2174581	3.775966E-11	9.392427E-05	0.001931859	0.0003193535	0.003515986	15.86178	0.007914605	0.1244455	0.03265055	0.004530091	0.01443835	0.5675102	0.002425523	0.3941155	0.009632904	0.1955083	0.0004325391	0.001431241	0.04477141	0.07846061	0.0007138346	0.2365649	7	300	1	247	139	276	276	-6.751223	0	-1.401882	0	-1.641199	0	-2.20407	0	-2.925087	0	-1.977139	0	-2.609045	0	2.613384	0	-6.751223	0	-1.401882	0						
Validierungsstudie2	20161027	KM	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.07523227	0.04043433	0.2480008	0.0008474172	2.599703E-08	-0.1029892	0	0	0	0	0	0.2498469	3.502644E-11	8.360972E-05	0.002139629	0.0004560121	0.00335706	15.96662	0.009249184	0.1408665	0.03190402	0.004522956	0.01441794	0.5685926	0.002429936	0.3964123	0.009690394	0.1958487	0.0003903443	0.001733611	0.04137339	0.0800962	0.0008187831	0.2749251	8	333	1	247	139	276	276	-6.742837	0	-1.401516	0	-1.652742	0	-2.216497	0	-2.919703	0	-1.97841	0	-2.610514	0	2.614517	0	-6.742837	0	-1.401516	0						
Validierungsstudie2	20161027	KM	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.06645936	0.04419035	0.2400474	0.0009624606	2.282672E-08	-0.1008606	0	0	0	0	0	0.2461569	2.090009E-11	8.305279E-05	0.002402049	0.0005500646	0.004132579	15.51793	0.01300554	0.1203749	0.03485518	0.004520782	0.0146204	0.5639977	0.002411282	0.388753	0.009484604	0.1953916	0.0003625961	0.001717291	0.04902039	0.07406863	0.0008250403	0.2765343	9	367	1	247	139	276	276	-6.748429	0	-1.402045	0	-1.653337	0	-2.216453	0	-2.922013	0	-1.979988	0	-2.611121	0	2.615219	0	-6.748429	0	-1.402045	0						
