#Study : Validierungsstudie2
#Date : 20161027 15:15:47
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:11.741 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	KL	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.5826414	0.007704744	0.0863162	0.0005565655	6.061396E-07	-0.224823	0	0	0	0	0	0.09940313	1.694994E-10	0.007269875	0.0002433272	0.0002382479	0.007795863	0.660731	0.04708251	0.01532545	0.02801629	0.004785936	0.02471311	0.4314727	0.001781474	0.1923164	0.004864022	0.1951025	0.001180155	0.004410722	0.008146361	0.1626609	0.001120967	0.1087218	0	67	1	241	180	304	304	-6.538891	0	0.5040408	0	-5.940557	0	-3.239563	0	-1.847069	0	-1.376616	0	-2.304332	0	0.6796607	0	-6.538891	0	0.5040408	0						
Validierungsstudie2	20161027	KL	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	1.471845	0.008972049	0.09152754	0.0005434343	3.995411E-07	-0.5075912	0	0	0	0	0	0.1262844	2.054008E-10	0.009935196	0.0002924439	0.001383125	0.00928624	0.5929748	0.07715678	0.0596598	0.02295417	0.005206336	0.02652215	0.4312532	0.001678612	0.1819469	0.005118692	0.199311	0.009244916	0.006200028	0.002950297	0.2280425	0.001865995	0.1036862	1	100	1	241	180	305	305	-6.454812	0	0.474596	0	-5.878498	0	-3.29797	0	-1.799912	0	-1.357085	0	-2.286633	0	0.7049754	0	-6.454812	0	0.474596	0						
Validierungsstudie2	20161027	KL	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	2.206645	0.006149852	0.09608471	0.0004687743	3.861716E-07	-0.7138214	0	0	0	0	0	0.1063695	1.749276E-10	0.005295213	0.0002248851	0.001185155	0.007181005	0.539081	0.05303715	0.03764055	0.010642	0.00558315	0.02804053	0.4305204	0.00159837	0.1735641	0.005332336	0.2015992	0.004001481	0.005133606	0.00113955	0.247729	0.001570194	0.0718118	2	133	1	241	180	305	305	-6.45046	0	0.4702963	0	-5.876584	0	-3.28921	0	-1.797669	0	-1.348672	0	-2.284093	0	0.7043756	0	-6.45046	0	0.4702963	0						
Validierungsstudie2	20161027	KL	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	2.717216	0.006893338	0.09952898	0.0008741918	4.278396E-07	-0.8779068	0	0	0	0	0	0.1445244	9.735945E-11	0.004273932	0.0001536357	0.001289514	0.008546818	0.5220517	0.05169987	0.04237502	0.01567218	0.005851064	0.02922459	0.4304224	0.001545321	0.1684064	0.005500187	0.2036366	0.004751747	0.004809549	0.001441723	0.2521065	0.001478316	0.09628408	3	167	1	241	180	305	305	-6.445654	0	0.472255	0	-5.873723	0	-3.289045	0	-1.79749	0	-1.34768	0	-2.283118	0	0.7026165	0	-6.445654	0	0.472255	0						
Validierungsstudie2	20161027	KL	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	3.207526	0.006072462	0.1031777	0.0006691638	4.566306E-07	-1.008278	0	0	0	0	0	0.1087358	1.206119E-10	0.004032611	0.0001381544	0.0008687448	0.007635086	0.5363029	0.03249881	0.02261507	0.01204234	0.006135033	0.03023349	0.4305563	0.001496943	0.163455	0.005661972	0.2050833	0.003633238	0.004256268	0.001293718	0.2828448	0.001344144	0.07661621	4	200	1	241	180	305	305	-6.451421	0	0.4769206	0	-5.868377	0	-3.281761	0	-1.797006	0	-1.354988	0	-2.276332	0	0.7029142	0	-6.451421	0	0.4769206	0						
Validierungsstudie2	20161027	KL	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	3.167022	0.004993386	0.1031004	0.0008009015	4.225665E-07	-0.9885864	0	0	0	0	0	0.08549682	6.349832E-10	0.004145951	0.0001106863	0.0008013913	0.008214595	0.566299	0.03005034	0.02450649	0.01157276	0.006117285	0.03006574	0.4307635	0.001501789	0.16395	0.005651992	0.2049691	0.003936664	0.003837328	0.001418235	0.2798961	0.001297778	0.07547063	5	233	1	241	180	305	305	-6.295559	0	0.508462	0	-5.803191	0	-3.292323	0	-1.742005	0	-1.329835	0	-2.256238	0	0.6573493	0	-6.295559	0	0.508462	0						
Validierungsstudie2	20161027	KL	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	3.953383	0.004569862	0.1087358	0.0007959211	3.979963E-07	-1.219559	0	0	0	0	0	0.07171148	2.362472E-10	0.003457363	9.700931E-05	0.0007730624	0.00734187	0.5257846	0.02795199	0.01814627	0.01020337	0.006595132	0.03190624	0.4303561	0.001425416	0.1560538	0.005911326	0.2078671	0.002816803	0.003301528	0.001346927	0.2758967	0.001196542	0.07999754	6	267	1	241	180	305	305	-6.303768	0	0.5103883	0	-5.804113	0	-3.294918	0	-1.746355	0	-1.329501	0	-2.254973	0	0.6563679	0	-6.303768	0	0.5103883	0						
Validierungsstudie2	20161027	KL	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	2.954392	0.004750954	0.1013264	0.0009160985	3.611432E-07	-0.9233627	0	0	0	0	0	0.08596031	4.142044E-11	0.002326061	9.71241E-05	0.0008668802	0.006857284	0.5357019	0.02671915	0.01657892	0.01235241	0.005994267	0.02962222	0.4303517	0.001522	0.1658237	0.005572405	0.2039837	0.0023359	0.003328497	0.001633017	0.2294303	0.001249991	0.09704784	7	300	1	241	180	305	305	-6.312062	0	0.5123612	0	-5.804628	0	-3.297023	0	-1.749527	0	-1.330055	0	-2.25302	0	0.6562157	0	-6.312062	0	0.5123612	0						
Validierungsstudie2	20161027	KL	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	2.405325	0.005556719	0.0973355	0.0009165319	3.590519E-07	-0.7606125	0	0	0	0	0	0.08826135	1.764469E-10	0.002495609	9.741574E-05	0.0008067744	0.009155509	0.5216413	0.02876798	0.01785838	0.01374187	0.005689603	0.02844355	0.4302866	0.001577248	0.1712786	0.005388792	0.201926	0.002542031	0.003611082	0.002376067	0.2200531	0.001291145	0.09838162	8	333	1	241	180	305	305	-6.337743	0	0.5120323	0	-5.820824	0	-3.3007	0	-1.764792	0	-1.321801	0	-2.260169	0	0.652974	0	-6.337743	0	0.5120323	0						
Validierungsstudie2	20161027	KL	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	2.542664	0.006036993	0.09841079	0.0010596	3.760478E-07	-0.8019638	0	0	0	0	0	0.0861333	7.22877E-10	0.002803612	0.000100855	0.0008437174	0.008402448	0.5382679	0.03068217	0.02225814	0.01445426	0.005765132	0.02871805	0.4304382	0.001563582	0.1699955	0.005437304	0.2025401	0.002123463	0.003504961	0.003163513	0.2259541	0.001259778	0.1066835	9	367	1	241	180	305	305	-6.330323	0	0.506462	0	-5.812063	0	-3.279379	0	-1.76218	0	-1.32809	0	-2.258581	0	0.6645712	0	-6.330323	0	0.506462	0						
