#Study : Validierungsstudie2
#Date : 20161027 15:15:49
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:10.591 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	KA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	1.394764	0.01183013	0.089906	0.0001392329	2.567243E-06	-0.497406	0	0	0	0	0	0.2464261	9.461068E-12	9.577128E-05	4.621942E-05	0.001495059	0.004449339	0.419579	0.01159315	0.04333538	0.004796898	0.005130196	0.02673525	0.4291355	0.001681634	0.1820503	0.005072757	0.1986794	0.0009673827	0.003556748	0.005647671	0.1812453	0.0008721267	0.08272975	0	67	1	249	178	251	251	-6.2844	0	-0.7948045	0	-4.53357	0	-3.728674	0	-2.166376	0	-3.031657	0	-1.857842	0	1.745888	0	-6.2844	0	-0.7948045	0						
Validierungsstudie2	20161027	KA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.5860564	0.01075764	0.08463927	0.0001295535	9.422467E-06	-0.2731934	0	0	0	0	0	0.3091705	4.162284E-12	8.057295E-05	4.442081E-05	0.001093072	0.005523283	0.3824144	0.009236897	0.03455976	0.005831834	0.004738515	0.02529942	0.4288357	0.001771912	0.1911142	0.004833062	0.1955133	0.0006777397	0.002845291	0.006464927	0.1143611	0.000800367	0.0778531	1	100	1	249	178	251	251	-6.283602	0	-0.7729376	0	-4.534853	0	-3.724607	0	-2.159611	0	-3.032517	0	-1.861201	0	1.736014	0	-6.283602	0	-0.7729376	0						
Validierungsstudie2	20161027	KA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.4434273	0.01020395	0.08357323	0.0001283385	5.826234E-06	-0.2086105	0	0	0	0	0	0.2368025	2.551312E-12	7.706441E-05	3.893744E-05	0.001381066	0.005737419	0.3474436	0.008073657	0.02367971	0.005273252	0.004689136	0.02493904	0.4285511	0.001787427	0.1920291	0.004773611	0.1947674	0.0003836591	0.00273931	0.008445191	0.0848065	0.0008214125	0.08073547	2	133	1	249	178	251	251	-6.286231	0	-0.7741593	0	-4.545135	0	-3.730191	0	-2.161767	0	-3.032072	0	-1.858682	0	1.73687	0	-6.286231	0	-0.7741593	0						
Validierungsstudie2	20161027	KA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.5769014	0.0104234	0.08429559	0.0001216383	5.385786E-06	-0.249855	0	0	0	0	0	0.236766	5.578491E-12	7.424767E-05	2.38477E-05	0.003110414	0.006148469	0.3345641	0.01011368	0.03590043	0.004787338	0.004749355	0.02519959	0.4284014	0.001771451	0.190392	0.004809131	0.1955076	0.0004629111	0.003717714	0.008748832	0.09068612	0.001097157	0.0952435	3	167	1	249	178	251	251	-6.298663	0	-0.7892001	0	-4.541544	0	-3.735053	0	-2.168553	0	-3.035239	0	-1.854256	0	1.747207	0	-6.298663	0	-0.7892001	0						
Validierungsstudie2	20161027	KA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.5304423	0.009971214	0.08396728	0.0001139565	5.997916E-06	-0.2396393	0	0	0	0	0	0.2535078	5.375435E-12	7.63733E-05	2.424247E-05	0.00248031	0.005200694	0.3263379	0.007517856	0.03416057	0.004484234	0.004724717	0.02514784	0.4283701	0.001776606	0.1909433	0.004796248	0.1953017	0.0005822374	0.0027913	0.008628677	0.1088772	0.0009369566	0.07756142	4	200	1	249	178	251	251	-6.280649	0	-0.7698394	0	-4.546526	0	-3.726337	0	-2.158504	0	-3.029401	0	-1.862453	0	1.731853	0	-6.280649	0	-0.7698394	0						
Validierungsstudie2	20161027	KA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.5658535	0.01080853	0.08480404	0.0001316719	4.97985E-06	-0.2518768	0	0	0	0	0	0.2531347	3.082746E-12	7.894508E-05	2.214843E-05	0.004487259	0.005888101	0.4298678	0.01044063	0.03697551	0.004500853	0.004741955	0.02512558	0.4291228	0.001775785	0.1914328	0.00482979	0.1954895	0.0005036499	0.002455177	0.01432786	0.1095009	0.0009995527	0.0916243	5	233	1	249	178	251	251	-6.279302	0	-0.7748175	0	-4.540332	0	-3.728125	0	-2.159321	0	-3.031737	0	-1.859727	0	1.736732	0	-6.279302	0	-0.7748175	0						
Validierungsstudie2	20161027	KA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.5915509	0.009636992	0.08481232	0.0001192854	6.882602E-06	-0.2563248	0	0	0	0	0	0.2462644	2.461636E-12	7.740116E-05	2.418852E-05	0.002861563	0.005175477	0.4055388	0.009065809	0.03127037	0.004568324	0.004754643	0.02518465	0.4289803	0.001772085	0.1908792	0.004830588	0.1954652	0.0006804545	0.001944374	0.01261149	0.1219772	0.0008677247	0.07990608	6	267	1	249	178	251	251	-6.279302	0	-0.7748175	0	-4.540332	0	-3.728125	0	-2.159321	0	-3.031737	0	-1.859727	0	1.736732	0	-6.279302	0	-0.7748175	0						
Validierungsstudie2	20161027	KA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.7072198	0.009149967	0.08554465	0.0001261714	6.748605E-06	-0.292099	0	0	0	0	0	0.249083	1.772407E-12	8.177516E-05	2.252706E-05	0.003084753	0.005167339	0.4103439	0.009801965	0.03181229	0.004643267	0.004806573	0.02540493	0.4290202	0.0017589	0.1896138	0.004865659	0.1959	0.0008478876	0.002439372	0.01076372	0.1296651	0.0008813725	0.0855484	7	300	1	249	178	251	251	-6.279302	0	-0.7748175	0	-4.540332	0	-3.728125	0	-2.159321	0	-3.031737	0	-1.859727	0	1.736732	0	-6.279302	0	-0.7748175	0						
Validierungsstudie2	20161027	KA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.7133827	0.01055352	0.08567052	0.0001361175	5.43867E-06	-0.2915344	0	0	0	0	0	0.2409161	1.514587E-12	8.217167E-05	2.164906E-05	0.003280494	0.004917785	0.4247821	0.009855838	0.02934452	0.004561955	0.00481092	0.02538977	0.4291298	0.001758571	0.1896338	0.004869749	0.1958714	0.0007900971	0.002642159	0.01249466	0.1264475	0.0008805299	0.08964138	8	333	1	249	178	251	251	-6.325111	0	-0.8044196	0	-4.544087	0	-3.728227	0	-2.176922	0	-3.052877	0	-1.86902	0	1.761614	0	-6.325111	0	-0.8044196	0						
Validierungsstudie2	20161027	KA	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.8388382	0.01089906	0.08647343	0.0001408853	5.119596E-06	-0.3303223	0	0	0	0	0	0.2450855	1.156932E-12	9.093977E-05	2.143148E-05	0.003096046	0.004799616	0.4300364	0.009732855	0.03192249	0.004834882	0.004867943	0.02563227	0.4291897	0.001744337	0.1882855	0.004908409	0.1963855	0.0007363718	0.002727632	0.01444529	0.1395307	0.0008646658	0.09427103	9	367	1	249	178	251	251	-6.284547	0	-0.7722793	0	-4.540417	0	-3.727172	0	-2.163051	0	-3.034149	0	-1.85302	0	1.731158	0	-6.284547	0	-0.7722793	0						
