#Study : Validierungsstudie2
#Date : 20161027 15:15:50
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:09.821 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	JS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.0008694966	0.09334507	0.08022167	0.001237119	6.333657E-07	-0.07279968	0	0	0	0	0	0.1962606	2.062714E-12	7.424441E-05	1.166988E-06	0.01991427	0.009588584	0.1240452	0.01384067	0.02050487	0.01341892	0.01461714	0.02418108	0.4262898	0.00182752	0.1957916	0.004606054	0.193096	0.0006113897	0.004612278	35.45934	0.00643868	0.001707174	0.093575	0	67	1	251	153	279	279	-9.185093	0	-3.042737	0	-3.977067	0	-2.857307	0	-2.54293	0	-4.703623	0	-1.118408	0	3.046471	0	-9.185093	0	-1.118408	0						
Validierungsstudie2	20161027	JS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.0004185458	0.1125895	0.08036462	0.001468722	6.558258E-07	-0.04885864	0	0	0	0	0	0.1269047	3.226982E-12	0.0001026816	3.020599E-06	0.01373429	0.009050796	0.1297485	0.01067214	0.01997895	0.01325797	0.04693423	0.02405543	0.426505	0.001826612	0.1956285	0.004600202	0.1930836	0.001143674	0.004412885	70.41572	0.004696667	0.001616941	0.1823241	1	100	1	251	153	279	279	-9.200874	0	-3.068228	0	-3.971363	0	-2.858369	0	-2.558255	0	-4.724527	0	-1.132202	0	3.067136	0	-9.200874	0	-1.132202	0						
Validierungsstudie2	20161027	JS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.0004578991	0.09197991	0.08032489	0.001366226	5.275642E-07	-0.07859039	0	0	0	0	0	0.2267925	2.397715E-12	8.352078E-05	4.009918E-06	0.01182464	0.009781806	0.143427	0.01057093	0.01731291	0.01811996	0.06267539	0.02421804	0.4266623	0.001828296	0.1961327	0.004614125	0.1930292	0.0005929711	0.003769262	79.18757	0.004771221	0.001441088	0.2031533	2	133	1	251	153	279	279	-9.197776	0	-3.068415	0	-3.971299	0	-2.862389	0	-2.555896	0	-4.725057	0	-1.13427	0	3.067651	0	-9.197776	0	-1.13427	0						
Validierungsstudie2	20161027	JS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.0003601059	0.1040948	0.08041117	0.001273077	6.158822E-07	-0.09150696	0	0	0	0	0	0.2547765	1.624189E-12	7.085411E-05	4.428115E-06	0.02477636	0.01054625	0.1463546	0.01219231	0.01869162	0.0276885	0.07703516	0.02424775	0.4263217	0.001827679	0.1964429	0.004620294	0.1930571	0.0005583065	0.005719125	85.43375	0.004902702	0.001851786	0.2328538	3	167	1	251	153	279	279	-9.194515	0	-3.067279	0	-3.969433	0	-2.86018	0	-2.554306	0	-4.723671	0	-1.13241	0	3.066082	0	-9.194515	0	-1.13241	0						
Validierungsstudie2	20161027	JS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.0003962135	0.08630891	0.08045668	0.001187752	6.445705E-07	-0.07661438	0	0	0	0	0	0.2044509	3.460172E-12	6.624781E-05	3.741057E-06	0.02819897	0.009249236	0.1720693	0.01077223	0.02239092	0.02539098	0.09038296	0.02415575	0.4264248	0.001829595	0.1961991	0.004616423	0.193133	0.0004205259	0.005698573	90.14142	0.004994595	0.002267194	0.1914416	4	200	1	251	153	279	279	-9.186371	0	-3.047089	0	-3.978167	0	-2.867386	0	-2.541779	0	-4.707957	0	-1.119673	0	3.052425	0	-9.186371	0	-1.119673	0						
Validierungsstudie2	20161027	JS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.0004003433	0.08956195	0.08037929	0.001184842	5.5953E-07	-0.07012939	0	0	0	0	0	0.1782671	1.277211E-12	6.954002E-05	3.987936E-06	0.03202238	0.009088227	0.1553281	0.01161154	0.01811027	0.02556513	0.08450682	0.02412367	0.4261884	0.001828841	0.1959297	0.004609649	0.1930453	0.0003912242	0.005517897	88.09475	0.004849941	0.001960616	0.1921173	5	233	1	251	153	279	279	-9.205155	0	-3.06731	0	-3.968399	0	-2.860667	0	-2.553666	0	-4.722714	0	-1.130846	0	3.066037	0	-9.205155	0	-1.130846	0						
Validierungsstudie2	20161027	JS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.0004786035	0.08322916	0.08046719	0.001140745	5.721371E-07	-0.06803894	0	0	0	0	0	0.1874441	9.940672E-13	6.921304E-05	4.305421E-06	0.01853431	0.007241541	0.1769789	0.01080217	0.01896791	0.01896619	0.07551652	0.02413112	0.4267325	0.001829932	0.1961114	0.004614729	0.1930631	0.0003725914	0.003791325	84.72024	0.00528212	0.001876887	0.1605452	6	267	1	251	153	279	279	-9.189961	0	-3.067522	0	-3.972946	0	-2.858373	0	-2.54859	0	-4.726943	0	-1.132176	0	3.065458	0	-9.189961	0	-1.132176	0						
Validierungsstudie2	20161027	JS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.0004353732	0.08183632	0.0805141	0.001228024	6.450625E-07	-0.06143188	0	0	0	0	0	0.1616327	3.883437E-12	6.726385E-05	4.115013E-06	0.02018136	0.007317016	0.1865335	0.01287466	0.01905276	0.01579493	0.07347682	0.0240821	0.4267594	0.001830339	0.1960308	0.004612994	0.1930647	0.0004621467	0.004131286	83.86141	0.004901889	0.002013169	0.1737179	7	300	1	251	153	279	279	-9.189961	0	-3.067522	0	-3.972946	0	-2.858373	0	-2.54859	0	-4.726943	0	-1.132176	0	3.065458	0	-9.189961	0	-1.132176	0						
Validierungsstudie2	20161027	JS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.0003775666	0.08268086	0.08041369	0.001492932	5.781884E-07	-0.05280304	0	0	0	0	0	0.1325229	1.386348E-11	7.630924E-05	4.477168E-06	0.02005256	0.007101554	0.1682093	0.01308072	0.01848306	0.01812557	0.06927136	0.02404977	0.4266229	0.001829686	0.1957078	0.004605096	0.1930528	0.0005506966	0.004066308	82.05707	0.004647041	0.001872173	0.1680992	8	333	1	251	153	279	279	-9.173542	0	-3.044384	0	-3.856877	0	-2.753894	0	-2.551822	0	-4.677843	0	-1.126908	0	3.035012	0	-9.173542	0	-1.126908	0						
Validierungsstudie2	20161027	JS	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.000373778	0.08321028	0.08041615	0.001467381	5.475201E-07	-0.05287933	0	0	0	0	0	0.1371068	2.374868E-11	8.993174E-05	4.850936E-06	0.01549875	0.008492686	0.1681061	0.01193073	0.0163912	0.01472361	0.07023648	0.02405814	0.4267501	0.001829651	0.195739	0.004605782	0.19301	0.0005382235	0.003820051	82.47964	0.004573681	0.001862631	0.1743804	9	367	1	251	153	279	279	-9.176533	0	-3.056906	0	-3.857002	0	-2.767159	0	-2.551663	0	-4.697341	0	-1.136031	0	3.044382	0	-9.176533	0	-1.136031	0						
