#Study : Validierungsstudie2
#Date : 20161027 15:15:52
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:09.083 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	JG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.03148426	0.08990497	99.92101	4.193283E-05	99.99998	99.89633	0	0	0	0	0	0.03673529	2.610685E-08	0.02464903	0.04981813	0.0002273599	0.02091862	99.847	0.1319779	7.657491E-08	0.00151562	5.785703E-06	1.099287E-06	0.003796188	99.93008	14.7647	0.001194979	0.0001068334	0.02423675	0.006119963	0.001215666	0.5699083	0.02753418	0.2110656	0	67	1	232	135	314	314	8.768923	0	-10.10628	0	-14.59113	0	-7.881268	0	-11.51074	0	-7.613187	0	-12.85646	0	-16.76978	0	8.768923	0	-7.613187	0						
Validierungsstudie2	20161027	JG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.03063944	0.1192616	99.92101	4.797807E-05	99.99998	99.83174	0	0	0	0	0	0.05899205	8.245526E-09	0.03123608	0.1873743	0.0002620096	0.01858837	99.85055	0.08792966	8.672382E-08	0.002379715	5.760553E-06	1.099954E-06	0.003819894	99.93002	14.79425	0.001196967	0.0001068318	0.0254335	0.005607529	0.001823643	0.5513884	0.02552	0.3692971	1	100	1	231	135	314	314	8.700117	0	-10.01937	0	-14.55547	0	-7.867907	0	-11.40141	0	-7.543131	0	-12.77614	0	-16.62332	0	8.700117	0	-7.543131	0						
Validierungsstudie2	20161027	JG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.02994527	0.07313378	99.92101	4.473878E-05	99.99998	99.83738	0	0	0	0	0	0.05618685	5.828559E-09	0.03776887	0.1903251	0.0002112866	0.01952243	99.82173	0.0559524	7.930749E-08	0.001721313	5.767996E-06	1.101999E-06	0.003821413	99.9301	14.74835	0.001193556	0.0001068304	0.02797887	0.00553015	0.0005253972	0.509308	0.02480964	0.3068652	2	133	1	232	135	315	315	8.86336	0	-10.20306	0	-14.69864	0	-7.95471	0	-11.66825	0	-7.722924	0	-13.01852	0	-17.00983	0	8.86336	0	-7.722924	0						
Validierungsstudie2	20161027	JG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.03519405	0.08062377	99.92101	4.190305E-05	99.99998	99.86161	0	0	0	0	0	0.05039203	9.388601E-09	0.03594519	0.128653	0.0001869274	0.02128226	99.86879	0.07980528	6.796585E-08	0.001415995	5.775251E-06	1.100042E-06	0.003814688	99.93012	14.77356	0.001196618	0.000106841	0.03649747	0.006539738	0.0004740197	0.6194569	0.02696519	0.273506	3	167	1	232	135	315	315	8.86319	0	-10.20273	0	-14.6985	0	-7.954508	0	-11.66791	0	-7.722878	0	-13.01792	0	-17.00956	0	8.86319	0	-7.722878	0						
Validierungsstudie2	20161027	JG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.03427477	0.08685791	99.92101	4.998011E-05	99.99998	99.85159	0	0	0	0	0	0.04198764	1.118549E-08	0.03526308	0.1599587	0.0002042018	0.02046558	99.8624	0.07229549	5.712744E-08	0.001375916	5.773224E-06	1.099429E-06	0.003819282	99.9301	14.77138	0.001196116	0.0001068391	0.05961589	0.005640738	0.0007312792	0.7024829	0.02655215	0.2538384	4	200	1	232	135	314	314	8.879853	0	-10.21713	0	-14.69808	0	-7.945651	0	-11.67387	0	-7.749209	0	-13.03356	0	-17.04901	0	8.879853	0	-7.749209	0						
Validierungsstudie2	20161027	JG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.03976695	0.09272864	99.92101	6.61714E-05	99.99996	99.86579	0	0	0	0	0	0.03866349	7.609785E-08	0.03130116	0.1371993	0.0002041729	0.01800895	99.85004	0.06972297	1.010332E-07	0.001391233	5.77481E-06	1.099975E-06	0.003814259	99.93005	14.76268	0.001195913	0.0001068502	0.07238124	0.005214311	0.001056204	0.8169742	0.02485716	0.3008116	5	233	1	232	135	315	315	8.855798	0	-10.20136	0	-14.67376	0	-7.934444	0	-11.65553	0	-7.715037	0	-12.99654	0	-16.99258	0	8.855798	0	-7.715037	0						
Validierungsstudie2	20161027	JG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.03819853	0.09946509	99.92101	6.447128E-05	99.99998	99.86053	0	0	0	0	0	0.03336523	6.379398E-08	0.03219187	0.1511709	0.0002268747	0.01754303	99.83617	0.06981964	5.824898E-08	0.001463101	5.773027E-06	1.099788E-06	0.003816282	99.93002	14.75824	0.001195078	0.0001068469	0.07169627	0.005314963	0.001316268	0.8947624	0.027013	0.2744624	6	267	1	232	135	315	315	8.855798	0	-10.20136	0	-14.67376	0	-7.934444	0	-11.65553	0	-7.715037	0	-12.99654	0	-16.99258	0	8.855798	0	-7.715037	0						
Validierungsstudie2	20161027	JG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.03625074	0.09611946	99.92101	6.936893E-05	99.99998	99.85324	0	0	0	0	0	0.03698817	2.592474E-08	0.0325896	0.1644918	0.0002331318	0.01899502	99.8325	0.06811053	6.047262E-08	0.001596659	5.771848E-06	1.100092E-06	0.003817571	99.93002	14.75689	0.001194742	0.000106843	0.07342107	0.00531977	0.001069279	0.8373949	0.02639895	0.2770909	7	300	1	232	135	315	315	8.855798	0	-10.20136	0	-14.67376	0	-7.934444	0	-11.65553	0	-7.715037	0	-12.99654	0	-16.99258	0	8.855798	0	-7.715037	0						
Validierungsstudie2	20161027	JG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.03579447	0.09898715	99.92101	7.599478E-05	99.99996	99.85501	0	0	0	0	0	0.03799305	2.198782E-08	0.02912373	0.1667006	0.0002338877	0.01858609	99.82187	0.06412972	9.683546E-08	0.001492828	5.769845E-06	1.100449E-06	0.003815176	99.93002	14.75341	0.001194257	0.0001068422	0.06880637	0.005396897	0.0009570075	0.8036677	0.02723908	0.2863148	8	333	1	232	135	314	314	8.765177	0	-10.08585	0	-14.58941	0	-7.893164	0	-11.48394	0	-7.6285	0	-12.85933	0	-16.75624	0	8.765177	0	-7.6285	0						
Validierungsstudie2	20161027	JG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.03496372	0.09299079	99.92101	7.747353E-05	99.99996	99.85039	0	0	0	0	0	0.03912301	6.008146E-08	0.03160061	0.1645247	0.0002694279	0.02046938	99.836	0.07679464	1.006926E-07	0.001540782	5.773621E-06	1.100075E-06	0.003817257	99.93005	14.75869	0.001194811	0.0001068406	0.07381362	0.005765418	0.0007019137	0.7905186	0.03211688	0.2729985	9	367	1	232	135	315	315	8.854592	0	-10.20109	0	-14.67293	0	-7.933067	0	-11.65499	0	-7.712554	0	-12.9959	0	-16.9895	0	8.854592	0	-7.712554	0						
