#Study : Validierungsstudie2
#Date : 20161027 15:15:54
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:08.297 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	HW	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	7.819845	0.01760194	0.1484966	0.001049672	4.879653E-08	-2.728233	0	0	0	0	0	1.241747	2.404712E-09	0.008775603	0.0003919401	0.007105328	0.008195449	1.027872	0.002583612	0.1190454	0.04069341	0.009157727	0.04530782	0.4342087	0.001116381	0.1312113	0.007907038	0.2258645	0.002317713	0.002448566	0.3445881	3.131749	0.001589567	0.0928484	0	67	1	247	198	277	277	-7.242638	0	-0.3927977	0	-3.82445	0	-3.454507	0	-2.14601	0	-2.169552	0	-0.9201583	0	1.125228	0	-7.242638	0	-0.3927977	0						
Validierungsstudie2	20161027	HW	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	5.280095	0.01923771	0.1186265	0.00189048	2.936185E-08	-2.203186	0	0	0	0	0	1.996068	3.759655E-10	0.00637362	0.0002540163	0.01718835	0.0277217	0.419287	0.008898847	0.1445478	0.03514772	0.00699299	0.0401696	0.42902	0.001303703	0.1520653	0.006750613	0.2159665	0.001101794	0.01528342	0.4193482	2.026326	0.002508114	0.08350668	1	100	1	247	198	277	277	-7.202705	0	-0.3962767	0	-3.837477	0	-3.450247	0	-2.137439	0	-2.182055	0	-0.9262297	0	1.14054	0	-7.202705	0	-0.3962767	0						
Validierungsstudie2	20161027	HW	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	4.314621	0.02014414	0.1121963	0.001261558	3.608931E-08	-2.161819	0	0	0	0	0	2.848252	3.675393E-10	0.006362652	0.0002795868	0.008530305	0.01606271	0.6036437	0.006679425	0.1162321	0.03132119	0.006135407	0.03931773	0.4307211	0.001393369	0.1666672	0.006592421	0.2114646	0.001569227	0.006352176	0.3207233	2.177141	0.001672846	0.1217797	2	133	1	247	198	277	277	-7.241268	0	-0.3904703	0	-3.840375	0	-3.466322	0	-2.148383	0	-2.189997	0	-0.9275129	0	1.130239	0	-7.241268	0	-0.3904703	0						
Validierungsstudie2	20161027	HW	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	4.392072	0.02169806	0.1127358	0.0009991019	4.133574E-08	-2.0774	0	0	0	0	0	2.494083	3.009239E-08	0.007282975	0.0003816622	0.007905546	0.01378456	0.5934165	0.005779268	0.1513258	0.04104768	0.00625539	0.03863753	0.4307119	0.001385996	0.1640827	0.006550367	0.2125606	0.003044234	0.006038588	0.2434383	2.451751	0.001597213	0.1545716	3	167	1	247	198	277	277	-7.233859	0	-0.4013183	0	-3.833781	0	-3.467225	0	-2.145125	0	-2.194878	0	-0.9309561	0	1.141862	0	-7.233859	0	-0.4013183	0						
Validierungsstudie2	20161027	HW	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	4.764591	0.02532283	0.1158633	0.0009105519	5.351783E-08	-2.246735	0	0	0	0	0	2.690478	5.749242E-08	0.007656318	0.0004114859	0.00653538	0.01056748	0.6044356	0.0056818	0.1319282	0.0412281	0.00642917	0.0402398	0.4308751	0.00135272	0.1615175	0.006742204	0.2136076	0.003236925	0.00457243	0.2572374	2.662045	0.001504182	0.1777346	4	200	1	247	198	277	277	-7.246307	0	-0.3908126	0	-3.858647	0	-3.444383	0	-2.154866	0	-2.192891	0	-0.9249272	0	1.140103	0	-7.246307	0	-0.3908126	0						
Validierungsstudie2	20161027	HW	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	4.979619	0.02403936	0.1184032	0.001064916	5.795726E-08	-2.275108	0	0	0	0	0	2.558261	1.430439E-08	0.008016946	0.0002634946	0.008706121	0.01558162	0.6933573	0.008529077	0.1087781	0.03579333	0.00662117	0.04041169	0.4315149	0.001336029	0.1594457	0.006830708	0.213943	0.002470236	0.008052159	0.3543874	2.370208	0.001753544	0.2037973	5	233	1	247	198	277	277	-7.227672	0	-0.3943803	0	-3.841744	0	-3.439124	0	-2.145331	0	-2.187268	0	-0.9199077	0	1.139038	0	-7.227672	0	-0.3943803	0						
Validierungsstudie2	20161027	HW	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	5.311838	0.02025678	0.1203522	0.0009416855	5.750634E-08	-2.302582	0	0	0	0	0	2.32426	2.633137E-09	0.008209427	0.0003068231	0.00739143	0.01234457	0.589978	0.006410443	0.1153745	0.03683267	0.00687914	0.04093739	0.4307494	0.001304998	0.1544637	0.006885421	0.2154275	0.002538535	0.00538834	0.2596023	2.276806	0.001557431	0.1746168	6	267	1	247	198	277	277	-7.227672	0	-0.3943803	0	-3.841744	0	-3.439124	0	-2.145331	0	-2.187268	0	-0.9199077	0	1.139038	0	-7.227672	0	-0.3943803	0						
Validierungsstudie2	20161027	HW	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	5.821988	0.02001409	0.124132	0.0009799011	5.973136E-08	-2.526566	0	0	0	0	0	2.564008	6.703345E-10	0.008673662	0.0003266693	0.00753363	0.008927397	0.5132862	0.005444631	0.1137706	0.03182607	0.007128219	0.0433316	0.4301775	0.001260393	0.1503732	0.007125059	0.2174566	0.002484707	0.005278027	0.1750208	2.202118	0.001547279	0.1593429	7	300	1	247	198	277	277	-7.227672	0	-0.3943803	0	-3.841744	0	-3.439124	0	-2.145331	0	-2.187268	0	-0.9199077	0	1.139038	0	-7.227672	0	-0.3943803	0						
Validierungsstudie2	20161027	HW	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	6.047247	0.0181666	0.126656	0.0008915407	6.603681E-08	-2.493805	0	0	0	0	0	2.226923	1.54333E-10	0.009391626	0.0002836654	0.008818638	0.007656113	0.5701811	0.005957998	0.1225492	0.02701588	0.00737646	0.04301096	0.4306171	0.001243307	0.1472293	0.007167972	0.2185782	0.00157124	0.004949962	0.1360714	2.136771	0.001653111	0.160023	8	333	1	247	198	277	277	-7.239529	0	-0.3858608	0	-3.845574	0	-3.441124	0	-2.148349	0	-2.184781	0	-0.9205723	0	1.130331	0	-7.239529	0	-0.3858608	0						
Validierungsstudie2	20161027	HW	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	5.059016	0.02033368	0.1176597	0.0008786349	6.065372E-08	-2.171608	0	0	0	0	0	2.141454	3.213802E-11	0.007409009	0.0002133283	0.009806584	0.008971818	0.5256637	0.006137338	0.1385213	0.0274439	0.006741323	0.03976801	0.4301203	0.001325219	0.1555152	0.006724501	0.2149377	0.001065266	0.004572696	0.1462184	1.856023	0.001679382	0.1500671	9	367	1	247	198	277	277	-7.233824	0	-0.3875939	0	-3.854457	0	-3.448982	0	-2.149954	0	-2.187966	0	-0.9271543	0	1.134	0	-7.233824	0	-0.3875939	0						
