#Study : Validierungsstudie2
#Date : 20161027 15:16:04
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:02.769 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	F06	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	720	576	0	0	34	16.33329	0.005287664	0.3502701	0.00103573	4.017457E-11	-7.740578	0	0	0	0	0	3.112408	3.8594E-09	0.0002942023	1.850772E-05	1.716765	0.08024532	0.05392475	4.556741	0.01460368	0.01150961	0.02254901	0.0974417	0.3811803	0.0006284794	0.079694	0.01331386	0.2619368	0.0003400012	0.03893002	0.3866896	3.187711	0.004011347	0.05367131	0	67	1	208	183	295	295	-5.323216	0	4.771401	0	-5.109504	0	-2.736118	0	-2.593122	0	-3.397815	0	-2.267312	0	-2.96822	0	-5.323216	0	4.771401	0						
Validierungsstudie2	20161027	F06	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	720	576	1	0	34	16.02846	0.008014431	0.3330619	0.001010592	1.201587E-10	-7.212494	0	0	0	0	0	1.806143	5.275114E-09	0.0003087651	4.349928E-05	1.972961	0.07902492	0.05688963	4.153884	0.02237895	0.01067909	0.02272595	0.08692067	0.3748926	0.0006411219	0.07806814	0.01257306	0.2606626	0.00134966	0.04767392	0.3054276	3.135018	0.004002455	0.06967252	1	100	1	208	183	295	295	-5.322348	0	4.777115	0	-5.119561	0	-2.744793	0	-2.592118	0	-3.399908	0	-2.269083	0	-2.969184	0	-5.322348	0	4.777115	0						
Validierungsstudie2	20161027	F06	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	720	576	2	0	34	13.94386	0.00703378	0.296757	0.001132911	1.315967E-10	-6.675255	0	0	0	0	0	1.369848	8.631235E-10	0.0003109091	4.631596E-05	2.227497	0.08947703	0.05536453	4.617577	0.01585966	0.01110853	0.01924955	0.0719072	0.3687047	0.0007348523	0.08730073	0.01094961	0.2505227	0.0004859146	0.04434519	0.2026161	2.821869	0.003398224	0.06215151	2	133	1	208	183	295	295	-5.321876	0	4.774993	0	-5.119711	0	-2.745	0	-2.589867	0	-3.398891	0	-2.266757	0	-2.968167	0	-5.321876	0	4.774993	0						
Validierungsstudie2	20161027	F06	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	720	576	3	0	34	13.36554	0.007726428	0.2819038	0.001315223	1.192959E-10	-6.350296	0	0	0	0	0	1.335012	2.718566E-10	0.0003056449	4.569881E-05	1.90062	0.08852717	0.05584821	4.474951	0.01733249	0.01088356	0.0182429	0.06907159	0.3766548	0.0007631916	0.09029115	0.01056557	0.2478662	0.0005117398	0.04072949	0.3541615	2.84205	0.003874079	0.05874182	3	167	1	208	183	295	295	-5.31632	0	4.770321	0	-5.117949	0	-2.741249	0	-2.588984	0	-3.395752	0	-2.267005	0	-2.965184	0	-5.31632	0	4.770321	0						
Validierungsstudie2	20161027	F06	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	720	576	4	0	34	14.03519	0.006938997	0.2958907	0.001229414	1.537436E-10	-6.435898	0	0	0	0	0	1.015465	7.464911E-10	0.0003217944	4.800095E-05	1.827309	0.08693389	0.0616929	4.485203	0.01733802	0.01107412	0.01967326	0.07117304	0.3784983	0.0007305592	0.08593074	0.01089651	0.2509904	0.0004420682	0.04464232	0.2993879	2.761518	0.004306963	0.05873057	4	200	1	209	183	294	294	-5.370958	0	4.732181	0	-5.029431	0	-2.6154	0	-2.575843	0	-3.384147	0	-2.251982	0	-2.936965	0	-5.370958	0	4.732181	0						
Validierungsstudie2	20161027	F06	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	720	576	5	0	34	12.88372	0.008061755	0.268587	0.001449159	1.325548E-10	-6.127892	0	0	0	0	0	1.382333	1.089965E-09	0.0003119301	4.243186E-05	1.795071	0.08435532	0.06029484	4.27742	0.01592395	0.01155353	0.01735726	0.06694414	0.3792915	0.0007876994	0.09308911	0.01028131	0.2456059	0.0004308097	0.04030085	0.5131742	2.77644	0.004205616	0.05388493	5	233	1	209	183	294	294	-5.340952	0	4.727929	0	-5.037583	0	-2.69415	0	-2.567889	0	-3.361884	0	-2.249819	0	-2.928619	0	-5.340952	0	4.727929	0						
Validierungsstudie2	20161027	F06	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	720	576	6	0	34	14.19876	0.009019477	0.3080511	0.001385332	1.570666E-10	-6.727119	0	0	0	0	0	1.473415	1.265598E-09	0.0003250422	5.045206E-05	1.766691	0.09452786	0.06393577	4.887197	0.0181913	0.01008266	0.02006815	0.0743394	0.3800224	0.0007227596	0.08628598	0.01115798	0.2517822	0.0005369023	0.03994425	0.5594212	2.935296	0.004514975	0.05251337	6	267	1	209	183	294	294	-5.340952	0	4.727929	0	-5.037583	0	-2.69415	0	-2.567889	0	-3.361884	0	-2.249819	0	-2.928619	0	-5.340952	0	4.727929	0						
Validierungsstudie2	20161027	F06	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	720	576	7	0	34	13.30829	0.009004842	0.2961561	0.001319393	1.495213E-10	-6.599815	0	0	0	0	0	1.587041	4.043642E-10	0.0003041811	4.904637E-05	1.776155	0.1001483	0.06343167	5.224689	0.0189412	0.01005204	0.01857746	0.07005202	0.3797759	0.0007661304	0.09132553	0.01061341	0.2476432	0.0004494342	0.04043363	0.54921	2.644902	0.004631106	0.05323196	7	300	1	209	183	294	294	-5.340952	0	4.727929	0	-5.037583	0	-2.69415	0	-2.567889	0	-3.361884	0	-2.249819	0	-2.928619	0	-5.340952	0	4.727929	0						
Validierungsstudie2	20161027	F06	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	720	576	8	0	34	13.39929	0.00798586	0.2966287	0.001341461	1.584574E-10	-6.532677	0	0	0	0	0	1.383646	2.091254E-10	0.0003089477	5.057963E-05	1.734685	0.09869383	0.06580848	5.156078	0.01882894	0.009996797	0.01878245	0.06962821	0.3808194	0.0007616393	0.0902817	0.01060745	0.2480621	0.0003920826	0.0421983	0.4394226	2.522885	0.004692186	0.05549097	8	333	1	209	183	294	294	-5.362482	0	4.748397	0	-5.068988	0	-2.644648	0	-2.583663	0	-3.381115	0	-2.263106	0	-2.958857	0	-5.362482	0	4.748397	0						
Validierungsstudie2	20161027	F06	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	720	576	9	0	34	13.01974	0.009141725	0.2902063	0.001392058	1.648894E-10	-6.485443	0	0	0	0	0	1.553361	1.135934E-09	0.000319771	4.925393E-05	1.717708	0.09573254	0.06364271	5.228277	0.01881965	0.01096025	0.01807407	0.06847075	0.3812282	0.0007807374	0.09282668	0.01042086	0.2463072	0.0004340461	0.04087242	0.5037069	2.595793	0.004791238	0.05366469	9	367	1	209	183	294	294	-5.348054	0	4.724755	0	-5.029941	0	-2.68455	0	-2.568672	0	-3.36745	0	-2.250587	0	-2.924879	0	-5.348054	0	4.724755	0						
