#Study : Validierungsstudie2
#Date : 20161027 15:16:15
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:24:55.411 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	DC	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.0004885488	0.1260789	0.1513865	0.0003352031	3.441344E-07	-0.3053818	0	0	0	0	0	0.9931006	2.248094E-10	6.036881E-05	9.935434E-05	0.001430836	0.006903475	8.991883	0.01511768	0.05915167	0.003453211	0.01522167	0.01896574	0.5010948	0.002145008	0.2990566	0.007142548	0.1938876	0.0001164706	0.001384332	37.72636	0.004126411	0.0009810606	0.1289724	0	67	1	247	161	277	277	-7.079631	0	-1.134053	0	-3.293134	0	-1.638185	0	-2.083584	0	-1.671463	0	-1.595105	0	2.498912	0	-7.079631	0	-1.134053	0						
Validierungsstudie2	20161027	DC	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.001080986	0.1003881	0.1546149	0.000893892	3.324299E-07	-0.315918	0	0	0	0	0	1.009105	3.021031E-10	8.802358E-05	0.0002132775	0.001375345	0.006862256	9.313444	0.03218428	0.05450506	0.007429937	0.005525037	0.0187968	0.5040237	0.002159317	0.3031483	0.007248561	0.1937942	0.0001110299	0.001356508	7.277742	0.003851887	0.000960754	0.2384214	1	100	1	247	161	277	277	-7.065404	0	-1.131025	0	-3.289648	0	-1.639504	0	-2.077675	0	-1.679427	0	-1.595864	0	2.498224	0	-7.065404	0	-1.131025	0						
Validierungsstudie2	20161027	DC	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.0008275777	0.09208374	0.1475168	0.0007475066	3.453061E-07	-0.3626251	0	0	0	0	0	1.174419	2.344512E-10	7.448455E-05	0.000143456	0.001328804	0.008316071	8.662817	0.02189173	0.05706898	0.005209624	0.005792963	0.0194248	0.4981246	0.00213454	0.2957686	0.007064924	0.193846	0.0001023756	0.001731681	8.902685	0.003595571	0.001045338	0.2312517	2	133	1	247	161	277	277	-7.065404	0	-1.131025	0	-3.289648	0	-1.639504	0	-2.077675	0	-1.679427	0	-1.595864	0	2.498224	0	-7.065404	0	-1.131025	0						
Validierungsstudie2	20161027	DC	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.0007833096	0.07513074	0.1516888	0.0007014955	2.4176E-07	-0.3458023	0	0	0	0	0	1.113296	2.133037E-10	7.498702E-05	0.0002183111	0.001655766	0.008040543	9.070796	0.02694912	0.05318614	0.004809214	0.005053617	0.01909255	0.5018016	0.002151632	0.3004289	0.007183855	0.1937661	0.0001276568	0.001555162	4.696596	0.003520855	0.0009510482	0.2806592	3	167	1	247	161	277	277	-7.065404	0	-1.131025	0	-3.289648	0	-1.639504	0	-2.077675	0	-1.679427	0	-1.595864	0	2.498224	0	-7.065404	0	-1.131025	0						
Validierungsstudie2	20161027	DC	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.0007755376	0.09445494	0.1612158	0.0007933172	2.402042E-07	-0.3707123	0	0	0	0	0	1.187446	2.689416E-10	7.509924E-05	0.0002542897	0.001981423	0.009129537	9.905596	0.03411256	0.0596032	0.003426823	0.005598099	0.01865126	0.5094308	0.002183159	0.3128874	0.007490171	0.1938979	0.0001056654	0.00125695	7.882632	0.003490958	0.0008926032	0.2516754	4	200	1	247	161	277	277	-7.117955	0	-1.12702	0	-3.300656	0	-1.643356	0	-2.09972	0	-1.674591	0	-1.587365	0	2.498141	0	-7.117955	0	-1.12702	0						
Validierungsstudie2	20161027	DC	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.0006733973	0.08328759	0.1560477	0.001075894	1.928476E-07	-0.3595963	0	0	0	0	0	1.144874	1.92146E-10	7.422332E-05	0.0002891085	0.00172957	0.008425845	9.459883	0.0399772	0.05557143	0.003425823	0.005498142	0.0188823	0.5053487	0.002166343	0.3061344	0.007324073	0.1938147	0.00010107	0.001092086	7.264638	0.00325266	0.0007347142	0.246827	5	233	1	247	161	277	277	-7.089975	0	-1.138905	0	-3.300946	0	-1.637373	0	-2.087656	0	-1.691592	0	-1.602755	0	2.501646	0	-7.089975	0	-1.138905	0						
Validierungsstudie2	20161027	DC	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.0006840447	0.08577315	0.1537018	0.0009081488	2.042416E-07	-0.3681183	0	0	0	0	0	1.180897	2.747691E-10	7.286452E-05	0.0002234796	0.001716451	0.008297796	9.245006	0.03297702	0.06199829	0.003168667	0.005702787	0.01906252	0.5033892	0.00215772	0.3035618	0.007259421	0.1939468	0.0001026406	0.001168059	8.417893	0.00334306	0.0008436684	0.2257238	6	267	1	247	161	277	277	-7.089975	0	-1.138905	0	-3.300946	0	-1.637373	0	-2.087656	0	-1.691592	0	-1.602755	0	2.501646	0	-7.089975	0	-1.138905	0						
Validierungsstudie2	20161027	DC	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.0006276851	0.08785806	0.1544091	0.001000823	2.148028E-07	-0.3481674	0	0	0	0	0	1.111813	3.464468E-10	7.178236E-05	0.0002364209	0.001729113	0.008560088	9.307297	0.03507543	0.05604519	0.003783242	0.005299713	0.01893448	0.503957	0.002160026	0.3038156	0.007265889	0.1938243	9.320996E-05	0.001277893	6.13352	0.003397826	0.000950147	0.2441511	7	300	1	247	161	277	277	-7.089975	0	-1.138905	0	-3.300946	0	-1.637373	0	-2.087656	0	-1.691592	0	-1.602755	0	2.501646	0	-7.089975	0	-1.138905	0						
Validierungsstudie2	20161027	DC	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.000684702	0.08632673	0.1524757	0.001036886	2.237843E-07	-0.3480377	0	0	0	0	0	1.116509	1.64007E-10	7.867721E-05	0.0002208057	0.001846537	0.007750447	9.132158	0.03055196	0.05608241	0.003859992	0.00514482	0.01905234	0.502364	0.002153258	0.301456	0.007207453	0.1938252	0.0001003586	0.001211852	5.252172	0.003491417	0.001030248	0.2082091	8	333	1	247	161	277	277	-7.050467	0	-1.140741	0	-3.292162	0	-1.641179	0	-2.067333	0	-1.680863	0	-1.60477	0	2.50235	0	-7.050467	0	-1.140741	0						
Validierungsstudie2	20161027	DC	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.0006871333	0.081807	0.1557231	0.001058387	2.341624E-07	-0.3617935	0	0	0	0	0	1.161537	3.903775E-10	8.458495E-05	0.0002344469	0.001938303	0.008395624	9.43217	0.03059521	0.05939484	0.003778728	0.005188023	0.01892141	0.5050958	0.002165355	0.3058836	0.00731795	0.1938933	0.0001174257	0.001275335	5.551496	0.00366817	0.001119302	0.2129097	9	367	1	247	161	277	277	-7.050625	0	-1.142766	0	-3.296622	0	-1.637979	0	-2.06981	0	-1.682078	0	-1.601862	0	2.500553	0	-7.050625	0	-1.142766	0						
