#Study : Validierungsstudie2
#Date : 20161027 15:16:18
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:24:54.311 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	AG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.002048808	0.02093454	0.1004466	0.0004285588	0.002151051	-1.024612	0	0	0	0	0	3.407718	3.133007E-08	9.179861E-06	4.777687E-07	0.0006440635	0.01300065	3.346949	0.001366485	0.05627412	0.009861281	0.003936097	0.02695609	0.4525497	0.001942939	0.2481934	0.005882006	0.1938029	0.002452862	0.01118122	0.003767422	0.01630708	0.001981365	0.05518422	0	67	1	226	136	297	297	-7.20836	0	-2.137926	0	-4.616114	0	-2.370976	0	-0.7167958	0	-3.748757	0	-0.3266477	0	1.11558	0	-7.20836	0	-0.3266477	0						
Validierungsstudie2	20161027	AG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.002324489	0.02089136	0.09786717	0.0009585429	0.0009149268	-2.662575	0	0	0	0	0	8.857921	1.269195E-08	7.80081E-06	4.538278E-07	0.001185866	0.01476322	2.982418	0.002791971	0.107088	0.008298944	0.003138461	0.03923869	0.4496303	0.001929681	0.2874069	0.006810441	0.1948691	0.00219425	0.01129268	0.01677201	0.01507805	0.001925153	0.04914918	1	100	1	226	136	297	297	-7.201057	0	-2.13166	0	-4.616783	0	-2.36106	0	-0.7151277	0	-3.747993	0	-0.3233353	0	1.107133	0	-7.201057	0	-0.3233353	0						
Validierungsstudie2	20161027	AG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.005587075	0.01786642	0.09292673	0.0007745737	0.0005047919	-2.109489	0	0	0	0	0	7.011887	1.37613E-09	7.777737E-06	5.144594E-07	0.001646817	0.01194935	2.259551	0.001863191	0.0676597	0.009322519	0.003390103	0.03555601	0.4437312	0.001904139	0.2631922	0.006230665	0.1940738	0.001073087	0.007875876	0.01046607	0.01142079	0.002237141	0.03186818	2	133	1	226	136	297	297	-7.201939	0	-2.136915	0	-4.614004	0	-2.363444	0	-0.7163373	0	-3.746057	0	-0.3275316	0	1.109621	0	-7.201939	0	-0.3275316	0						
Validierungsstudie2	20161027	AG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.006502934	0.01789682	0.09509896	0.0005525241	0.0004707729	-2.982445	0	0	0	0	0	9.922162	3.219086E-10	6.619451E-06	5.056311E-07	0.00090903	0.01198328	2.583317	0.001567155	0.04010876	0.00954434	0.003002892	0.04270603	0.4463615	0.001915254	0.2913213	0.006903015	0.1935115	0.001041886	0.007963556	0.007337033	0.01066535	0.0018157	0.04892297	3	167	1	226	136	297	297	-7.201939	0	-2.136915	0	-4.614004	0	-2.363444	0	-0.7163373	0	-3.746057	0	-0.3275316	0	1.109621	0	-7.201939	0	-0.3275316	0						
Validierungsstudie2	20161027	AG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.007526063	0.02302071	0.09683182	0.0005955714	0.0003623009	-2.330193	0	0	0	0	0	7.745397	1.352381E-09	6.556186E-06	5.331216E-07	0.0009785274	0.01275383	2.831244	0.001686519	0.03012901	0.01382886	0.003287026	0.03663345	0.4483311	0.001923421	0.2760628	0.006543349	0.193312	0.0009287533	0.007311736	0.003485024	0.01058658	0.001714885	0.05595373	4	200	1	226	136	297	297	-7.212696	0	-2.135561	0	-4.61887	0	-2.367367	0	-0.7182543	0	-3.754626	0	-0.3203802	0	1.102206	0	-7.212696	0	-0.3203802	0						
Validierungsstudie2	20161027	AG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.006399986	0.0216229	0.1009768	0.0005605489	0.0003564181	-2.051643	0	0	0	0	0	6.819118	5.016087E-09	6.567925E-06	5.578665E-07	0.000870054	0.01264149	3.420037	0.001427664	0.03284675	0.01406222	0.003416176	0.03376976	0.4531608	0.001944353	0.2757065	0.006540605	0.1933638	0.001337646	0.008489746	0.003083959	0.01035524	0.001846181	0.06486344	5	233	1	226	136	297	297	-7.209167	0	-2.152709	0	-4.6103	0	-2.366125	0	-0.719516	0	-3.752082	0	-0.3214925	0	1.113836	0	-7.209167	0	-0.3214925	0						
Validierungsstudie2	20161027	AG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.005967284	0.0220006	0.100954	0.0005168174	0.0005370222	-2.139893	0	0	0	0	0	7.115385	8.723708E-09	6.375171E-06	6.173842E-07	0.0007570352	0.01226772	3.416489	0.001733102	0.04318488	0.009347917	0.003374019	0.03444561	0.4531707	0.001944316	0.2781293	0.006597742	0.1935717	0.00192297	0.009431501	0.002934253	0.01191217	0.001735131	0.05902931	6	267	1	226	136	297	297	-7.209167	0	-2.152709	0	-4.6103	0	-2.366125	0	-0.719516	0	-3.752082	0	-0.3214925	0	1.113836	0	-7.209167	0	-0.3214925	0						
Validierungsstudie2	20161027	AG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.006213482	0.02424896	0.09763621	0.0005852117	0.0004033117	-2.014854	0	0	0	0	0	6.695896	8.96978E-09	6.903664E-06	4.636393E-07	0.0008098084	0.01396489	2.945944	0.001841461	0.0512717	0.00959119	0.003433191	0.0340234	0.4493102	0.001927538	0.2689475	0.0063743	0.1937405	0.001923803	0.01125758	0.001947259	0.01137101	0.001638845	0.07127258	7	300	1	226	136	297	297	-7.209167	0	-2.152709	0	-4.6103	0	-2.366125	0	-0.719516	0	-3.752082	0	-0.3214925	0	1.113836	0	-7.209167	0	-0.3214925	0						
Validierungsstudie2	20161027	AG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.005622758	0.02543688	0.09660007	0.0005547749	0.0004399699	-1.812042	0	0	0	0	0	6.018755	1.622665E-09	6.427329E-06	4.43583E-07	0.0007209608	0.01564173	2.79525	0.001763431	0.04133326	0.008893731	0.003531016	0.03268247	0.4480647	0.001922275	0.2618017	0.006202352	0.1935338	0.00165366	0.01100476	0.001383552	0.01026511	0.001636932	0.06743573	8	333	1	226	136	297	297	-7.20363	0	-2.144568	0	-4.623647	0	-2.37395	0	-0.715281	0	-3.747628	0	-0.3332827	0	1.122646	0	-7.20363	0	-0.3332827	0						
Validierungsstudie2	20161027	AG	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.005198156	0.02426672	0.09479216	0.0005015605	0.000489027	-1.91745	0	0	0	0	0	6.369315	9.02791E-10	6.35194E-06	4.223119E-07	0.0007045157	0.01706193	2.531663	0.001832459	0.04659639	0.008018116	0.003479956	0.03374911	0.445923	0.001913227	0.2614423	0.006190912	0.1936396	0.001623786	0.01146725	0.00118574	0.01090911	0.001632277	0.06172765	9	367	1	226	136	297	297	-7.190976	0	-2.150606	0	-4.614924	0	-2.36914	0	-0.7148886	0	-3.74818	0	-0.3290235	0	1.123607	0	-7.190976	0	-0.3290235	0						
