#Study : Validierungsstudie2
#Date : 20161027 15:16:19
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:24:53.318 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	AD	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.003670546	0.04650504	0.08062719	0.001420454	3.496413E-05	-0.01014709	0	0	0	0	0	0.003409329	1.234257E-11	2.454985E-06	1.78227E-07	0.004720056	0.01835515	0.2415314	0.0006643782	0.02724409	0.0021205	0.004574004	0.02381443	0.4276513	0.001833912	0.1952045	0.00459893	0.1932437	0.000154984	0.009009197	0.2859771	0.03405894	0.002796994	0.01896648	0	67	1	262	163	252	252	-6.231141	0	-1.82957	0	-7.349649	0	-4.140455	0	-1.09282	0	-1.748148	0	-2.406162	0	2.129983	0	-6.231141	0	-1.09282	0						
Validierungsstudie2	20161027	AD	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.003106255	0.0467304	0.08235192	0.001213774	5.085901E-05	-0.01000214	0	0	0	0	0	0.001758642	7.236474E-12	3.434722E-06	8.427409E-08	0.007982161	0.01751776	0.537868	0.0006462476	0.03566835	0.006938454	0.004573677	0.02357559	0.4298812	0.001843878	0.1978189	0.004662635	0.1934142	0.0002621206	0.01626392	0.2842162	0.0281345	0.002749119	0.05455256	1	100	1	262	163	252	252	-6.169689	0	-1.824306	0	-7.3186	0	-4.129641	0	-1.061572	0	-1.71733	0	-2.404876	0	2.123914	0	-6.169689	0	-1.061572	0						
Validierungsstudie2	20161027	AD	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.002314009	0.06306394	0.08320291	0.001584268	3.217233E-05	-0.01085663	0	0	0	0	0	0.001914465	3.42958E-12	3.667985E-06	4.622139E-08	0.008849992	0.01934846	0.6655852	0.000516275	0.03463136	0.00674439	0.004563117	0.02346391	0.4308375	0.001847267	0.1991296	0.004692557	0.1933903	0.0002392538	0.02275336	0.2434615	0.02290856	0.005558537	0.03484471	2	133	1	262	163	252	252	-6.185765	0	-1.818657	0	-7.305442	0	-4.132781	0	-1.071093	0	-1.723897	0	-2.406353	0	2.128675	0	-6.185765	0	-1.071093	0						
Validierungsstudie2	20161027	AD	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.00240407	0.07013398	0.08728831	0.000895456	4.255229E-05	-0.009880066	0	0	0	0	0	0.001796878	2.300272E-12	4.483996E-06	4.181151E-08	0.01158884	0.01513796	1.330163	0.0004842358	0.03496392	0.006377779	0.004552307	0.02294603	0.43598	0.001869283	0.2052328	0.004841499	0.1933973	0.0003294578	0.01775373	0.1857277	0.0243708	0.004857968	0.08486155	3	167	1	262	163	252	252	-6.183149	0	-1.821476	0	-7.308231	0	-4.130596	0	-1.07054	0	-1.721406	0	-2.40041	0	2.127005	0	-6.183149	0	-1.07054	0						
Validierungsstudie2	20161027	AD	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.002332254	0.06752872	0.09130082	0.001199884	2.804778E-05	-0.009094238	0	0	0	0	0	0.001878918	2.873621E-12	3.55598E-06	5.682088E-08	0.01193126	0.01138738	1.962541	0.0005323342	0.02182745	0.004082759	0.004552911	0.02247046	0.4410059	0.001891064	0.2111184	0.004986058	0.193128	0.0003394996	0.008086116	0.1875108	0.02785898	0.003043192	0.09600766	4	200	1	262	163	252	252	-6.011349	0	-1.774981	0	-7.139945	0	-4.006427	0	-0.8246083	0	-1.643972	0	-2.310167	0	2.04141	0	-6.011349	0	-0.8246083	0						
Validierungsstudie2	20161027	AD	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.002819603	0.06169745	0.09588731	0.001163539	2.443988E-05	-0.008865356	0	0	0	0	0	0.002530597	1.791953E-12	3.397583E-06	7.685151E-08	0.009138352	0.01219266	2.655206	0.0005925421	0.02250188	0.004966346	0.004542259	0.02196336	0.4466611	0.001915334	0.2177226	0.005149208	0.1931436	0.0002662205	0.007075489	0.1065595	0.02689273	0.002382041	0.1247019	5	233	1	262	163	252	252	-6.14725	0	-1.833486	0	-7.31965	0	-4.117509	0	-1.049478	0	-1.729913	0	-2.393421	0	2.119631	0	-6.14725	0	-1.049478	0						
Validierungsstudie2	20161027	AD	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.002849361	0.066163	0.09696707	0.001096894	2.01661E-05	-0.008346558	0	0	0	0	0	0.002853886	1.178477E-12	3.171471E-06	8.903258E-08	0.009526191	0.009871668	2.80766	0.0005687179	0.02072865	0.003780076	0.004544526	0.02185082	0.4479043	0.001920364	0.2192687	0.005186737	0.1931075	0.0002609075	0.006490253	0.1304033	0.02892254	0.00243514	0.1144217	6	267	1	262	163	252	252	-6.146639	0	-1.834126	0	-7.319647	0	-4.117371	0	-1.049421	0	-1.730788	0	-2.393389	0	2.120048	0	-6.146639	0	-1.049421	0						
Validierungsstudie2	20161027	AD	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.002888022	0.05988189	0.1023225	0.001011686	1.969911E-05	-0.007751465	0	0	0	0	0	0.002809037	9.50342E-13	2.782308E-06	8.746788E-08	0.008206257	0.009494078	3.567302	0.0004847589	0.02227051	0.003560942	0.004545605	0.02130847	0.4541346	0.001947467	0.2268045	0.005372901	0.1931392	0.0002499218	0.006079901	0.1272621	0.02796457	0.002270695	0.1211027	7	300	1	262	163	252	252	-6.146639	0	-1.834126	0	-7.319647	0	-4.117371	0	-1.049421	0	-1.730788	0	-2.393389	0	2.120048	0	-6.146639	0	-1.049421	0						
Validierungsstudie2	20161027	AD	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.002668527	0.06063423	0.1004337	0.00110571	1.996704E-05	-0.006790161	0	0	0	0	0	0.002808479	4.57092E-13	2.649879E-06	8.756286E-08	0.006492611	0.007928012	3.305439	0.0004765612	0.02225111	0.003860117	0.004542961	0.02149572	0.452043	0.001938198	0.2241649	0.00530768	0.193138	0.0002155984	0.00543191	0.1124647	0.02719227	0.002412492	0.09497708	8	333	1	262	163	252	252	-6.169664	0	-1.83271	0	-7.299258	0	-4.108695	0	-1.052602	0	-1.737883	0	-2.383807	0	2.125917	0	-6.169664	0	-1.052602	0						
Validierungsstudie2	20161027	AD	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.002759529	0.05884727	0.1010768	0.001238082	1.660141E-05	-0.006988525	0	0	0	0	0	0.002674313	5.70218E-13	2.090293E-06	9.766238E-08	0.006515772	0.008298026	3.39668	0.0004863337	0.02063896	0.003359378	0.004539631	0.0214313	0.4527787	0.001941516	0.225063	0.005330033	0.1931054	0.0002044182	0.004749721	0.08688937	0.02684846	0.002244999	0.09848267	9	367	1	262	163	252	252	-6.169664	0	-1.83271	0	-7.299258	0	-4.108695	0	-1.052602	0	-1.737883	0	-2.383807	0	2.125917	0	-6.169664	0	-1.052602	0						
